gvkey,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,companyname,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,ultdunsno,dunsno,companyname_db,ultsls,state_db,sic_db,stateslspctak,stateslspctal,stateslspctar,stateslspctaz,stateslspctca,stateslspctco,stateslspctct,stateslspctdc,stateslspctde,stateslspctfl,stateslspctga,stateslspcthi,stateslspctia,stateslspctid,stateslspctil,stateslspctin,stateslspctks,stateslspctky,stateslspctla,stateslspctma,stateslspctmd,stateslspctme,stateslspctmi,stateslspctmn,stateslspctmo,stateslspctms,stateslspctmt,stateslspctnc,stateslspctnd,stateslspctne,stateslspctnh,stateslspctnj,stateslspctnm,stateslspctnv,stateslspctny,stateslspctoh,stateslspctok,stateslspctor,stateslspctpa,stateslspctri,stateslspctsc,stateslspctsd,stateslspcttn,stateslspcttx,stateslspctut,stateslspctva,stateslspctvt,stateslspctwa,stateslspctwi,stateslspctwv,stateslspctwy,_merge
1004,IL,19780831,1978,1,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,1978Q3,1978Q1,59.338001,40.119999,,,13.726,,28.669001,26.073,.64200002,1750,A,,5080,.23131889,.47877499,005425814,5425814,AAR CORP,137560000,IL,3811,,,,,0,.0098865945,,,,0,,,,,.58519918,,,,,,,,,,,,,,,,,0,,,.066152953,,0,.31695262,,,,,,.021808665,,,,0,,,,Matched (3)
1043,IL,19771031,1978,1,INDL,C,D,STD,MTI.3,625440102,MULTIGRAPHICS INC,USD,1977Q3,1978Q1,463.77499,264.10901,,,103.686,,148.998,171.03799,2.71,2310,I,,5040,.22356962,.69588852,001306919,1693191,ADDRESSOGRAPH-MULTIGRAPH CORP,596737024,CA,5081,0,0,0,0,.99876493,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,.0012350499,0,0,0,0,0,,0,0,,0,,0,0,0,,Matched (3)
1059,TX,19771031,1978,1,INDL,C,D,STD,APS.1,002030104,A P S INC,USD,1977Q3,1978Q1,174.342,65.015999,,,45.166,,81.480003,92.371002,.64600003,,I,Harris,5010,.25906551,.5543201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1108,NY,19770930,1978,1,INDL,C,D,STD,PRHD,741885107,PRINCETON HOLDINGS INC,USD,1977Q3,1978Q1,46.848,29.716999,,,7.763,,13.861,25.719,.37599999,,I,,5020,.16570611,.56006062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1118,RI,19780331,1978,1,INDL,C,D,STD,ADG.1,006203103,ADAMS DRUG INC,USD,1978Q1,1978Q1,51.174,26.85,,,1.381,,34.785999,31.295,.41299999,,I,Providence,5912,.026986361,.039699879,007918253,80822471,ADAMS DRUG CO INC #784,147675008,RI,5912,,0,,,,,0,,,,,,,,,,,,,.011748772,,,,,,,,,,,,0,,,.006365329,,,,0,.98188585,,,,,,,,,,,,Matched (3)
1121,TX,19780630,1978,1,INDL,C,D,STD,AE,006351308,ADAMS RESOURCES & ENERGY INC,USD,1978Q2,1978Q1,55.285,34.662998,,,7.6950002,,19.233999,1.99,.41499999,2178,A,,5172,.13918784,.40007278,067273649,20805487,ADA RESOURCES INC,102040000,TX,5171,,,,,,,,,,,,,,,.00039200313,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,.99960798,,,,,,,,Matched (3)
1153,NY,19780331,1978,1,INDL,C,D,STD,AER.2,007680101,AERO-FLOW DYNAMICS INC,USD,1978Q1,1978Q1,26.431,13.699,,,12.454,,14.22,13.552,.075999998,,I,New York,5084,.47118914,.87580872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1240,ID,19780430,1978,1,INDL,C,D,STD,ABS.1,013104104,ALBERTSON'S INC,USD,1978Q1,1978Q1,430.24799,305.59399,,,17.209,,471.96899,51.263,,3333,I,,5411,.039997861,.036462139,006927180,33989302,ALBERTSONS INC,1810000000,ID,5411,,0,,,0,0,,,,0,,,,1,,,,,0,,,,,,,,0,,,,,,0,0,,,,0,,,,,,0,0,,,0,,,0,Matched (3)
1246,PA,19771231,1978,1,INDL,C,D,STD,IKN,451713101,IKON OFFICE SOLUTIONS,USD,1977Q4,1978Q1,525.53802,281.461,,,159.735,,341.46799,198.81,2.0190001,3370,I,,5040,.30394566,.46778908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
1301,OH,19780430,1978,1,INDL,C,D,STD,9174A,019519008,ALLIED STORES,USD,1978Q1,1978Q1,1332.63,746.07599,,,410.30899,,430.87701,486.77899,7.4419999,,I,,5311,.30789417,.95226479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
