GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "10000","Delaware",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5716943,6430508,7094131,7634123,8131632,8972541,9733839,10356846,11194189,12256360,13630691,14367121,15196277,15854345,16466756,17165308,18171954,19433856,20342252,22497390,24165267,26645281,29379184,30358952,31136926,32379482,33273931,35275330,36380424,36145189,36432931,36837784,39925002,40393268,41100328,43031603,45216125,46444792,48570693,51310453,52537576,55357375
 "10000","Delaware",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1887209,1992513,2183853,2415422,2678993,2849685,3025337,3303296,3524479,3889640,4236381,4627369,4954523,5319772,5707395,6268330,6832872,7247152,7901334,8633162,9404395,9902927,10367434,10855162,11206621,11691653,12199949,12891050,13539970,15144826,16783526,18491644,20970144,21616791,21968619,22520607,22876906,23788948,24120973,22816835,23301354,23378421,25528169,25456853,25639062,26507941,27813758,28228117,29163858,30850401,31318408,31532584
 "10000","Delaware",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",138681,164910,194115,215069,248323,303169,408019,438775,477489,500058,573205,695418,782286,830983,885591,949247,997921,1079644,1124853,1236874,1341503,1440916,1674121,1822292,1947987,2069864,2261932,2507216,2534785,2699493,2814358,3070488,3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037706,8493670,9052887,9430002,10013372,10512589,11140297,13860975
 "10000","Delaware",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13746,17128,21647,22644,20781,28109,42687,48381,51078,52185,63483,80950,86609,82523,82622,82871,79112,77832,75202,82472,90530,103804,122117,148749,161010,171969,193205,206645,205257,208699,216299,224186,233082,258079,286526,306083,346757,377537,403069,409222,491770,563476,620822,647693,668471,684714,682181,701993,678606,669978,689905,772123
 "10000","Delaware",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",6928,11390,15108,14233,11416,25905,62519,55573,58489,34090,32978,59156,57986,46569,35822,31315,24298,45043,24976,41517,35430,41051,74370,100171,85535,62429,63599,98678,63892,65519,58920,70765,90257,141798,159880,117321,105546,102262,112451,156511,316425,329270,263114,212454,170696,95291,83386,75647,73952,69833,66481,886516
 "10000","Delaware",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",118007,136392,157360,178192,216126,249155,302813,334821,367922,413783,476744,555312,637691,701891,767147,835061,894511,956769,1024675,1112885,1215543,1296061,1477634,1573372,1701442,1835466,2005128,2201893,2265636,2425275,2539139,2775537,3044305,3228556,3449256,3770660,4069546,4416421,4791860,5551853,5823296,6265670,6588770,6787817,7198539,7713665,8287320,8652362,9260814,9772778,10383911,12202336
 "10000","Delaware",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",415303,442508,466120,494457,534984,594213,595869,661911,739153,811892,907357,1107721,1357322,1483368,1538646,1754964,1903046,2030050,2168002,2386324,2884793,3023278,3154722,3176891,3312148,3403791,3710073,4035590,4267497,4653071,4567383,5083149,5041396,5113728,5272645,5664811,5875176,6590162,6952071,7210768,6500086,6300947,6924127,7288451,7423560,8029992,8349480,8786673,9393463,9947463,10078871,9963816
 "10000","Delaware",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809
 "10000","Delaware",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9547,10809,11903,12742,13431,14671,15743,16503,17575,18925,20707,21457,22247,22814,23312,23922,24902,26227,27069,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40947,43990,44121,44478,46115,47997,48890,50703,53062,53793,56097
 "10000","Delaware",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3495,3621,3864,4209,4626,4887,5139,5573,5925,6502,7074,7778,8313,8879,9427,10250,11051,11548,12405,13331,14286,14790,15177,15621,15865,16294,16718,17397,18018,19840,21656,23515,26354,26814,26856,27107,27068,27685,27670,25815,26131,25986,28127,27806,27746,28408,29524,29714,30444,31904,32067,31954
