GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "50000","Vermont",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4015134,4505299,5069132,5502286,5907740,6496255,7040967,7574217,8217480,8976787,9917053,10298043,10499432,11241667,11680869,12247126,12890172,13585552,14333084,15426625,16303841,17687618,18804820,19212249,19980138,21131250,21666544,23051976,24280942,25603938,25291705,26140047,27690554,28554400,28964344,30195918,31078990,31575635,32406144,33437205,34569620,36894247
 "50000","Vermont",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1117636,1205082,1278112,1403927,1531015,1612989,1711236,1932545,2105393,2464116,2761230,3004876,3280537,3453835,3714134,4092219,4487545,4884151,5434266,5930894,6420412,6603285,6672149,7194735,7503000,7829329,8080524,8560805,9009151,9742781,10541836,11476604,12220766,12653540,13099593,13845263,14245942,14674781,15131542,15593126,15433394,16083221,16981067,17418898,17542692,17780101,18165883,18439703,19108248,19756856,20535941,20515830
 "50000","Vermont",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5796336,6057224,6252889,6374857,6466398,6744479,7048367,9458709
 "50000","Vermont",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",15252,19294,25071,28539,29395,42771,55085,63176,56267,56388,65483,89413,102922,101392,105929,104761,105734,109762,106986,111331,120241,141245,166027,195441,198802,211984,224038,209596,225779,221149,233690,238850,243288,259219,270438,286402,316285,331548,438507,466817,522431,550938,558663,571227,607359,588799,482542,466636,468941,459391,473618,509833
 "50000","Vermont",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",4806,8555,16542,19198,15256,22399,48844,43716,33992,22816,23382,35300,35057,51941,53053,36438,34135,30296,25095,23586,30768,52762,80669,90822,83419,59306,52517,53226,49728,46382,46174,44722,64719,112057,120498,83466,80049,84799,90301,123264,267316,223620,163866,127204,97399,78130,71728,68993,66047,63143,62755,1165610
 "50000","Vermont",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",124110,143705,163251,182516,217588,250013,297282,325373,352019,388241,441491,503840,586911,653432,705311,748659,788714,816604,839150,890455,970440,1056720,1131823,1273260,1346282,1453441,1593164,1669222,1758341,1849550,1984101,2153638,2364612,2484387,2598422,2752766,3004118,3363341,3651658,4070443,4268696,4572966,4674487,4826265,5091578,5390295,5698619,5839228,5931410,6221945,6511994,7783266
 "50000","Vermont",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",253631,287295,319315,354887,390628,435855,479338,511206,572425,641851,723548,871870,1063705,1241686,1329313,1514178,1624839,1733404,1811983,2020521,2375192,2444031,2448764,2487409,2549366,2693066,2939929,3092703,3290085,3566763,3498040,3773804,3911435,3703046,3891187,4163353,4020150,4597507,4968934,5350288,4799868,4709302,5312471,5610806,5625316,6358593,6660218,6761075,6831498,6935870,6985312,6919708
 "50000","Vermont",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625886,627197,626361,626603,625693,625810,624366,625132,624802,624046,623347
 "50000","Vermont",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41765,44150,45588,46224,48260,49662,50572,51839,53516,55396,59187
 "50000","Vermont",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2558,2700,2813,3031,3268,3409,3566,3983,4278,4945,5460,5863,6363,6653,7097,7770,8467,9145,10058,10788,11512,11691,11734,12562,12987,13410,13719,14419,15085,16227,17434,18826,19961,20560,21202,22334,22932,23559,24269,24983,24701,25697,27075,27810,27997,28417,29028,29533,30567,31621,32908,32912
