GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "56000","Wyoming",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12640312,13532735,14634575,15505877,15927590,16959101,18360822,20250025,23254620,24752846,27163196,24949194,26328777,28786638,31199618,31240113,33549324,33761753,31908537,32918472,34690854,35424500,36019753
 "56000","Wyoming",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",915032,998891,1099874,1253697,1461402,1710068,1927574,2134575,2526002,3049668,3579235,4108811,4572955,4625613,4431201,4593234,4780417,4696085,4433960,4480348,4857693,5245659,5463399,5766207,6133879,6321217,6469438,6701519,7222797,7529372,8093385,8656399,9314571,9728902,10184982,10606378,11407734,12989500,14023332,15714353,15065446,15884886,17137397,17896609,18384725,19450843,19420815,17981106,18284609,19729851,20328345,19821791
 "56000","Wyoming",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",88663,102746,118735,129397,151849,172179,207845,232082,254420,286224,330781,392630,471319,542216,640811,633335,672420,740542,751496,782469,848623,912472,1015286,1122689,1222956,1292931,1379881,1453326,1492306,1533920,1595962,1715731,1848840,1980090,2144992,2266868,2384556,2529902,2687364,3120759,3376771,3642359,3658034,3654125,3784302,3968777,4205204,4388646,4574966,4818389,5062027,6502718
 "56000","Wyoming",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",5334,6784,7951,7518,8135,9641,10279,12879,13791,13224,16623,25421,26954,31139,40856,44715,48773,53567,56176,61675,68227,75092,87604,101705,109062,113887,122944,130409,121635,121510,112480,128942,120502,138538,172480,170056,164154,151335,152434,188109,215247,243583,252012,240021,245004,241049,226881,233145,232891,224642,240142,261322
 "56000","Wyoming",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2536,2815,4449,4395,3523,3728,8192,10180,9200,10573,7749,14311,24655,47908,89706,27449,32554,58413,40597,26066,26005,22791,27829,40822,37730,30837,32743,34839,29862,28562,31162,28068,28858,50047,61698,47397,37265,31501,36741,54575,193610,212037,142433,110078,94568,62944,90335,116894,67611,48078,46550,419398
 "56000","Wyoming",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",80793,93147,106335,117484,140191,158810,189374,209023,231429,262427,306409,352898,419710,463169,510249,561171,591093,628562,654723,694728,754391,814589,899853,980162,1076164,1148207,1224194,1288078,1340809,1383848,1452320,1558721,1699480,1791505,1910814,2049415,2183137,2347066,2498189,2878075,2967914,3186739,3263589,3304026,3444730,3664784,3887988,4038607,4274464,4545669,4775335,5821998
 "56000","Wyoming",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",214872,246291,278932,301412,355386,420456,471972,523706,595216,697814,806071,1004884,1255529,1449021,1496082,1630580,1707595,1693966,1678878,1739795,1936247,2075191,2163670,2241843,2303073,2488336,2736049,2922892,3169872,3577020,3843388,4262445,4342466,4218598,4629127,5487576,6457735,7735218,8042150,8328084,6506977,6801532,7991207,9648884,9071086,10129704,10135734,9538785,10058897,10142614,10034128,9695244
 "56000","Wyoming",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564531,567491,576656,582620,583159,586389,585243,579994,579054,580116,582328
 "56000","Wyoming",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46638,50726,54104,53620,57530,57576,54522,56757,59910,61065,61855
 "56000","Wyoming",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2781,2993,3235,3614,4136,4691,5066,5398,6138,7077,7921,8665,9300,9134,8683,9097,9567,9475,9296,9633,10598,11562,11896,12367,12966,13161,13335,13728,14757,15341,16457,17512,18830,19457,20230,20833,22187,24852,26218,28779,26910,28138,30199,31035,31555,33354,33119,30724,31526,34073,35042,34039
 "56000","Wyoming",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",269,308,349,373,430,472,546,587,618,664,732,828,959,1071,1256,1254,1346,1494,1576,1682,1851,2011,2211,2408,2585,2692,2844,2977,3049,3125,3245,3471,3738,3960,4261,4453,4638,4840,5024,5715,6032,6452,6446,6337,6495,6806,7171,7499,7888,8321,8726,11167
 "56000","Wyoming",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",16,20,23,22,23,26,27,33,34,31,37,54,55,61,80,89,98,108,118,133,149,166,191,218,231,237,253,267,249,248,229,261,244,277,343,334,319,290,285,344,384,431,444,416,421,413,387,398,402,388,414,449
 "56000","Wyoming",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",8,8,13,13,10,10,22,26,22,25,17,30,50,95,176,54,65,118,85,56,57,50,61,88,80,64,67,71,61,58,63,57,58,100,123,93,72,60,69,100,346,376,251,191,162,108,154,200,117,83,80,720
 "56000","Wyoming",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",246,279,313,339,397,436,498,529,562,609,678,744,854,915,1000,1111,1183,1268,1373,1494,1646,1795,1959,2102,2275,2391,2523,2639,2739,2820,2953,3153,3436,3583,3795,4026,4246,4491,4671,5271,5301,5645,5751,5730,5912,6284,6630,6901,7370,7850,8232,9998
 "56000","Wyoming",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",653,738,820,869,1006,1153,1240,1324,1446,1619,1784,2119,2553,2861,2932,3230,3417,3418,3520,3741,4224,4574,4711,4808,4868,5181,5639,5987,6476,7288,7815,8623,8779,8437,9195,10779,12560,14800,15036,15252,11623,12048,14082,16732,15569,17370,17285,16299,17343,17516,17297,16649
 "56000","Wyoming",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",980672,1070032,1181243,1351718,1595588,1881969,2124992,2369397,2803955,3395755,4013502,4623421,5197409,5270734,5012007,5206765,5431677,5318647,5010367,5104487,5499884,5954978,6209148,6549361,6959118,7195050,7365424,7613703,8174479,8528389,9141509,9763725,10525807,10985461,11538027,12066265,13010788,15044507,16317286,18180219,17461718,18340141,19486698,20357680,21115479,22325742,22266472,20754236,21105390,22610150,23335129,22839906
 "56000","Wyoming",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",723995,785240,855011,951358,1111600,1331832,1530419,1773869,2087364,2515207,2988276,3527672,4057122,4140105,3834646,3958215,4141817,3962009,3706079,3827031,3941184,4235665,4469091,4651826,4885595,5147930,5297116,5437703,5735106,6040447,6387324,6835198,7330442,7689551,8033904,8577838,9339746,10725959,11895985,12950649,12196367,12369655,12938727,13542550,13733258,14409506,14280525,13424368,13707350,14360527,15094219,14570850
 "56000","Wyoming",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",82449,93235,109140,127880,152537,187135,225179,262730,315914,379535,454362,531700,622469,658379,659877,701762,760061,773146,744201,751793,816790,899271,968243,1051101,1116103,1171809,1176320,1198844,1246745,1296652,1389510,1512463,1669759,1762811,1924286,2053324,2189731,2698293,2999813,3244892,3067345,3160030,3233308,3435532,3807208,3964138,4025795,3845085,3961603,4157663,4151721,4049925
 "56000","Wyoming",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",49504,57402,68130,79106,86783,103640,129435,148961,181307,213208,249141,296489,334892,358006,381128,395337,439706,465263,459706,443612,501082,547335,595055,665138,708744,740903,735415,748367,772957,803065,868109,958825,1085497,1173055,1297646,1381096,1461232,1671453,1845619,2021655,1891751,1967547,1977155,2096825,2462775,2535782,2646518,2530666,2634140,2819335,2765209,2686972
