GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "06000","California",8,SAGDP2N,1,"...","All industry total","Millions of current dollars",1071117.0,1147520.4,1241899.7,1356975.4,1375761.3,1418429.6,1497918.7,1588177.4,1698560.4,1812210.0,1898902.0,1944695.3,1890165.9,1954092.7,2023500.0,2113096.4,2220389.9,2335286.5,2473555.9,2569634.0,2730973.9,2895101.0,3052645.2,3007187.7,3356631.4
 "06000","California",8,SAGDP2N,2,"..."," Private industries","Millions of current dollars",936197.6,1004724.8,1090694.2,1192452.6,1198531.5,1230883.4,1300907.0,1382620.4,1483785.7,1585980.0,1656453.1,1690132.2,1635862.4,1696461.6,1760303.6,1848525.7,1945187.1,2045816.2,2167473.4,2252139.9,2408573.0,2559674.3,2705816.5,2656837.6,2992819.0
 "06000","California",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting","Millions of current dollars",18233.0,16787.4,17467.9,18040.7,17749.8,18595.2,21050.9,25241.3,25303.9,24292.9,28378.5,25620.6,24876.1,28087.6,32158.2,33913.8,37483.2,40346.8,37318.1,36657.0,38866.6,38494.3,37532.2,40765.9,45621.1
 "06000","California",8,SAGDP2N,4,"111-112","   Farms","Millions of current dollars",14234.3,12756.3,13121.0,13670.5,13389.2,14068.7,15934.3,19693.5,19607.8,17163.3,20789.1,18035.7,17551.9,20396.4,24024.2,25034.5,28163.5,30506.5,26649.0,25264.0,27143.5,26049.1,24373.2,27154.1,(NA)
 "06000","California",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities","Millions of current dollars",3998.8,4031.1,4346.9,4370.2,4360.6,4526.5,5116.6,5547.8,5696.1,7129.6,7589.4,7584.8,7324.2,7691.2,8134.0,8879.3,9319.8,9840.3,10669.1,11393.1,11723.1,12445.2,13158.9,13611.9,(NA)
 "06000","California",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction","Millions of current dollars",6641.7,4465.1,4843.8,7143.9,6425.7,5924.6,7005.8,9135.7,12696.1,17709.0,21468.9,25746.9,17899.4,18379.8,20641.8,21451.7,20018.6,18032.7,9724.6,8244.2,10365.4,11641.8,9879.4,6053.4,8814.5
 "06000","California",8,SAGDP2N,7,"211","   Oil and gas extraction","Millions of current dollars",4853.0,2600.1,2952.7,5013.4,4207.3,4045.0,5152.9,7033.0,10441.8,14595.0,18187.7,22356.2,14911.2,15564.9,17492.8,18033.9,16807.1,14478.9,7157.5,5958.6,7095.0,7723.4,6069.5,2764.7,(NA)
 "06000","California",8,SAGDP2N,8,"212","   Mining (except oil and gas)","Millions of current dollars",1115.9,1156.4,1339.7,1298.5,1132.2,1135.6,1138.5,1367.5,1367.4,1736.4,1729.4,1562.9,1707.6,1295.2,1292.1,1429.7,1341.2,1531.8,1362.8,1498.9,2004.9,2473.8,2341.3,2429.2,(NA)
 "06000","California",8,SAGDP2N,9,"213","   Support activities for mining","Millions of current dollars",672.7,708.6,551.3,832.0,1086.3,744.0,714.3,735.3,886.9,1377.5,1551.7,1827.8,1280.6,1519.7,1856.9,1988.1,1870.3,2022.0,1204.4,786.7,1265.5,1444.6,1468.5,859.6,(NA)
 "06000","California",8,SAGDP2N,10,"22","  Utilities","Millions of current dollars",16948.6,16517.0,18070.7,18578.3,14630.5,20244.1,20980.6,20775.5,20983.4,25211.3,25453.1,24990.9,27439.4,28578.3,30032.9,29520.3,31123.0,32111.0,33234.5,34053.5,37746.4,39307.9,40102.4,42758.3,47630.2
