GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SAGDP2N,1,"...","All industry total","Millions of current dollars",79044.4,81196.9,84223.9,91093.9,97059.6,99479.2,105713.5,113873.8,125081.6,137436.5,145752.1,160763.7,146633.0,154287.4,166235.8,174874.4,182694.7,196631.6,186815.6,181244.4,190674.5,202466.6,203699.7,188056.6,206750.5
 "40000","Oklahoma",6,SAGDP2N,2,"..."," Private industries","Millions of current dollars",66160.6,67863.4,70092.5,76145.7,81129.2,82498.8,88050.5,95360.5,105157.5,116125.1,122935.9,136559.4,121365.2,127912.6,139551.4,148394.9,155432.4,168720.2,157864.6,152017.2,160638.4,171224.5,171219.6,154028.2,171531.7
 "40000","Oklahoma",6,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting","Millions of current dollars",1492.3,1223.4,1374.8,1558.4,1454.2,1689.3,1775.1,2472.3,2334.7,1837.4,1883.1,2035.1,1331.6,2081.7,2701.0,3042.3,3042.7,3381.8,3051.9,2422.7,2763.3,2753.9,2447.1,2515.8,3633.4
 "40000","Oklahoma",6,SAGDP2N,4,"111-112","   Farms","Millions of current dollars",1387.0,1117.6,1260.3,1440.7,1338.7,1568.9,1635.6,2302.2,2163.9,1624.7,1688.4,1854.1,1127.0,1850.8,2490.9,2835.6,2845.1,3170.4,2818.7,2172.1,2506.2,2480.2,2180.6,2238.1,(NA)
 "40000","Oklahoma",6,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities","Millions of current dollars",105.2,105.7,114.6,117.7,115.4,120.3,139.5,170.1,170.7,212.7,194.7,181.1,204.6,230.9,210.1,206.7,197.6,211.4,233.1,250.6,257.1,273.7,266.5,277.7,(NA)
 "40000","Oklahoma",6,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction","Millions of current dollars",3650.6,2721.7,2906.2,4612.3,5986.4,5600.5,8039.8,10601.5,15200.1,18635.6,21602.3,29225.9,18564.5,22102.4,26479.7,24857.8,29142.3,35003.2,21138.2,18189.1,23812.6,27856.5,23472.7,11155.5,16384.1
 "40000","Oklahoma",6,SAGDP2N,7,"211","   Oil and gas extraction","Millions of current dollars",2832.5,1855.5,2052.9,3487.6,4177.1,4095.8,6316.6,8614.0,12677.5,14611.7,17080.5,23804.4,15034.9,18220.6,21377.6,19940.8,24115.9,29560.2,17548.6,15780.4,20098.0,22976.8,19203.4,9193.0,(NA)
 "40000","Oklahoma",6,SAGDP2N,8,"212","   Mining (except oil and gas)","Millions of current dollars",116.2,156.7,179.6,186.4,199.6,204.6,227.3,248.1,285.2,325.1,359.4,401.1,452.6,448.5,505.7,391.1,444.1,392.5,356.1,376.9,446.2,521.7,583.9,560.4,(NA)
 "40000","Oklahoma",6,SAGDP2N,9,"213","   Support activities for mining","Millions of current dollars",701.9,709.5,673.7,938.3,1609.7,1300.0,1495.8,1739.5,2237.4,3698.8,4162.4,5020.4,3076.9,3433.3,4596.3,4525.9,4582.3,5050.6,3233.4,2031.8,3268.4,4358.0,3685.5,1402.1,(NA)
 "40000","Oklahoma",6,SAGDP2N,10,"22","  Utilities","Millions of current dollars",2099.4,2007.7,2176.5,2286.4,2457.0,2229.0,2400.3,2500.3,2510.1,2860.1,3065.9,3280.5,3239.0,3609.6,3898.5,4152.4,4078.6,4474.2,4131.9,4068.2,3904.1,3928.4,4486.0,4069.7,4497.2
