GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "30000","Montana",7,SAGDP2S,1,"...","All industry total","Millions of current dollars",1973.7,2023.9,2178.0,2348.6,2362.0,2530.9,2760.9,2918.7,3143.3,3661.0,4340.9,4661.0,5218.4,6032.1,6350.3,7443.0,8172.5,8924.9,10200.5,10206.5,10583.7,11010.2,10941.2,10978.7,11383.3,11702.9,12629.7,13241.9,13875.2,14936.9,16054.4,17062.1,17519.3,18118.7,18932.0
 "30000","Montana",7,SAGDP2S,2,"..."," Private industries","Millions of current dollars",1660.4,1689.6,1828.4,1975.5,1981.1,2131.5,2340.9,2454.2,2618.3,3071.3,3690.8,3915.2,4363.0,5093.1,5335.8,6327.3,6958.4,7616.3,8750.7,8679.6,8888.5,9215.4,9110.5,9034.9,9338.1,9594.9,10381.0,10829.8,11277.1,12200.4,13156.1,13983.9,14467.0,15013.4,15687.6
 "30000","Montana",7,SAGDP2S,3,"A","   Agriculture, forestry, and fishing","Millions of current dollars",275.0,220.8,257.3,293.6,264.9,267.1,323.8,372.7,361.1,511.6,795.9,705.9,713.6,565.0,411.5,632.7,618.8,636.2,835.3,762.1,637.7,550.3,334.5,646.5,705.5,447.1,864.7,842.2,945.6,931.4,1138.9,913.9,877.2,887.0,823.3
 "30000","Montana",7,SAGDP2S,4,"[01-02]","     Farms","Millions of current dollars",269.1,213.8,249.7,284.8,255.0,256.1,311.1,359.4,344.8,490.8,771.6,677.5,684.7,531.6,382.0,602.0,584.3,598.7,792.8,710.1,576.1,482.8,270.7,580.8,621.3,361.6,778.0,744.6,842.1,820.6,1029.8,792.3,762.8,770.9,704.0
 "30000","Montana",7,SAGDP2S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of current dollars",5.9,7.0,7.6,8.8,9.9,11.1,12.7,13.3,16.3,20.8,24.4,28.4,28.9,33.4,29.5,30.7,34.5,37.5,42.5,51.9,61.6,67.5,63.8,65.7,84.2,85.4,86.8,97.6,103.5,110.8,109.2,121.6,114.5,116.1,119.3
 "30000","Montana",7,SAGDP2S,6,"B","   Mining","Millions of current dollars",102.6,100.9,98.7,102.3,93.4,121.0,135.2,139.0,128.0,127.4,181.2,283.4,331.7,388.3,466.8,632.9,795.6,1157.3,1628.2,1437.3,1272.8,1210.8,1129.8,757.8,828.5,969.0,915.1,940.8,924.8,863.2,783.0,911.8,878.1,824.4,841.0
 "30000","Montana",7,SAGDP2S,7,"10","     Metal mining","Millions of current dollars",24.5,22.8,22.3,25.8,13.9,22.0,32.8,46.3,26.6,33.2,52.6,58.3,30.4,38.2,38.9,58.4,98.9,91.4,111.7,129.2,145.5,109.8,78.1,84.9,172.7,280.9,261.5,264.0,278.7,282.1,234.7,368.4,338.3,247.3,217.6
 "30000","Montana",7,SAGDP2S,8,"12","     Coal mining","Millions of current dollars",0.8,0.9,1.1,1.2,1.3,1.5,2.2,5.2,8.7,8.8,18.2,37.4,73.8,86.5,154.3,236.6,271.1,283.0,331.8,343.2,349.9,348.9,311.4,247.3,193.1,264.7,243.1,214.9,285.2,270.6,280.5,321.7,282.3,283.2,308.0
 "30000","Montana",7,SAGDP2S,9,"13","     Oil and gas extraction","Millions of current dollars",60.7,58.9,57.7,56.2,58.9,83.7,77.6,67.2,70.5,67.4,88.1,171.2,207.7,240.8,239.9,301.8,384.4,730.6,1137.0,931.8,745.1,716.5,710.7,385.3,409.2,351.1,338.9,391.1,294.3,244.6,205.9,177.3,203.1,230.2,225.8
 "30000","Montana",7,SAGDP2S,10,"14","     Nonmetallic minerals, except fuels","Millions of current dollars",16.5,18.3,17.6,19.0,19.3,13.8,22.6,20.2,22.1,18.0,22.3,16.4,19.7,22.7,33.8,36.2,41.3,52.2,47.6,33.1,32.3,35.6,29.6,40.3,53.5,72.3,71.5,70.8,66.7,66.0,61.9,44.4,54.5,63.8,89.6
 "30000","Montana",7,SAGDP2S,11,"C","   Construction","Millions of current dollars",118.6,113.6,128.0,129.3,137.2,145.1,148.7,170.2,193.0,238.0,266.9,297.0,323.0,397.5,475.6,554.6,563.9,599.6,589.7,628.3,609.3,575.8,539.9,495.8,432.4,431.4,447.3,476.8,545.3,615.7,697.3,818.7,864.6,956.0,1042.8
 "30000","Montana",7,SAGDP2S,12,"D","   Manufacturing","Millions of current dollars",198.8,229.2,255.3,279.3,275.5,314.6,326.8,302.5,324.2,383.9,420.5,451.4,472.0,561.9,648.5,745.7,848.1,750.8,739.5,636.6,744.8,831.8,834.7,856.2,912.4,920.8,1103.0,1062.1,980.1,1141.5,1303.9,1249.4,1331.5,1331.3,1419.2
 "30000","Montana",7,SAGDP2S,13,"...","     Durable goods manufacturing","Millions of current dollars",131.9,156.3,173.2,190.7,181.9,220.4,231.9,203.1,217.9,265.5,292.8,321.3,316.3,389.5,445.4,522.4,550.3,465.3,428.9,336.3,440.4,528.1,529.9,542.4,627.5,601.2,731.5,628.0,496.8,654.5,762.9,723.4,799.0,790.9,811.3
 "30000","Montana",7,SAGDP2S,14,"24","       Lumber and wood products","Millions of current dollars",67.8,76.4,74.7,75.8,80.9,115.8,110.3,80.9,106.6,137.3,177.2,186.7,159.6,220.1,289.4,340.3,348.2,267.9,231.8,178.7,285.9,334.3,342.9,376.6,475.8,424.3,509.3,406.3,268.0,415.4,504.6,434.8,458.9,395.3,380.6
 "30000","Montana",7,SAGDP2S,15,"25","       Furniture and fixtures","Millions of current dollars",1.0,0.8,1.1,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.8,0.7,0.6,0.5,1.3,1.3,1.1,1.7,2.3,2.8,3.9,4.8,6.0,4.9,6.4,6.8,8.2,7.3,8.7,10.7,12.0,12.5,12.4,14.9,17.3
 "30000","Montana",7,SAGDP2S,16,"32","       Stone, clay, and glass products","Millions of current dollars",9.9,12.6,10.1,13.4,11.9,7.3,9.9,12.3,14.2,20.7,17.2,17.4,40.4,42.7,41.1,51.8,54.5,49.5,46.5,43.3,47.9,52.1,44.7,49.1,31.3,30.9,36.0,37.3,38.0,42.1,45.1,51.8,52.6,49.6,55.9
 "30000","Montana",7,SAGDP2S,17,"33","       Primary metal industries","Millions of current dollars",46.0,58.4,79.5,93.0,79.0,85.4,100.2,98.6,83.4,90.9,79.2,97.1,97.4,97.2,85.1,92.7,103.9,97.9,87.9,55.5,46.5,63.7,58.4,51.5,56.3,65.7,92.7,84.0,76.1,71.3,51.6,51.7,74.5,87.1,92.2
 "30000","Montana",7,SAGDP2S,18,"34","       Fabricated metal products","Millions of current dollars",2.0,2.5,2.2,2.2,3.0,4.2,4.2,3.5,4.3,6.0,6.0,6.3,5.0,13.7,8.1,12.3,15.1,18.6,20.4,19.7,18.3,22.0,13.2,15.7,16.1,17.4,19.2,19.8,19.0,20.7,22.1,24.3,28.5,32.6,36.3
 "30000","Montana",7,SAGDP2S,19,"35","       Industrial machinery and equipment","Millions of current dollars",1.0,1.1,1.5,1.4,2.0,2.5,2.0,1.9,2.0,2.0,2.2,3.3,4.5,4.6,6.2,6.6,7.7,7.9,11.1,9.6,8.7,12.6,13.2,13.0,14.1,16.4,19.7,25.8,24.6,24.0,26.4,27.3,43.4,54.0,59.3
