GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "41000","Oregon",8,SAGDP2S,1,"...","All industry total","Millions of current dollars",5706.7,6164.2,6725.1,7267.3,7639.2,8528.1,9352.9,9797.5,10864.3,12220.7,14179.9,15424.3,16822.5,19757.5,22047.1,25390.7,28372.4,30001.3,31590.3,31594.1,33727.3,37444.3,39446.4,41730.0,44594.4,49138.4,52610.1,56565.6,59441.0,63392.3,69408.5,75393.1,81553.7,93306.4,100363.0
 "41000","Oregon",8,SAGDP2S,2,"..."," Private industries","Millions of current dollars",4983.0,5401.1,5899.5,6367.2,6644.8,7435.0,8175.6,8448.1,9384.8,10592.9,12378.5,13391.8,14509.6,17160.7,19212.8,22243.7,24894.1,26186.4,27346.1,27063.8,28958.7,32369.1,33917.1,35927.2,38523.8,42371.6,45361.8,48663.0,50976.6,54406.1,59835.9,65339.9,71174.1,82036.8,88153.6
 "41000","Oregon",8,SAGDP2S,3,"A","   Agriculture, forestry, and fishing","Millions of current dollars",275.4,269.0,291.7,328.1,330.0,326.7,373.6,382.8,392.7,478.9,654.4,779.1,744.4,763.3,684.4,807.7,1045.3,1150.8,1216.2,1177.5,1144.2,1308.9,1347.5,1490.7,1557.6,1748.1,1881.1,1966.3,1953.3,2048.7,2094.0,2362.1,2145.5,2413.5,2620.8
 "41000","Oregon",8,SAGDP2S,4,"[01-02]","     Farms","Millions of current dollars",243.9,234.5,255.2,285.7,283.9,278.6,321.9,324.2,328.6,402.2,563.8,672.0,630.3,619.3,538.8,614.2,777.9,850.7,906.1,867.8,812.2,971.2,985.6,1053.0,1041.0,1199.4,1301.4,1303.8,1292.1,1374.4,1417.7,1461.7,1293.4,1577.9,1726.9
 "41000","Oregon",8,SAGDP2S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of current dollars",31.5,34.5,36.5,42.4,46.1,48.1,51.7,58.6,64.1,76.7,90.6,107.0,114.1,144.0,145.6,193.5,267.4,300.1,310.0,309.7,332.0,337.7,361.9,437.8,516.6,548.7,579.7,662.5,661.2,674.3,676.3,900.5,852.1,835.6,893.9
 "41000","Oregon",8,SAGDP2S,6,"B","   Mining","Millions of current dollars",17.2,18.5,17.9,17.9,17.5,17.5,17.1,20.0,24.7,24.9,30.1,38.2,37.1,37.7,63.4,87.1,90.0,91.0,84.2,64.9,54.7,61.6,59.6,54.6,60.4,60.9,61.5,81.4,76.4,83.6,91.6,101.4,98.6,124.0,140.1
 "41000","Oregon",8,SAGDP2S,7,"10","     Metal mining","Millions of current dollars",1.8,1.7,2.2,1.7,1.5,2.3,1.9,2.0,1.5,1.8,2.3,2.9,2.1,3.3,2.2,3.1,6.1,9.0,11.2,7.8,4.2,3.8,1.9,2.9,2.3,1.5,1.3,1.8,1.4,1.2,1.2,0.8,1.6,2.0,2.1
 "41000","Oregon",8,SAGDP2S,8,"12","     Coal mining","Millions of current dollars",(L),(L),(L),(L),(L),0.0,0.0,(L),(L),0.0,0.0,0.0,0.0,0.0,1.2,3.2,4.9,7.8,12.3,14.5,13.0,12.9,12.8,8.4,7.3,6.5,4.4,5.7,5.4,6.1,6.4,(L),0.0,0.0,0.0
 "41000","Oregon",8,SAGDP2S,9,"13","     Oil and gas extraction","Millions of current dollars",1.0,1.0,0.8,0.6,0.4,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.3,1.2,1.8,2.0,6.4,7.3,7.0,3.8,5.9,6.9,6.1,3.2,1.8,0.4,0.2,0.1,(L),0.2,0.4,0.4,1.7,2.1
 "41000","Oregon",8,SAGDP2S,10,"14","     Nonmetallic minerals, except fuels","Millions of current dollars",14.5,15.9,14.9,15.7,15.5,14.9,15.0,17.8,23.0,23.1,27.7,35.1,34.7,34.1,58.8,78.9,77.0,67.8,53.4,35.6,33.7,39.0,38.0,37.3,47.6,51.1,55.4,73.6,69.5,76.3,83.8,100.1,96.6,120.2,135.9
