GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "51000","Virginia",5,SAGDP2S,1,"...","All industry total","Millions of current dollars",11681.9,12712.6,13666.0,14903.8,15924.9,17692.5,19638.0,21048.4,23157.3,26063.8,29450.0,32427.8,35067.0,39574.2,43218.8,48379.1,53397.8,58668.7,66178.6,71465.1,79438.9,89767.8,97966.7,107347.9,117602.8,128087.7,137660.7,144970.6,151092.6,158990.2,167688.4,177057.3,186235.6,197756.4,210360.6
 "51000","Virginia",5,SAGDP2S,2,"..."," Private industries","Millions of current dollars",9019.9,9802.6,10604.0,11496.0,12174.0,13484.5,14653.9,15727.6,17238.1,19633.6,22432.7,24530.7,26392.8,30094.2,32904.2,37042.3,40932.2,44643.2,50232.8,53969.9,60696.6,69085.2,75963.3,84022.9,92890.3,101477.3,108859.7,114266.6,118243.8,124151.1,131874.2,140084.1,149156.9,159153.5,170922.2
 "51000","Virginia",5,SAGDP2S,3,"A","   Agriculture, forestry, and fishing","Millions of current dollars",262.7,334.1,340.5,305.4,348.4,337.1,371.0,388.4,390.4,473.4,629.3,631.7,616.0,626.9,522.2,711.3,696.6,649.9,926.8,844.6,732.4,1053.2,1040.5,1097.8,1235.2,1413.0,1585.2,1678.9,1605.2,1708.3,1481.9,1764.7,1666.8,1828.1,1737.3
 "51000","Virginia",5,SAGDP2S,4,"[01-02]","     Farms","Millions of current dollars",229.5,297.3,299.7,262.1,301.1,284.9,316.5,328.7,326.8,402.2,545.5,536.7,524.2,510.3,406.0,567.1,529.7,467.9,744.8,648.6,492.8,792.8,717.7,728.1,799.6,939.7,1109.0,1156.0,1077.5,1173.1,964.6,1121.5,987.6,1097.8,956.8
 "51000","Virginia",5,SAGDP2S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of current dollars",33.2,36.8,40.8,43.3,47.3,52.1,54.5,59.6,63.6,71.2,83.8,95.0,91.8,116.6,116.2,144.2,166.9,182.0,182.1,196.0,239.7,260.4,322.8,369.7,435.6,473.4,476.2,522.9,527.7,535.2,517.3,643.2,679.2,730.3,780.5
 "51000","Virginia",5,SAGDP2S,6,"B","   Mining","Millions of current dollars",126.8,141.1,142.5,153.5,156.1,162.5,176.1,235.7,240.0,305.9,357.8,731.5,822.6,698.0,894.2,874.9,987.0,1029.3,1112.8,1166.5,943.6,1046.4,1010.7,831.1,800.9,1089.8,1010.4,1054.6,1041.1,1062.8,1012.1,1035.0,974.7,1054.5,1123.9
 "51000","Virginia",5,SAGDP2S,7,"10","     Metal mining","Millions of current dollars",3.8,3.1,2.7,2.7,1.3,1.8,1.8,2.1,1.7,1.9,2.7,4.3,3.8,3.2,5.4,6.1,8.1,8.8,8.0,8.4,7.7,9.0,7.6,1.9,1.5,2.1,2.8,2.9,2.7,2.8,2.4,1.7,1.2,1.0,2.7
 "51000","Virginia",5,SAGDP2S,8,"12","     Coal mining","Millions of current dollars",85.9,98.3,103.0,112.9,117.9,122.8,129.8,186.3,183.3,240.2,260.0,620.8,745.2,622.4,819.2,783.2,881.9,916.4,1009.0,1066.5,843.6,908.2,849.8,664.4,596.0,882.5,799.6,846.2,842.9,847.0,741.7,701.3,649.6,649.6,627.9
 "51000","Virginia",5,SAGDP2S,9,"13","     Oil and gas extraction","Millions of current dollars",0.6,0.7,0.7,0.7,0.7,0.6,0.4,0.4,0.3,0.3,0.4,0.8,0.6,1.1,4.5,4.0,4.9,8.5,16.0,16.1,9.1,15.7,30.2,26.8,29.3,33.6,35.7,34.2,40.3,48.5,93.3,117.5,102.2,135.5,163.6
 "51000","Virginia",5,SAGDP2S,10,"14","     Nonmetallic minerals, except fuels","Millions of current dollars",36.4,39.1,36.1,37.2,36.2,37.2,44.0,47.0,54.7,63.4,94.6,105.6,72.9,71.3,65.0,81.6,92.1,95.6,79.8,75.6,83.3,113.5,123.1,138.0,174.0,171.6,172.3,171.3,155.2,164.5,174.8,214.5,221.7,268.4,329.6
