GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States *", ,SAGDP3N,1,"...","All industry total","Thousands of dollars",577806000,603105000,628376000,662716000,668981000,718636000,756561000,821712000,881527000,945574000,982247000,997184000,968472000,1007267000,1043717000,1078079000,1128942000,1182741000,1217959000,1249888000,1306439000,1398417000,1459390000,773263000
 "00000","United States *", ,SAGDP3N,2,"..."," Private industries","Thousands of dollars",591621000,615012000,640409000,674237000,681557000,733346000,772153000,838250000,898500000,963073000,1000932000,1017570000,990981000,1028052000,1066438000,1100598000,1153514000,1207917000,1242490000,1275801000,1331738000,1425288000,1487083000,818160000
 "00000","United States *", ,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",-1100000,-5547000,-13008000,-14467000,-14526000,-5069000,-8048000,-4849000,-14524000,-6474000,-2567000,-1584000,-1821000,-1539000,707000,1070000,1334000,4164000,2305000,-503000,1594000,-554000,-8749000,-34924000
 "00000","United States *", ,SAGDP3N,4,"111-112","   Farms","Thousands of dollars",-1921000,-6321000,-13833000,-15334000,-15358000,-5870000,-8946000,-5766000,-15569000,-7618000,-3878000,-3196000,-3088000,-3001000,-920000,-542000,-380000,2467000,789000,-2013000,-68000,-2455000,-10690000,-34717000
 "00000","United States *", ,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",821000,775000,825000,867000,832000,801000,898000,917000,1045000,1145000,1311000,1612000,1266000,1462000,1627000,1612000,1714000,1696000,1516000,1510000,1663000,1901000,1941000,-207000
 "00000","United States *", ,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",12970000,12215000,12011000,14453000,14887000,14673000,17119000,20268000,26023000,29920000,33542000,42181000,29565000,32976000,37664000,40045000,41621000,46098000,39757000,37402000,39028000,44261000,44442000,38089000
 "00000","United States *", ,SAGDP3N,7,"211","   Oil and gas extraction","Thousands of dollars",9234000,8517000,8273000,10538000,11123000,11129000,13258000,16100000,21126000,24548000,27601000,35678000,23618000,26267000,29804000,31790000,33148000,37506000,32422000,30477000,31637000,36013000,36291000,34496000
 "00000","United States *", ,SAGDP3N,8,"212","   Mining (except oil and gas)","Thousands of dollars",3043000,2982000,3021000,3154000,3071000,2808000,3095000,3325000,3876000,4159000,4533000,4903000,4318000,5013000,5968000,5938000,6265000,6132000,4942000,4641000,5147000,6007000,5787000,4414000
 "00000","United States *", ,SAGDP3N,9,"213","   Support activities for mining","Thousands of dollars",692000,716000,718000,761000,693000,736000,767000,842000,1020000,1213000,1408000,1601000,1630000,1697000,1893000,2316000,2207000,2460000,2393000,2284000,2244000,2242000,2364000,-820000
 "00000","United States *", ,SAGDP3N,10,"22","  Utilities","Thousands of dollars",31759000,32347000,33560000,35125000,27891000,36400000,38678000,41045000,43788000,47937000,51369000,53198000,54852000,56540000,57720000,58601000,58947000,58974000,58707000,59961000,61803000,64123000,66487000,65606000
