GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "49000","Utah",7,SAGDP3N,1,"...","All industry total","Thousands of dollars",3446940,4084466,4218683,4446931,4621001,4670165,4912692,5450410,5785305,6238330,6525721,6511337,6232608,6247989,6787620,7358214,7563388,7820913,7935417,8654577,9719576,10193795,10532789,3882973
 "49000","Utah",7,SAGDP3N,2,"..."," Private industries","Thousands of dollars",3493131,4127188,4262607,4487487,4669866,4734853,4986474,5533086,5861087,6309095,6600991,6585194,6324976,6339819,6882596,7454154,7660425,7921562,8047814,8769584,9840520,10324601,10672181,4126624
 "49000","Utah",7,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",3284,-1183,-5526,-8969,-14574,-25498,-26418,-8665,-22481,-6149,3641,-3101,-2029,2340,7768,4770,7678,-16191,309,5828,4095,-11773,-8856,-188953
 "49000","Utah",7,SAGDP3N,4,"111-112","   Farms","Thousands of dollars",402,-4103,-8874,-12744,-17987,-28690,-29613,-12072,-26026,-10138,-986,-8717,-6983,-2745,2516,-518,2221,-21512,-4652,507,-1602,-18047,-15242,-185527
 "49000","Utah",7,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",2882,2920,3349,3775,3413,3192,3195,3407,3545,3990,4627,5616,4954,5085,5251,5288,5457,5321,4962,5321,5696,6274,6386,-3426
 "49000","Utah",7,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",98400,98037,85218,114497,113953,101670,126634,153480,216189,276068,315595,346410,260418,286420,342910,375464,381626,488793,399754,337205,289907,308791,299483,248495
 "49000","Utah",7,SAGDP3N,7,"211","   Oil and gas extraction","Thousands of dollars",34081,32670,28169,44883,50262,44849,66126,87509,132186,175355,202296,217197,152434,173825,205788,223568,231516,321069,269252,217764,177962,181416,171865,164492
 "49000","Utah",7,SAGDP3N,8,"212","   Mining (except oil and gas)","Thousands of dollars",57288,58077,50734,60811,54617,47943,51281,53611,67064,77988,87061,95789,82348,89263,110311,118402,117850,133417,100286,89387,87537,107110,107109,80996
 "49000","Utah",7,SAGDP3N,9,"213","   Support activities for mining","Thousands of dollars",7031,7289,6315,8803,9074,8878,9228,12360,16940,22725,26239,33424,25635,23331,26811,33494,32260,34307,30216,30053,24409,20265,20509,3007
 "49000","Utah",7,SAGDP3N,10,"22","  Utilities","Thousands of dollars",179582,197724,186814,190190,215738,226948,219993,244071,273694,296370,297119,318309,328735,341024,364855,359456,360348,338311,353790,403227,426975,457889,466919,414891
