GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "50000","Vermont",1,SAGDP3N,1,"...","All industry total","Thousands of dollars",1378738,1423847,1457623,1485389,1548117,1634193,1828270,1990387,2200962,2277659,2405806,2255497,2300952,2440713,2493284,2610869,2731148,2847850,2962741,3035375,3156562,3282430,3390083,2005915
 "50000","Vermont",1,SAGDP3N,2,"..."," Private industries","Thousands of dollars",1399760,1440119,1473256,1503893,1567525,1657559,1854387,2018572,2233932,2308770,2437797,2285725,2337998,2476987,2525296,2640573,2761182,2882508,2997751,3071611,3191453,3318247,3426330,2069595
 "50000","Vermont",1,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",13545,11243,8600,-4268,11456,-13402,-5600,4392,2250,5068,13355,14758,-12402,8120,14902,12710,19110,30293,27253,21402,27127,16277,16177,-72315
 "50000","Vermont",1,SAGDP3N,4,"111-112","   Farms","Thousands of dollars",12176,9815,7147,-5778,9969,-14917,-7169,2683,431,3061,11169,12296,-14790,5574,12233,10250,16552,27576,24562,18594,24089,12998,12494,-73920
 "50000","Vermont",1,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",1369,1428,1453,1510,1487,1515,1569,1710,1819,2006,2186,2462,2388,2546,2670,2460,2557,2717,2691,2809,3038,3279,3683,1605
 "50000","Vermont",1,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",4258,4807,5174,5456,4789,4689,4904,4818,4949,7770,8500,7008,7296,6684,7080,7952,8509,9342,10591,12734,13008,13788,15485,13083
 "50000","Vermont",1,SAGDP3N,7,"211","   Oil and gas extraction","Thousands of dollars",190,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAGDP3N,8,"212","   Mining (except oil and gas)","Thousands of dollars",4068,4653,5119,5428,4770,4674,4885,4807,4938,7760,8488,6980,7278,6662,6775,7621,8195,9046,10278,12389,12635,13460,15122,12831
 "50000","Vermont",1,SAGDP3N,9,"213","   Support activities for mining","Thousands of dollars",0,0,55,29,19,15,19,12,11,9,12,28,18,22,305,332,314,296,312,345,373,328,363,252
 "50000","Vermont",1,SAGDP3N,10,"22","  Utilities","Thousands of dollars",71662,77656,76264,76715,70645,78323,85599,100758,111917,119897,132418,124154,137729,150678,154878,161334,162760,174859,180210,138714,135607,146137,151606,148949
