GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "04000","Arizona",6,SAGDP3S,1,"...","All industry total","Thousands of dollars",370017,389540,394751,421404,454877,514673,598192,730740,868608,970779,1151837,1255368,1311325,1423183,1732368,1837117,2087210,2270947,2203837,2233858,2533176,3243845,3518906,3925738,4373286,4814169,5435264,5785889,6208047,6410093,6614278,7609296,7797692,8256216,8437791
 "04000","Arizona",6,SAGDP3S,2,"..."," Private industries","Thousands of dollars",370440,389999,395289,422005,455455,515388,599042,731872,870112,972788,1154037,1258287,1314739,1426883,1736858,1842852,2095886,2287217,2224063,2256321,2559919,3269356,3548194,3953256,4404733,4846776,5475300,5833929,6260770,6469805,6682858,7681438,7887832,8344353,8519843
 "04000","Arizona",6,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",-6085,-10518,-12753,-15487,-16238,-21910,-23040,-18419,-14069,-19773,-5721,14532,9597,15670,8297,-1785,11505,14773,12319,-4463,-60053,-63829,-55140,-93247,-169001,-162268,-91858,-62033,-59560,-50856,-115746,-22653,-49554,-20672,-26697
 "04000","Arizona",6,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",-6756,-11004,-12753,-15487,-16385,-22339,-23569,-19202,-15269,-21032,-7608,12708,7203,13157,2521,-7272,4986,7435,5390,-11868,-67605,-72697,-64510,-104597,-181314,-175826,-107584,-79769,-80159,-72955,-139341,-48146,-77183,-53069,-55647
 "04000","Arizona",6,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",671,486,0,0,147,429,528,783,1200,1259,1887,1824,2394,2512,5777,5487,6519,7338,6929,7405,7551,8868,9370,11349,12313,13558,15726,17736,20599,22099,23595,25493,27630,32396,28949
 "04000","Arizona",6,SAGDP3S,6,"B","   Mining","Thousands of dollars",11924,8953,3250,2855,5654,8053,8329,12322,19291,2844,18948,17586,13273,22215,58852,55473,61176,65067,69935,76399,72609,79144,83086,91006,89912,102239,107610,112478,138852,142831,141260,139959,159399,169851,159403
 "04000","Arizona",6,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",8194,5315,0,0,2896,5774,5890,10008,16776,0,15517,14082,9542,17778,53898,50375,54407,56291,60658,63963,60322,67644,72291,77042,73385,87234,89599,93715,117255,121325,119561,117172,137529,146900,134106
 "04000","Arizona",6,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,1,8,12,21,51,190,368,819,1917,3067,3758,4323,4042,7375,7701,7579,7758,9429,10742,11714,12327,12696,14532,14233,14950,15126,14857,15076,15383
 "04000","Arizona",6,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",377,632,514,470,615,541,639,625,805,878,1170,1200,1606,2043,1048,573,1032,2468,3270,2575,2072,1787,1455,541,1018,331,767,446,179,92,128,221,376,799,1893
 "04000","Arizona",6,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",3353,3006,2736,2385,2143,1738,1798,1681,1699,1945,2210,2114,1756,1574,1989,1458,1978,1985,1964,2486,2514,2134,1581,3993,4767,2961,4918,5621,6887,7182,6622,7441,6638,7075,8020
 "04000","Arizona",6,SAGDP3S,11,"C","   Construction","Thousands of dollars",6574,6390,5578,6325,6489,8034,11132,14851,22205,30280,32200,29625,24688,24278,32994,38889,44926,45097,41099,41313,53597,72196,76616,84906,86301,85308,86035,89166,91744,99947,114737,145462,154937,167528,174995
