GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "98000","Far West",8,SAGDP3S,1,"...","All industry total","Thousands of dollars",7754064,8361619,8927558,9220911,9879388,11320494,12539742,13570233,15144536,16314754,18057318,19995518,21879407,23485590,27073671,29161943,26339560,31382256,38413886,37726855,38867697,44065109,46923648,48463449,51356105,57736990,62265898,69360392,75392983,79246760,79893273,84923844,89199351,90725600,96352511
 "98000","Far West",8,SAGDP3S,2,"..."," Private industries","Thousands of dollars",7772342,8381152,8949700,9245326,9906208,11351467,12579185,13623235,15214796,16416687,18160977,20141957,22071532,23757128,27385825,29533887,26865604,32104763,39203480,38657675,39888470,45112079,48088149,49569524,52416482,58948201,63683557,71038831,77270502,81485844,82309271,87802285,92605432,94249547,99310291
 "98000","Far West",8,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",-17507,-67072,-92210,-167733,-134490,-167840,-178133,-149337,-82823,-163220,-6062,219271,205791,258657,237722,38707,318603,318221,339594,190507,-896708,-678223,-533377,-1268607,-2147946,-1800460,-992272,-626305,-416329,-482174,-1532017,-257109,-195590,-76484,-200028
 "98000","Far West",8,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",-33270,-78761,-92210,-167733,-137903,-177023,-188070,-165173,-106070,-186871,-43923,181385,158766,203983,126558,-84116,124982,89790,78910,-62920,-1144332,-890521,-758542,-1499215,-2428734,-2104146,-1361977,-1037776,-851231,-972783,-2010422,-827739,-775380,-671190,-759490
 "98000","Far West",8,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",15763,11690,0,0,3413,9183,9937,15836,23247,23651,37861,37886,47026,54675,111164,122823,193621,228431,260684,253427,247624,212298,225165,230608,280788,303687,369705,411471,434902,490610,478405,570630,579790,594706,559462
 "98000","Far West",8,SAGDP3S,6,"B","   Mining","Thousands of dollars",129366,132302,136418,143012,152120,199129,193293,196482,195761,195977,196855,249852,265022,270057,487920,503383,489071,3447788,7514302,5603324,3600706,3224474,2647614,1703702,1215381,1402104,1331631,1962616,1978807,1927374,1751012,1601019,1845927,1884763,1914015
 "98000","Far West",8,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",1793,1516,0,0,1509,2085,2110,2684,3751,4753,4894,5574,4556,5011,10327,10637,8693,10880,16326,18568,21460,27215,33555,43008,53893,73461,68525,102792,112171,113816,118868,152612,153037,178148,172242
 "98000","Far West",8,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",39,21,0,0,3,25,7,9,56,54,149,234,334,442,1202,2040,2496,2885,3021,5097,5799,5795,7971,8481,9396,10097,9635,10243,10173,10646,11307,10485,11338,11662,12435
 "98000","Far West",8,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",122974,126151,131680,138353,145882,191514,184526,185846,182766,183050,181934,234337,252627,254488,458722,472367,463948,3419526,7478380,5563893,3558028,3174782,2587569,1634180,1133750,1297144,1230892,1824738,1828099,1771884,1590530,1405227,1645354,1654552,1688035
 "98000","Far West",8,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",4561,4613,4737,4659,4726,5506,6650,7944,9189,8119,9878,9706,7505,10116,17670,18339,13934,14497,16575,15765,15419,16682,18520,18033,18342,21402,22579,24843,28364,31029,30307,32694,36199,40401,41304
 "98000","Far West",8,SAGDP3S,11,"C","   Construction","Thousands of dollars",68128,70143,74047,76410,75523,87167,98344,114327,135154,158679,161358,170861,197500,231318,240329,254156,233400,234916,240964,242961,278956,304967,330004,375341,395329,473510,524115,528305,519859,531992,547726,604212,637205,660877,727193
 "98000","Far West",8,SAGDP3S,12,"D","   Manufacturing","Thousands of dollars",759192,811403,842507,835185,838875,957777,1060713,1089125,1190109,1191555,1264803,1315502,1321392,1380214,1557016,1570653,1296647,1315902,1403903,1516859,1552820,1703987,1787139,2053461,2291141,2445188,2760671,3115339,3990892,4205748,4171737,4225437,4757542,4807374,4857425
 "98000","Far West",8,SAGDP3S,13,"...","     Durable goods manufacturing","Thousands of dollars",343555,350425,308427,281784,304945,356484,405995,413912,453412,380261,416123,450839,468537,506362,585347,594718,449262,454004,495321,577506,585438,660471,758135,856386,933402,1051684,1119194,1252881,1385596,1466505,1445917,1484233,1596450,1700453,1823823
 "98000","Far West",8,SAGDP3S,14,"24","       Lumber and wood products","Thousands of dollars",22342,21891,19684,20384,22101,26479,30437,33350,42271,44177,53698,64912,58822,66998,77339,76559,68567,67638,69996,73766,79732,86837,89696,96026,102938,110186,119626,124623,128611,128910,127411,134685,130400,124766,126037
 "98000","Far West",8,SAGDP3S,15,"25","       Furniture and fixtures","Thousands of dollars",3860,3966,3839,3842,3906,4230,4856,5384,6041,6542,7072,7467,8333,8817,9874,10011,6177,6353,6854,7637,8168,9477,10723,11997,13369,15208,16047,17317,18136,19576,19168,19008,21200,22628,23293
 "98000","Far West",8,SAGDP3S,16,"32","       Stone, clay, and glass products","Thousands of dollars",15228,15261,16261,16329,16400,19227,21388,22917,25655,27935,29137,30234,34942,37738,43772,42479,27619,28586,30275,32864,32460,35086,38771,43171,47218,53432,56793,63016,68330,70757,67867,68639,71711,74067,80206
 "98000","Far West",8,SAGDP3S,17,"33","       Primary metal industries","Thousands of dollars",34799,33507,34164,41461,50607,59467,62623,66011,72963,67172,67715,71318,86947,75282,82413,79235,55230,57991,58075,71225,75267,80689,86585,96151,106195,119413,129110,138532,150807,146170,138890,138866,149828,159425,160646
 "98000","Far West",8,SAGDP3S,18,"34","       Fabricated metal products","Thousands of dollars",15070,17367,16839,18173,19673,25412,27324,29007,31387,36007,36250,39652,46252,47061,51586,52158,36455,38856,43658,49109,49877,55070,61781,67770,74237,83788,88159,96990,101970,107600,110197,114423,123504,126613,129720
 "98000","Far West",8,SAGDP3S,19,"35","       Industrial machinery and equipment","Thousands of dollars",20120,20373,16919,16385,19185,21779,24315,28501,29555,32256,36498,41695,48146,57107,67086,67787,45016,48695,56596,72748,79382,89712,102866,115576,126579,143065,151605,178971,203545,224217,214822,219117,246827,263116,295540
 "98000","Far West",8,SAGDP3S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",70666,69644,40217,23185,29575,31716,36360,41948,48259,49972,57884,63576,69991,76783,79244,80151,52127,61645,71649,93597,104860,127269,157271,178387,152556,159393,167703,196919,224480,240249,246336,260016,314294,364173,404984
 "98000","Far West",8,SAGDP3S,21,"371","       Motor vehicles and equipment","Thousands of dollars",104024,113250,108165,84851,84539,113915,138942,123375,130852,42654,54746,56784,30190,42136,59588,71151,69731,47745,49597,45411,13371,13713,16708,21526,25634,27585,28240,31777,39132,39358,37735,37272,48202,49851,49767
 "98000","Far West",8,SAGDP3S,22,"372-379","       Other transportation equipment","Thousands of dollars",46816,44335,44599,51309,52119,47358,51809,54442,57097,62406,60215,60210,67310,72099,79669,78358,61157,66400,72864,87774,94513,107164,126844,150741,162959,185230,203130,228988,247235,267458,259179,255436,242085,252645,271948
 "98000","Far West",8,SAGDP3S,23,"38","       Instruments and related products 2/","Thousands of dollars",4228,4760,3295,2761,3086,2956,3197,3308,3460,5317,6432,7987,9568,11842,19825,20340,14803,17542,21138,27104,30930,37672,44707,50575,92350,121103,126847,140871,164267,178674,179321,182811,193842,202607,216738
 "98000","Far West",8,SAGDP3S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",6403,6071,4444,3106,3755,3945,4743,5670,5872,5822,6476,7003,8036,10498,14951,16489,12380,12554,14618,16273,16877,17782,22182,24465,29366,33282,31934,34879,39083,43535,44990,53961,54556,60560,64945
 "98000","Far West",8,SAGDP3S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",415637,460978,534080,553401,533930,601292,654718,675213,736696,811294,848680,864664,852855,873852,971669,975935,847385,861897,908582,939353,967382,1043516,1029004,1197075,1357739,1393504,1641476,1862458,2605295,2739244,2725820,2741204,3161093,3106921,3033602
 "98000","Far West",8,SAGDP3S,26,"20","       Food and kindred products","Thousands of dollars",305725,344135,387372,416455,407458,427466,461214,472739,526319,562074,582703,592591,579253,573588,606188,615654,586779,597297,615752,598016,621757,669364,613086,770248,842127,753396,962614,1060376,1707162,1776666,1774875,1734558,2114529,2055339,1940026
 "98000","Far West",8,SAGDP3S,27,"21","       Tobacco products","Thousands of dollars",1163,1198,1145,1160,1153,1323,1301,1567,1805,541,517,449,403,489,1297,1321,2169,2798,747,227,218,214,234,662,709,791,634,288,261,214,209,194,200,214,260
 "98000","Far West",8,SAGDP3S,28,"22","       Textile mill products","Thousands of dollars",2159,2349,2717,2953,3252,3467,4132,5775,5851,7068,6614,6855,6534,6229,7158,7165,4539,4578,5043,6066,6509,7368,8789,9535,11069,13176,13847,15086,16280,16270,17080,19447,21874,25150,27995
 "98000","Far West",8,SAGDP3S,29,"23","       Apparel and other textile products","Thousands of dollars",1886,2097,2104,2255,2530,2530,3093,3613,4163,5387,6358,7088,7829,8217,9255,9120,5876,6023,6398,7263,7656,8924,9813,11548,13676,15559,17085,20581,23679,25845,25599,27468,31403,34284,34811
 "98000","Far West",8,SAGDP3S,30,"26","       Paper and allied products","Thousands of dollars",15553,15850,17616,19483,21276,22980,25550,29733,32164,35232,35776,38377,45715,48770,56850,50772,40131,43443,46244,51722,55584,63645,72143,81735,90159,98891,109236,122454,137120,145446,143259,147832,152603,153388,154105
 "98000","Far West",8,SAGDP3S,31,"27","       Printing and publishing","Thousands of dollars",6725,7130,6954,7607,8398,8498,9876,11449,12989,14266,16610,19189,21036,26576,31961,32596,22218,23959,26912,31443,34751,40842,47139,54410,61350,70614,76412,90241,101577,110730,111245,111839,114687,115064,118656
 "98000","Far West",8,SAGDP3S,32,"28","       Chemicals and allied products","Thousands of dollars",24207,26289,27736,28924,32818,36865,41898,46707,49455,57003,56449,59394,64955,71499,76362,75728,46456,48260,55602,67945,73456,83843,93073,94262,113738,162625,178161,214597,213095,240813,243754,282012,292656,315590,332360
 "98000","Far West",8,SAGDP3S,33,"29","       Petroleum and coal products","Thousands of dollars",38487,41394,65402,51607,32929,67034,72961,68932,75759,85844,94176,94022,86738,95139,127869,127782,93855,106593,128548,151582,141828,146039,159288,145424,191026,239305,242260,289739,351110,366300,351251,355046,362895,332783,344969
 "98000","Far West",8,SAGDP3S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",19498,20155,22740,22623,23789,30771,34264,34139,27494,43063,48595,45730,39449,42427,53527,54586,44635,28249,22521,24157,24708,22290,24377,28022,32602,37792,39846,47428,53200,55107,56530,60710,67968,72751,77877
 "98000","Far West",8,SAGDP3S,35,"31","       Leather and leather products","Thousands of dollars",234,382,294,333,327,359,430,560,697,815,883,969,942,918,1201,1211,725,696,814,932,913,987,1062,1230,1283,1355,1381,1667,1812,1852,2016,2098,2277,2358,2542
 "98000","Far West",8,SAGDP3S,36,"E","   Transportation and public utilities","Thousands of dollars",828352,870464,905228,936139,1047234,1148941,1309395,1464685,1695293,1855419,1965340,2074668,2183051,2401797,2592277,2735637,2220893,2412836,2632859,2933880,3614056,3976993,4510798,4891918,5022818,5593423,5815273,6339870,7180413,7558909,7850880,8452942,8956831,8598745,9906984
 "98000","Far West",8,SAGDP3S,37,"...","     Transportation","Thousands of dollars",181099,187257,194692,218947,226052,236087,274579,316789,349486,390762,416409,425257,358279,427815,403069,485481,415251,475797,365638,459680,691675,801047,942716,1076169,1113215,1279129,1320589,1523489,1885838,1937774,1968141,2345042,2307983,1586137,2398620
 "98000","Far West",8,SAGDP3S,38,"40","       Railroad transportation","Thousands of dollars",22975,24745,24007,23948,25313,21635,24994,27949,20415,3531,4299,-12855,-99219,-89434,-141254,-134863,-182552,-194144,-184758,-189656,-198231,-216757,-152680,-138117,-118989,-144096,-129876,-94339,-81879,-94860,-78018,-86903,-132172,-166936,-180285
 "98000","Far West",8,SAGDP3S,39,"41","       Local and interurban passenger transit","Thousands of dollars",26211,26305,26203,25952,25627,24318,25212,27349,30754,31755,32728,31535,31712,31434,28301,27748,21842,22950,25416,28298,31015,37643,41566,46160,49330,57035,59467,65542,74496,82542,86382,92119,102891,116286,127288
 "98000","Far West",8,SAGDP3S,40,"42","       Trucking and warehousing","Thousands of dollars",95308,99167,102033,108242,107525,98221,106344,115565,123315,136564,140890,134965,133462,141217,134142,142610,132838,142082,154399,169489,190694,227780,255620,293747,300830,343866,361819,387808,418562,445220,469629,511497,577596,585527,636119
 "98000","Far West",8,SAGDP3S,41,"44","       Water transportation","Thousands of dollars",-11527,-14857,-16330,-12939,-16750,-12244,-9525,-5134,-12510,-6257,-7602,1430,3299,4493,2518,-3216,-5053,6064,8478,32256,31596,31929,38862,63406,71822,85687,84434,101220,107215,128298,120059,135518,139123,160363,183134
 "98000","Far West",8,SAGDP3S,42,"45","       Transportation by air","Thousands of dollars",25090,28014,32974,46441,53840,70616,91561,113373,144972,179005,202171,225513,236640,283035,314990,361204,379915,428331,287860,334368,545955,617022,643473,686918,684456,800807,804553,903648,1183736,1187254,1166494,1465708,1364343,645966,1373874
 "98000","Far West",8,SAGDP3S,43,"46","       Pipelines, except natural gas","Thousands of dollars",11020,11461,11223,10753,11514,12617,13057,13534,15308,15889,15488,15550,18462,21416,25920,56758,45579,46450,47587,52720,53468,58018,64917,63978,69683,72341,74065,85237,100817,102170,115347,129904,148519,136485,143950
 "98000","Far West",8,SAGDP3S,44,"47","       Transportation services","Thousands of dollars",12023,12422,14582,16550,18982,20925,22936,24153,27233,30275,28435,29119,33924,35653,38452,35239,22682,24064,26654,32205,37180,45411,50957,60078,56082,63489,66127,74374,82891,87151,88248,97198,107683,108446,114539
 "98000","Far West",8,SAGDP3S,45,"48","     Communications","Thousands of dollars",350773,372734,389622,382519,475659,517640,588505,638448,733432,790048,833141,883292,931324,990696,1091519,1122402,855006,879749,1016534,988914,1321818,1369035,1495726,1568524,1535139,1680389,1703738,1748059,1863155,1932136,2022002,2047450,2315045,2467394,2683087
 "98000","Far West",8,SAGDP3S,46,"49","     Electric, gas, and sanitary services","Thousands of dollars",296479,310473,320914,334673,345523,395214,446310,509448,612374,674608,715790,766118,893447,983286,1097688,1127754,950636,1057290,1250688,1485285,1600563,1806911,2072357,2247225,2374464,2633905,2790947,3068322,3431421,3688998,3860737,4060451,4333802,4545214,4825277
 "98000","Far West",8,SAGDP3S,47,"F","   Wholesale trade","Thousands of dollars",2148261,2267945,2443568,2611867,2744893,3081585,3284205,3476571,3776626,4060197,4487724,4671913,5290646,5451469,5786440,6698030,6989730,7416381,8199005,8254706,9586183,11910377,12359784,13338829,14314870,16312582,16914259,18178520,19843974,20922215,22178870,24345291,24712560,24993439,25844666
 "98000","Far West",8,SAGDP3S,48,"G","   Retail trade","Thousands of dollars",1328747,1492942,1578301,1686803,1852196,2198173,2442634,2671645,2914769,3281590,3639641,4083057,4473212,5069499,5661709,6538850,7019327,7791690,8599066,8742446,10013816,11163540,12021583,12311629,13313585,14104854,15441451,17347576,17997989,19388994,19922878,20932514,22394516,23117197,24525360
 "98000","Far West",8,SAGDP3S,49,"H","   Finance, insurance, and real estate","Thousands of dollars",2080372,2315906,2526343,2618145,2793519,3238728,3676316,3993962,4532623,4910704,5407845,6186773,6854239,7254178,9238069,9439848,6520728,7180128,8055885,8737112,9419801,10422294,11617037,12597780,13959708,15813986,16881285,18471215,19918651,20763438,20283995,20244501,21132089,21687292,22632026
 "98000","Far West",8,SAGDP3S,50,"60","     Depository institutions 3/","Thousands of dollars",15327,13202,9424,10778,7135,18175,25394,51609,59002,67529,56272,72040,80715,90530,113099,121463,96699,109132,124271,147294,161490,178842,200273,218017,402749,490940,533284,577822,626225,670527,658726,655176,663290,664680,653203
 "98000","Far West",8,SAGDP3S,51,"61","     Nondepository institutions 3/","Thousands of dollars",36620,42127,46316,47107,56200,69785,69198,62637,65896,70634,99759,104903,102629,118140,124185,134256,111406,122405,147648,178054,193289,238574,287790,355065,244859,254699,284209,324729,347235,383833,434032,469389,487104,566265,619690
 "98000","Far West",8,SAGDP3S,52,"62","     Security and commodity brokers","Thousands of dollars",6005,6363,7763,8100,10888,10578,10612,6093,8743,9566,9278,7228,10209,12726,14310,16592,18585,25929,30456,37567,51899,54157,60228,78059,95875,104810,110585,122735,160984,177987,211591,227162,261428,261974,298215
 "98000","Far West",8,SAGDP3S,53,"63","     Insurance carriers","Thousands of dollars",167536,202182,207736,227238,225783,255679,322040,319214,385381,410149,436254,437789,463028,509268,587846,662823,642662,716654,764479,781889,987152,824435,1090251,1388972,1605342,1828498,1916435,1885645,2112966,1999034,2118851,1968359,2067883,2224885,2297949
 "98000","Far West",8,SAGDP3S,54,"64","     Insurance agents, brokers, and services","Thousands of dollars",19773,19532,21724,22841,24459,30553,29274,30339,32615,34938,33771,35545,45369,54816,37349,41692,33428,33227,29090,27684,31633,34048,37452,40823,50694,69971,78891,86774,105592,111029,120495,120836,129957,114552,105732
 "98000","Far West",8,SAGDP3S,55,"65","     Real estate","Thousands of dollars",1829862,2026866,2227240,2295700,2463019,2845460,3209654,3512884,3967144,4299076,4749230,5505406,6128921,6445417,8345645,8446261,5600674,6125126,6872671,7492234,7924655,9018031,9865612,10443403,11477786,12968627,13843841,15317471,16402645,17245323,16511963,16569472,17348674,17672011,18432929
 "98000","Far West",8,SAGDP3S,56,"67","     Holding and other investment offices","Thousands of dollars",5251,5635,6141,6381,6036,8498,10145,11185,13842,18812,23282,23863,23368,23280,15635,16762,17274,47653,87271,72390,69683,74207,75430,73441,82402,96441,114041,156038,163004,175705,228337,234105,173753,182923,224309
 "98000","Far West",8,SAGDP3S,57,"I","   Services","Thousands of dollars",447431,487118,535498,505499,536339,607808,692419,765775,857284,925786,1043473,1170060,1280679,1439940,1584342,1754622,1777204,1986901,2217902,2435880,2718840,3083669,3347566,3565471,4051597,4603014,5007144,5721696,6256245,6669348,7134191,7653479,8364350,8576345,9102648
 "98000","Far West",8,SAGDP3S,58,"70","     Hotels and other lodging places","Thousands of dollars",39001,43013,47371,49998,54078,70102,79439,89953,104769,112586,132924,153921,176649,204560,240959,259193,269192,289643,326194,350090,363820,450542,513832,550088,650127,752358,818163,943860,1013397,1053990,1047256,1149377,1275439,1422728,1464494
 "98000","Far West",8,SAGDP3S,59,"72","     Personal services","Thousands of dollars",27430,29889,32236,33816,34751,41051,45588,51528,58655,68293,71720,74025,77866,84333,86318,94937,93913,106804,116402,123729,142931,160628,171559,180797,214601,238118,257374,288388,307201,318942,343994,361708,388550,388199,400603
 "98000","Far West",8,SAGDP3S,60,"73","     Business services 4/","Thousands of dollars",27361,29472,31808,34447,40519,47681,57398,67699,80403,96181,113151,127614,154097,186872,201066,223188,211570,230848,280004,324692,380443,462954,509817,567891,602688,663524,699537,812315,885719,967223,1048508,1184732,1262957,1307033,1443193
 "98000","Far West",8,SAGDP3S,61,"75","     Automotive repair, services, and parking","Thousands of dollars",37928,40239,42702,45899,46136,54688,62991,71970,82709,95972,111305,130171,149595,178060,214365,248355,261934,297826,333703,370452,414760,472382,521032,544504,621389,730008,802795,896268,1018282,1090122,1241356,1283606,1448921,1471722,1591146
 "98000","Far West",8,SAGDP3S,62,"76","     Miscellaneous repair services","Thousands of dollars",10430,10283,11310,11878,14385,20564,29570,40483,52068,65854,72066,77568,81386,88990,92530,109193,118832,137918,154220,160503,191574,234558,263045,273434,320990,343316,382427,456501,467800,486013,490632,512405,557561,595830,671986
 "98000","Far West",8,SAGDP3S,63,"78","     Motion pictures","Thousands of dollars",47738,54858,63315,50123,53598,60951,72781,81405,91911,113611,113420,112930,106037,99555,92108,105140,103654,120766,135179,139952,152948,170869,186263,195763,223079,232692,241780,275769,302583,327042,334348,351167,388650,421126,450506
 "98000","Far West",8,SAGDP3S,64,"79","     Amusement and recreation services","Thousands of dollars",215822,236015,259621,227764,237340,251564,278495,288666,303738,280836,309400,349297,365095,389888,406994,439134,460170,494801,526501,566474,607860,617701,615470,636240,690991,753992,804841,908776,955058,1001730,1043697,1114574,1183064,1163827,1223488
 "98000","Far West",8,SAGDP3S,65,"80","     Health services","Thousands of dollars",26602,28722,30242,33212,36273,40706,44739,50858,57208,63080,72540,84219,96626,118935,126660,141106,129954,156811,178087,208183,245773,267367,296924,319682,375609,465140,524213,586396,680485,760030,880640,932743,1044131,1001444,1024465
 "98000","Far West",8,SAGDP3S,66,"81","     Legal services","Thousands of dollars",7265,6554,7462,7944,8499,9762,8802,9083,9411,10405,13579,15085,15784,17532,20119,21509,20007,25313,29820,34790,39073,44705,46802,53978,57210,64515,68266,76711,80841,84900,87371,90392,90095,87501,91659
 "98000","Far West",8,SAGDP3S,67,"82","     Educational services","Thousands of dollars",354,88,0,0,0,0,247,806,1745,2630,5074,6503,7336,10438,12672,14067,14253,18037,20300,24357,27663,30221,33532,34475,40844,53098,60391,65194,79104,85258,95762,101675,120020,118597,117820
 "98000","Far West",8,SAGDP3S,68,"83","     Social services","Thousands of dollars",568,531,513,756,744,746,1187,1157,1493,1676,4773,8608,9658,9779,13281,14696,12721,14131,15019,17120,20071,23441,26120,29908,34461,31444,35559,41358,49293,55937,61230,66980,71156,73487,76728
 "98000","Far West",8,SAGDP3S,69,"86","     Membership organizations","Thousands of dollars",1920,1998,2247,2509,2974,2713,3240,3675,4161,5326,9977,15116,21440,28214,35644,39187,38840,43584,46715,50446,54654,63843,69561,74247,77457,82981,87106,116024,131405,137918,135525,142219,150075,151971,156699
