GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "20000","Kansas",4,SAGDP3S,1,"...","All industry total","Thousands of dollars",424861,434935,454479,447098,484077,548090,593575,649146,751278,799986,940425,1094613,1223933,1409360,1422219,1488660,1638486,1865474,2219872,2143329,2130889,2413080,2551562,2588934,2710861,2941446,3136341,3318389,3728082,3874935,3779857,4472205,4494578,4689344,5047316
 "20000","Kansas",4,SAGDP3S,2,"..."," Private industries","Thousands of dollars",425026,435120,454692,447333,484338,548383,593956,649653,751979,801022,941474,1096116,1225884,1412073,1425314,1492509,1646143,1873150,2229342,2158956,2148109,2430441,2571098,2605346,2729192,2963106,3160061,3345300,3753889,3908194,3815836,4517845,4560512,4768622,5132698
 "20000","Kansas",4,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",20392,8754,2657,-14655,-5263,-8590,-14002,-9080,13141,-13489,43976,127392,111282,123612,81067,72384,99187,112163,114087,55798,-78444,-68856,-45803,-113698,-236289,-191819,-76373,-65373,-23631,-58630,-178652,-49931,4493,-25575,-19509
 "20000","Kansas",4,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",19706,8215,2657,-14655,-5414,-9034,-14501,-9819,11977,-14534,42489,126073,109672,121792,78497,69696,95906,108422,109886,51179,-83757,-74710,-52207,-121064,-244369,-200297,-85476,-74826,-34684,-70156,-191047,-64734,-11151,-42927,-38432
 "20000","Kansas",4,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",686,539,0,0,150,444,498,739,1164,1045,1487,1319,1610,1820,2570,2688,3281,3741,4201,4619,5312,5854,6404,7366,8081,8478,9102,9454,11053,11526,12395,14803,15643,17352,18924
 "20000","Kansas",4,SAGDP3S,6,"B","   Mining","Thousands of dollars",27394,27127,27051,26854,25789,30846,27942,28202,30396,32599,30482,37215,36293,44076,70926,79720,86148,252867,555969,413310,301851,413690,334567,196788,170657,178614,188601,210844,212463,212371,199739,224894,197499,208540,230361
 "20000","Kansas",4,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "20000","Kansas",4,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",124,79,0,0,23,94,105,142,154,103,228,81,131,189,750,1293,1082,1262,1297,1913,1878,2826,3129,3371,4062,2835,2708,2447,1408,1348,1299,1358,1418,1444,1762
 "20000","Kansas",4,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",26761,26553,26561,26389,25312,30332,27284,27351,28941,31521,28672,35833,35076,42504,68099,76201,82473,248852,552072,408687,297003,407812,328130,189836,162713,172034,182197,204237,206098,206246,193524,217651,190682,200541,220988
 "20000","Kansas",4,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",507,495,490,465,454,420,553,709,1300,974,1582,1300,1085,1383,2077,2225,2593,2753,2599,2710,2970,3053,3308,3582,3882,3745,3696,4160,4957,4777,4915,5886,5399,6555,7611
 "20000","Kansas",4,SAGDP3S,11,"C","   Construction","Thousands of dollars",5156,4868,5390,5459,5643,6879,7440,8565,10432,12322,12188,13549,15005,17791,17339,18405,20427,20332,18953,20045,22947,23932,23493,27929,31179,29442,29105,30193,33198,37678,38981,47558,46470,50134,54271
 "20000","Kansas",4,SAGDP3S,12,"D","   Manufacturing","Thousands of dollars",69397,73571,82980,79978,80131,89735,100442,103412,113176,122766,127339,129269,139761,143901,149424,155915,169545,167594,169726,181843,183879,181708,195140,224849,259498,266645,206195,210124,244150,257109,239446,276850,293637,309664,330137
 "20000","Kansas",4,SAGDP3S,13,"...","     Durable goods manufacturing","Thousands of dollars",26277,26141,24067,22317,22930,28259,29119,31059,35298,25784,28530,30154,33393,34413,40307,43018,51685,48910,46063,54382,51726,58988,65584,78055,84422,85182,93519,95007,109752,118322,109293,126453,137563,152369,164756
 "20000","Kansas",4,SAGDP3S,14,"24","       Lumber and wood products","Thousands of dollars",443,560,348,324,528,407,347,232,141,677,758,1172,885,949,1532,1615,1736,1549,1743,2015,1820,1957,1968,2082,2394,2324,2338,2409,2789,3118,3059,3983,4013,4502,4651
 "20000","Kansas",4,SAGDP3S,15,"25","       Furniture and fixtures","Thousands of dollars",178,179,176,177,229,221,244,237,251,325,355,382,395,360,375,363,405,405,336,400,387,409,433,477,500,524,624,688,786,787,750,869,983,986,994
 "20000","Kansas",4,SAGDP3S,16,"32","       Stone, clay, and glass products","Thousands of dollars",1481,1742,1857,2015,1824,1986,1974,1989,2460,2968,3461,3633,4563,4639,5665,5787,6190,6013,5613,6542,7143,7349,8082,9031,9196,8593,9227,9467,10319,10794,9828,11248,11298,12025,12576
 "20000","Kansas",4,SAGDP3S,17,"33","       Primary metal industries","Thousands of dollars",556,568,559,646,831,993,1514,2004,2176,2373,2424,2731,3013,2732,2465,2925,3409,3306,3010,3424,3369,4495,4895,5916,6579,6592,6750,6750,7597,7853,7616,8816,9684,10697,11291
 "20000","Kansas",4,SAGDP3S,18,"34","       Fabricated metal products","Thousands of dollars",839,927,993,1200,1202,1614,1895,2431,3259,2749,2403,2665,3360,3214,4002,3875,4339,4308,4389,5386,5382,5466,6157,7279,8263,8450,8917,8553,10132,9422,8608,9191,9850,10811,12129
 "20000","Kansas",4,SAGDP3S,19,"35","       Industrial machinery and equipment","Thousands of dollars",1461,1508,1248,1181,1399,1545,1786,2040,2346,2910,3684,4590,5623,5508,6026,6163,7426,7421,6891,7912,8070,9129,10470,12691,14388,14416,15886,16702,18324,18579,18281,21521,23837,24475,26023
 "20000","Kansas",4,SAGDP3S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",472,484,328,201,212,252,329,434,596,804,1021,1124,1284,1585,1842,1835,2304,2304,2399,2866,3222,3823,4398,5093,5471,5790,6686,7045,8505,9361,8610,9722,10511,11778,12844
 "20000","Kansas",4,SAGDP3S,21,"371","       Motor vehicles and equipment","Thousands of dollars",16451,15110,13824,10649,10654,16004,15825,16536,18417,5727,6700,5905,6189,7115,9310,10378,11798,9219,7598,10415,5944,5937,7259,8425,7959,8762,8372,8284,9949,11676,9953,13737,16936,15981,15337
 "20000","Kansas",4,SAGDP3S,22,"372-379","       Other transportation equipment","Thousands of dollars",4227,4848,4621,5806,5927,4992,4973,4983,5281,6864,7142,7267,7390,7539,7647,8583,12531,12816,12783,13831,14504,18263,19452,24465,26704,26828,31503,31936,37681,42925,38716,42754,45531,55809,63507
 "20000","Kansas",4,SAGDP3S,23,"38","       Instruments and related products 2/","Thousands of dollars",35,41,28,43,34,90,44,46,239,236,329,366,371,379,642,688,704,767,678,947,1088,1323,1435,1461,1719,1917,2332,2232,2573,2636,2665,3243,3720,3920,4150
