GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "92000","Mideast",2,SAGDP3S,1,"...","All industry total","Thousands of dollars",13958056,14927398,15792635,16322976,17754178,19652097,21339474,23274006,25155610,26228422,27793077,29273454,31407528,32359367,33160025,35153784,37251595,38601671,40973895,42756101,47451184,53461691,57199416,62710928,68105421,70583259,77025132,81336806,86360820,91944601,93728687,99485376,99290592,102743151,106990716
 "92000","Mideast",2,SAGDP3S,2,"..."," Private industries","Thousands of dollars",14025194,15001266,15877161,16417383,17860784,19782990,21507872,23500534,25465224,26680401,28266028,29946764,32243142,33442438,34385207,36596293,38968029,40702509,43289832,45630086,50513103,56441737,60536849,65719189,71071169,73890514,80811045,85458257,90865762,96572059,98846690,104603908,105162179,108590512,111965243
 "92000","Mideast",2,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",25896,3379,-13952,-47648,-35828,-39692,-53917,-39479,749,-34956,28851,129736,123169,158620,125930,86594,182185,172660,175996,99452,-237649,-161542,-124286,-370745,-601608,-445976,-243872,-74853,7977,-38708,-270349,73625,107486,126640,183761
 "92000","Mideast",2,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",19058,-1683,-13952,-47648,-37256,-43703,-58274,-45958,-9101,-44304,15074,117239,108071,142769,95424,55012,148292,136081,136558,56190,-288065,-217189,-186942,-442657,-680384,-534340,-341777,-183715,-111278,-163252,-402690,-72283,-47206,-46692,8316
 "92000","Mideast",2,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",6838,5061,0,0,1427,4011,4356,6479,9850,9348,13777,12497,15098,15851,30506,31582,33893,36579,39438,43261,50415,55648,62656,71912,78776,88364,97904,108862,119254,124544,132341,145908,154692,173332,175445
 "92000","Mideast",2,SAGDP3S,6,"B","   Mining","Thousands of dollars",23557,21155,15800,15884,18348,23532,24163,26809,33520,33187,44010,47185,45685,51115,85536,114850,126439,127755,152998,184778,173819,186536,194463,185091,186101,204895,215606,224635,201716,205383,198270,207120,210551,223480,248825
 "92000","Mideast",2,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",3477,2283,0,0,1091,1502,1097,1477,3475,3831,4494,5238,3772,3468,5769,3528,2752,2897,3540,4892,4617,4508,4265,3293,2647,2550,1986,2186,2617,3123,2737,2842,2697,2742,3427
 "92000","Mideast",2,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",4720,3442,0,0,1489,4442,4519,5222,7442,4010,9977,10639,12797,16019,28741,55220,70456,70049,66393,99830,93734,103490,105430,104738,106378,112116,112064,113221,110369,114314,104958,108828,114333,123232,135796
 "92000","Mideast",2,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",10205,10206,10382,10501,10245,11210,10832,11387,12511,15543,17276,19778,21181,22022,38540,42959,39711,40930,67768,64187,60354,62250,66506,57890,55134,64676,70752,75600,54027,53265,54264,56200,54780,56422,66077
 "92000","Mideast",2,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",5155,5224,5418,5383,5522,6378,7715,8723,10092,9803,12263,11531,7936,9605,12487,13143,13520,13878,15297,15869,15114,16289,18263,19170,21942,25553,30805,33628,34703,34682,36311,39251,38742,41085,43525
 "92000","Mideast",2,SAGDP3S,11,"C","   Construction","Thousands of dollars",68790,70193,74186,77298,81932,93536,105787,128477,160158,181612,178451,172918,159162,156932,151423,157915,160996,161623,170163,178585,207360,233842,265681,299729,337255,363611,389522,388726,388983,404327,419994,465743,467246,497277,537213
 "92000","Mideast",2,SAGDP3S,12,"D","   Manufacturing","Thousands of dollars",2197083,2358450,2433706,2331256,2387402,2640837,2824295,2962420,3032383,2882764,2909228,2867270,2830487,2900619,2926427,3005564,3031832,2916953,3023098,3058544,3277554,3273401,3386738,3468203,3541111,3716253,4143597,4324217,5097452,5386863,5462004,5443742,5453012,5764850,5822713
 "92000","Mideast",2,SAGDP3S,13,"...","     Durable goods manufacturing","Thousands of dollars",768391,813413,768485,649060,695473,832029,870782,921903,939139,672957,724464,751236,751162,795341,819484,832726,873040,878759,922858,971409,947649,1012331,1076185,1151185,1183274,1233650,1366695,1446398,1566524,1664877,1619198,1685050,1716471,1795641,1814310
