GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "31000","Nebraska",4,SAGDP3S,1,"...","All industry total","Thousands of dollars",289275,292380,290206,273804,310103,347634,367375,416666,484115,519223,639130,758860,855427,1016279,995090,979989,1157515,1210686,1279527,1329271,1365006,1400658,1487276,1506862,1593327,1631350,1874521,2115540,2302092,2257734,2341383,2839427,2958300,3044630,3276390
 "31000","Nebraska",4,SAGDP3S,2,"..."," Private industries","Thousands of dollars",289426,292543,290395,274006,310326,347901,367744,417195,484843,520300,640233,760511,857573,1019275,999273,985246,1167231,1225334,1296545,1352056,1390589,1426480,1518032,1530907,1617551,1657671,1916128,2157366,2345259,2303269,2382338,2899273,3036313,3126478,3351904
 "31000","Nebraska",4,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",5207,-4900,-13706,-40677,-29188,-30560,-44151,-33866,-15729,-42672,10467,83313,97938,96769,60335,34170,102458,118179,105344,78043,-70469,-94391,-77816,-171428,-238506,-276480,-162153,-97904,-61208,-45039,-173126,-8500,44354,-25202,39591
 "31000","Nebraska",4,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",4609,-5373,-13706,-40677,-29324,-30886,-44528,-34426,-16500,-43470,9268,82097,96311,95246,57962,31592,99202,114772,101763,73986,-75874,-99614,-83194,-177065,-244856,-283160,-169641,-106133,-70469,-54282,-183338,-18663,33699,-36343,27832
 "31000","Nebraska",4,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",598,473,0,0,136,326,377,560,770,798,1199,1216,1626,1522,2373,2578,3256,3407,3581,4058,5405,5223,5377,5637,6350,6680,7488,8228,9261,9243,10211,10163,10655,11141,11759
 "31000","Nebraska",4,SAGDP3S,6,"B","   Mining","Thousands of dollars",7993,6859,5942,5111,4263,4342,3785,3972,3782,3500,3179,3614,3766,3921,6112,5821,6827,10751,18761,17626,14644,18584,15560,10559,10033,9285,9574,10980,11463,9263,9816,9784,9565,10136,10644
 "31000","Nebraska",4,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,168,128,143,125,195,195,247,342,345,435,424
 "31000","Nebraska",4,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-7,-1,-1,-2,-2,-3,-4,-1,-3,-1,0,0,0,34,48,36
 "31000","Nebraska",4,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",7763,6626,5702,4873,4021,4024,3353,3633,3340,3042,2564,3091,3365,3386,4776,4571,5386,9492,17478,16058,12991,16490,13620,8354,7468,6847,6755,7875,7939,6061,5653,5177,4918,5192,5281
 "31000","Nebraska",4,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",229,233,240,237,242,318,432,339,442,458,615,523,401,536,1336,1249,1442,1259,1286,1574,1654,2095,1941,2067,2400,2314,2677,2983,3331,3007,3916,4264,4268,4461,4904
