GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "46000","South Dakota",4,SAGDP3S,1,"...","All industry total","Thousands of dollars",111586,109018,108827,97770,112939,124616,135118,153274,182157,187505,258809,325011,361081,426604,418323,423653,497532,541545,600005,601272,521460,578899,650003,655488,638820,758404,825363,873508,956739,984197,1011943,1257577,1326798,1333897,1416742
 "46000","South Dakota",4,SAGDP3S,2,"..."," Private industries","Thousands of dollars",111633,109071,108887,97836,113009,124699,135228,153423,182360,187806,259112,325459,361654,427400,419234,424801,499576,543171,602067,607898,530171,587030,659742,664699,648214,769818,842372,890931,970957,1002162,1029732,1283789,1368895,1384617,1468599
 "46000","South Dakota",4,SAGDP3S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",6848,-187,-4984,-20255,-13159,-16724,-19571,-15760,-2922,-19820,14667,61564,61899,43364,41045,23935,39737,43322,32964,35273,-64213,-69679,-40070,-94099,-172364,-110189,-60783,-51586,-33969,-28775,-104267,-26815,7852,-27821,-5131
 "46000","South Dakota",4,SAGDP3S,4,"[01-02]","     Farms","Thousands of dollars",6651,-349,-4984,-20255,-13202,-16844,-19700,-15935,-3185,-20078,14255,61165,61454,42946,40332,23206,38877,42214,31654,33814,-65762,-71474,-42069,-96355,-174837,-112655,-63498,-54744,-37797,-32857,-109091,-32828,1586,-34428,-12699
 "46000","South Dakota",4,SAGDP3S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",197,162,0,0,43,120,129,175,263,258,412,399,445,418,713,729,861,1108,1309,1459,1550,1795,1999,2257,2473,2465,2715,3158,3829,4081,4825,6014,6267,6606,7569
 "46000","South Dakota",4,SAGDP3S,6,"B","   Mining","Thousands of dollars",718,491,292,285,375,431,505,745,1092,1219,1745,1932,1644,1887,4979,5412,6305,11534,22267,22158,17856,22569,19039,20211,20813,23176,23580,22015,21048,19186,20097,23377,22031,24483,22050
 "46000","South Dakota",4,SAGDP3S,7,"10","     Metal mining","Thousands of dollars",247,160,0,0,87,90,80,126,342,483,486,579,550,510,2875,3100,3839,5910,10444,12675,10446,15082,13760,17141,18030,20138,20598,19052,18235,16546,17053,19924,18145,20358,17835
 "46000","South Dakota",4,SAGDP3S,8,"12","     Coal mining","Thousands of dollars",170,40,0,0,0,0,0,0,1,1,9,6,1,2,2,1,0,2,4,2,-1,0,-1,-1,-1,-1,0,0,0,0,3,8,12,19,24
 "46000","South Dakota",4,SAGDP3S,9,"13","     Oil and gas extraction","Thousands of dollars",31,17,9,5,3,4,6,13,38,74,84,218,368,327,829,885,745,3847,9702,7380,5342,5389,3199,1132,906,969,958,990,952,641,743,825,1084,1218,1341
 "46000","South Dakota",4,SAGDP3S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",269,274,283,280,285,337,419,607,710,661,1167,1130,725,1048,1274,1427,1721,1775,2116,2102,2068,2097,2082,1939,1878,2070,2025,1973,1862,1999,2298,2621,2789,2888,2850
