GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "15000","Hawaii",8,SAGDP4N,1,"...","All industry total","Thousands of dollars",21079395,21564416,22223254,23456152,24637921,26166013,27939714,29981953,32024111,33875294,35763529,36819868,36021862,36556143,38155414,39546242,40832437,42505065,44525825,46047252,47525924,49009994,50233079,47292134
 "15000","Hawaii",8,SAGDP4N,2,"..."," Private industries","Thousands of dollars",14433055,14760176,15078737,16093125,16894476,17644945,18742549,20145886,21521621,22719476,23979830,24354349,23116502,23333316,24369274,25548286,26828837,27803696,29426353,30750836,32159948,33457575,34435302,31067918
 "15000","Hawaii",8,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",201727,213424,239135,237984,230730,235985,233577,242036,229611,232139,228911,244620,244794,237442,235858,331351,334616,344756,328782,349125,285523,270543,272702,284876
 "15000","Hawaii",8,SAGDP4N,4,"111-112","   Farms","Thousands of dollars",168217,179253,200730,199969,197565,200802,198496,206721,196569,190523,193660,208979,206712,199618,191915,283106,284913,291814,270288,288316,224839,208863,207620,214213
 "15000","Hawaii",8,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",33510,34171,38406,38015,33165,35183,35080,35314,33042,41616,35251,35641,38082,37824,43943,48245,49703,52942,58493,60809,60685,61680,65082,70663
 "15000","Hawaii",8,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",17568,16841,16222,17596,17472,16798,21465,26530,29485,29306,29874,32695,31705,30269,31282,30400,27729,28551,32951,26772,25743,26207,28314,28855
 "15000","Hawaii",8,SAGDP4N,7,"211","   Oil and gas extraction","Thousands of dollars",(T),(T),(T),(T),0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D)
 "15000","Hawaii",8,SAGDP4N,8,"212","   Mining (except oil and gas)","Thousands of dollars",17568,16841,16222,17596,17472,16798,(D),(D),(D),(D),(D),32212,31024,29865,30818,29863,27166,28045,32410,26135,(D),(D),28084,(D)
 "15000","Hawaii",8,SAGDP4N,9,"213","   Support activities for mining","Thousands of dollars",(T),(T),(T),(T),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP4N,10,"22","  Utilities","Thousands of dollars",234878,211811,226374,235309,244909,253299,261253,276331,284787,312398,323018,348731,363713,385560,437988,447361,503087,519929,541736,551677,550564,579631,581232,612754
 "15000","Hawaii",8,SAGDP4N,11,"23","  Construction","Thousands of dollars",1229132,1231245,1216003,1386860,1439965,1582821,1748224,1880170,2324768,2555783,2831414,2857462,2397125,2244220,2266086,2374072,2527287,2673272,3077014,3392066,3302857,3380067,3545199,3596071
 "15000","Hawaii",8,SAGDP4N,12,"31-33","  Manufacturing","Thousands of dollars",548283,537345,562914,603930,644415,613489,629237,670031,700355,725164,763776,771193,714127,691322,726687,731852,763195,801545,826695,855017,883013,905565,866196,791738
 "15000","Hawaii",8,SAGDP4N,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",160277,157872,164916,191460,(D),(D),(D),223399,242278,253337,275929,285903,262309,244202,267130,242986,246173,252821,271336,282763,299366,303984,301341,290439
 "15000","Hawaii",8,SAGDP4N,14,"321","    Wood product manufacturing","Thousands of dollars",7729,8166,11265,12182,(D),(D),(D),(D),14402,16661,(D),(D),(D),11038,9460,8881,9600,(D),9409,9063,10994,9161,9721,(D)
 "15000","Hawaii",8,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing","Thousands of dollars",43021,43259,44830,49708,54004,57814,60646,67692,73573,77834,83439,81138,59062,54298,56107,54587,65131,71498,78992,79365,81172,81385,81231,78180
 "15000","Hawaii",8,SAGDP4N,16,"331","    Primary metal manufacturing","Thousands of dollars",(T),(T),(T),(T),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
