GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "24000","Maryland",2,SAGDP4N,1,"...","All industry total","Thousands of dollars",92546285,99146010,105865956,114236645,120944800,127033647,133012689,141449644,149594058,157229922,164466626,168815424,169085414,173290163,180282525,184785755,187444439,194072134,202399405,208727490,215612580,223313609,230977930,234478986
 "24000","Maryland",2,SAGDP4N,2,"..."," Private industries","Thousands of dollars",68782519,74148440,79847454,86526252,91646891,94264316,98399657,105198536,111150528,116640444,121674178,124003588,121967043,123612578,128670056,133249204,134952064,140302064,146764817,151844906,157225598,163110119,168909641,169839526
 "24000","Maryland",2,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",161545,164695,160749,183355,188404,226449,213643,220886,192960,222315,242074,234579,227343,222547,198969,255011,257400,275199,248945,275885,307849,287495,258981,259447
 "24000","Maryland",2,SAGDP4N,4,"111-112","   Farms","Thousands of dollars",123479,124181,114962,135408,142292,176969,158518,156489,127383,142584,171499,163279,154943,148402,126952,181540,183541,195991,162648,185388,215651,195750,161158,162154
 "24000","Maryland",2,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",38065,40514,45787,47946,46112,49479,55125,64397,65576,79731,70575,71299,72400,74145,72017,73471,73859,79208,86297,90497,92197,91744,97823,97293
 "24000","Maryland",2,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",69713,72610,73761,77108,96505,80409,83525,92421,105722,111541,104009,106257,97975,99757,104599,113851,98345,96239,98198,97279,100989,98021,99426,96614
 "24000","Maryland",2,SAGDP4N,7,"211","   Oil and gas extraction","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),162,173,180,173,(D),(D),(D),(D),500,(D),(D),2060,(D),(D),727,(D)
 "24000","Maryland",2,SAGDP4N,8,"212","   Mining (except oil and gas)","Thousands of dollars",67813,68433,68372,70402,75001,69749,72497,80977,86995,86951,79946,80174,69243,65817,60968,64284,53098,51887,54938,57444,68431,76384,81095,74409
 "24000","Maryland",2,SAGDP4N,9,"213","   Support activities for mining","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),18565,24417,23883,25910,(D),(D),(D),(D),44747,(D),(D),37775,(D),(D),17604,(D)
 "24000","Maryland",2,SAGDP4N,10,"22","  Utilities","Thousands of dollars",828222,823802,918116,951950,994490,951183,1009848,1088887,1164720,1207610,1334769,1403734,1326762,1406032,1521759,1554472,1503574,1515952,1558685,1680452,1681065,1687367,1738751,1799533
