GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39000","Ohio",3,SAGDP4N,1,"...","All industry total","Thousands of dollars",196108737,207545894,218259048,228255494,232948619,236366781,243779724,254188549,261403047,271984833,279927959,282468501,268456299,273353616,284931886,296610032,306358431,318204158,329830668,336967868,349158513,361484033,374158900,375586470
 "39000","Ohio",3,SAGDP4N,2,"..."," Private industries","Thousands of dollars",164936283,175203303,184340924,192419076,195482798,196846398,202323298,210811345,216930038,226442547,232715101,233840519,218968219,221420606,233201302,244484351,253475719,264315958,274527186,280252955,291471412,301968787,313067230,313210854
 "39000","Ohio",3,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",381633,426392,421408,403872,442446,411637,475501,536198,480982,500554,687445,583595,616583,531976,625976,807867,775950,727755,878140,982140,836208,851092,866267,794330
 "39000","Ohio",3,SAGDP4N,4,"111-112","   Farms","Thousands of dollars",319444,359348,345564,332007,368870,331684,391624,434815,387601,378412,560941,453616,475801,387172,472194,635653,594876,529573,668758,764590,609762,613803,620696,520782
 "39000","Ohio",3,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",62190,67044,75844,71865,73576,79952,83876,101383,93381,122142,126504,129979,140782,144804,153782,172214,181073,198182,209382,217549,226446,237288,245571,273548
 "39000","Ohio",3,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",664287,686585,698982,675764,743229,661711,663974,710554,731794,809733,824620,881894,878235,887129,976138,1097033,975065,1232709,1167467,940605,998827,1090113,1063854,825443
 "39000","Ohio",3,SAGDP4N,7,"211","   Oil and gas extraction","Thousands of dollars",143205,147544,171151,164193,193803,193781,205042,216897,224058,276756,279696,281289,283756,310223,355163,405340,175343,216199,189340,163557,109920,116961,118488,112637
 "39000","Ohio",3,SAGDP4N,8,"212","   Mining (except oil and gas)","Thousands of dollars",449291,467145,460228,439962,462705,369306,355835,369355,379315,380622,375907,404776,406743,403780,421218,442083,444568,465484,446897,386149,358583,375272,371484,351378
 "39000","Ohio",3,SAGDP4N,9,"213","   Support activities for mining","Thousands of dollars",71791,71896,67603,71608,86721,98625,103098,124302,128421,152355,169016,195830,187736,173125,199757,249611,355154,551026,531230,390899,530325,597880,573882,361428
 "39000","Ohio",3,SAGDP4N,10,"22","  Utilities","Thousands of dollars",1658121,1618184,1722122,1779119,2001407,1937437,1941925,1895294,2001688,2241808,2294978,2490957,2433672,2334794,2373983,2268363,2391366,2380743,2574250,2674580,2644502,2765083,2809214,2995248
