GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "02000","Alaska",8,SAGDP4S,1,"...","All industry total","Thousands of dollars",707634,797069,859031,917822,1007783,1108682,1271847,1443102,1597781,1756134,1949316,2619648,4201487,5268387,4825752,4611272,4790715,5430103,6483883,7497555,8229368,8749109,8938616,8555751,8139962,8344650,9264192,9861375,10449219,11038496,11478669,11757204,11847292,11872750,12105852
 "02000","Alaska",8,SAGDP4S,2,"..."," Private industries","Thousands of dollars",332099,380629,433076,463831,506808,573967,688987,769606,825808,898727,1007841,1555575,2966794,3883129,3293016,2941953,2963425,3402598,4190831,4907350,5401963,5641473,5623618,5160574,4755384,4858112,5621829,5972393,6287074,6574789,6884718,7228146,7355359,7309161,7541963
 "02000","Alaska",8,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",10219,9548,10988,10768,9033,12361,11438,13490,11424,14141,24349,22091,19507,30455,12529,10374,12649,11960,15589,16625,16346,18080,19799,20464,23004,28106,35876,39117,45138,56928,58850,45753,45270,46562,45186
 "02000","Alaska",8,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",853,665,896,914,924,622,608,727,810,1190,873,896,1148,1222,1523,2157,2338,2395,2325,2587,2463,2482,2491,2314,2297,2997,3365,3709,4022,4361,4741,5140,5050,5512,5709
 "02000","Alaska",8,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",9365,8883,10092,9854,8109,11739,10831,12763,10614,12951,23476,21195,18359,29233,11006,8217,10312,9565,13263,14038,13883,15598,17308,18150,20708,25109,32511,35409,41116,52567,54108,40613,40221,41049,39476
 "02000","Alaska",8,SAGDP4S,6,"B","   Mining","Thousands of dollars",15644,16015,16365,21411,33061,43621,63233,58562,49593,43810,43477,75548,124473,148562,196749,269152,280132,365304,521485,552613,542030,602566,686996,710066,680132,728857,800382,908518,974533,949244,920609,956147,939041,903480,899766
 "02000","Alaska",8,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",2250,1593,2019,2239,1832,1684,1848,3139,2428,1737,2132,3578,4323,4731,4316,4939,6653,10875,21477,26406,(D),(D),21579,(D),32032,42460,53251,68951,68191,74936,65370,70215,70238,80810,102368
 "02000","Alaska",8,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),671086,(D),(D),892534,857697,839007,869070,847210,794961,769942
 "02000","Alaska",8,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,11,"C","   Construction","Thousands of dollars",59623,89367,101841,103039,110035,117477,139893,149370,170967,181924,183022,460162,1213723,1777278,1049192,551627,441322,533670,724864,985544,1215097,1144692,992884,713710,529232,478242,535415,604798,589913,577723,691997,780711,779017,771464,777589
 "02000","Alaska",8,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",50684,53309,63043,65172,66359,74969,85334,104661,109233,113407,138938,166606,177323,219121,253508,287765,347708,401827,404721,393251,385653,378905,386353,401284,444107,521082,574919,633188,670212,699040,682832,652341,674416,618401,601259
 "02000","Alaska",8,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",13931,15774,18055,20417,26388,28594,32392,39386,42748,45186,57673,70643,72981,78733,86635,87568,114783,139550,122241,126184,121810,115467,113510,116369,139744,161865,181873,192235,172329,162196,166220,163672,172856,154643,157474
 "02000","Alaska",8,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",9419,10659,12511,15222,21813,23519,26124,31892,33492,35567,47134,56264,50254,57201,66419,60158,75372,97402,88726,87770,82813,74233,74549,85526,111256,131109,147405,156877,135461,128690,131352,122146,124448,102931,105675
 "02000","Alaska",8,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),722,809,(D),(D),(D),(D),(D),(D),(D),(D),1118,944,1056,1139
 "02000","Alaska",8,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",2286,2529,2730,2832,2635,2905,3722,4824,6102,6007,6418,7974,12248,11368,9890,9348,8037,9004,15635,18031,19782,22965,19570,16202,14724,13702,13731,14949,15471,14403,15837,16881,16321,15820,16075
 "02000","Alaska",8,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),489,783,(D),(D),441,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",335,575,550,38,44,169,226,350,957,1021,1171,2356,4925,4337,4873,5445,5109,6325,8899,9744,7883,7430,6718,5168,4926,5093,5041,4295,4046,3969,3908,4057,10283,10668,8337
 "02000","Alaska",8,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",344,485,620,725,753,728,969,797,540,775,764,1484,2919,3351,2687,9155,22003,21761,3061,3725,3656,3561,4133,3339,1676,1426,1898,1921,2561,2301,3011,4101,4263,6053,5141
 "02000","Alaska",8,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),690,666,447,434,(D),(D),(D),(D),(D),(D),253,329,416,428,478
 "02000","Alaska",8,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D),721,(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,22,"372-379","       Other transportation equipment","Thousands of dollars",914,947,945,1022,701,695,662,793,750,763,844,871,791,708,903,1578,1998,2357,2685,2905,3027,2910,4046,2803,4019,6671,10160,9713,10281,7810,7099,8989,9960,12343,14518
 "02000","Alaska",8,SAGDP4S,23,"38","       Instruments and related products 2/","Thousands of dollars",281,233,355,268,16,19,26,22,22,25,17,0,105,135,141,105,11,17,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",126,123,112,102,108,150,178,203,298,330,413,545,790,1131,1152,1231,1679,1858,2147,2598,2587,2038,2277,1576,1312,1300,1144,1137,1055,1003,1176,2139,2353,2058,1672
 "02000","Alaska",8,SAGDP4S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",36753,37535,44988,44754,39971,46375,52942,65275,66486,68221,81265,95963,104342,140389,166873,200198,232924,262278,282481,267067,263843,263438,272843,284915,304364,359217,393045,440953,497883,536844,516611,488669,501560,463759,443785
 "02000","Alaska",8,SAGDP4S,26,"20","       Food and kindred products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),162135,149924,146536,152778,159135,177883,227255,251794,297075,338064,372675,354979,341619,351496,316142,300005
 "02000","Alaska",8,SAGDP4S,27,"21","       Tobacco products","Thousands of dollars",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAGDP4S,28,"22","       Textile mill products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),183,(D),(D),331,372,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,29,"23","       Apparel and other textile products","Thousands of dollars",21,70,186,275,302,292,350,455,181,187,221,164,188,290,366,373,303,411,600,804,794,683,766,738,683,841,921,1036,1064,1149,1315,1274,1002,920,946
 "02000","Alaska",8,SAGDP4S,30,"26","       Paper and allied products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),35694,(D),(D),52364,46712,48585,52434,50117,(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,31,"27","       Printing and publishing","Thousands of dollars",2940,3002,3479,3725,4039,5017,5307,5659,5856,6652,7605,8812,10596,12905,15370,17175,20036,22649,28276,33929,39438,46086,50255,49415,43629,42517,43542,49966,56379,55441,48636,49114,49174,48765,48631
 "02000","Alaska",8,SAGDP4S,32,"28","       Chemicals and allied products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4S,33,"29","       Petroleum and coal products","Thousands of dollars",297,535,487,434,435,559,655,1109,1867,1480,1564,1877,2485,3135,4545,8368,8346,12996,14644,10901,13136,14344,16338,18089,17680,18621,19849,21828,22940,24506,28820,29321,30849,31305,34677
 "02000","Alaska",8,SAGDP4S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",1,1,1,2,3,6,29,78,219,504,600,399,1759,741,1030,825,736,795,1078,1145,1452,(D),(D),1273,1074,1184,1189,1797,1574,1622,1608,1826,1444,1349,1497
 "02000","Alaska",8,SAGDP4S,35,"31","       Leather and leather products","Thousands of dollars",0,0,0,0,0,0,0,2,0,0,0,0,16,17,16,26,0,0,0,(D),(D),(D),(D),0,0,0,(D),(D),(D),258,(D),(D),(D),(D),154
