GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "08000","Colorado",7,SAGDP4S,1,"...","All industry total","Thousands of dollars",3259332,3472759,3687836,4069639,4426531,4936741,5543010,6205614,7028598,8077876,9377546,10419918,11586280,13014867,14738947,17179110,19991970,22887597,26401794,29061709,30622968,33464737,35386274,36524354,37460237,39461809,41843176,45005665,48321870,52130224,56455710,60585553,64817287,69406152,76102435
 "08000","Colorado",7,SAGDP4S,2,"..."," Private industries","Thousands of dollars",2383922,2523001,2682805,2961078,3194648,3560784,4030768,4487131,5085710,5909013,6940227,7702787,8476087,9594332,10998503,13141461,15541234,17912339,20824554,22993589,24039373,26316858,27678697,28339027,28770117,30417156,32281797,34841858,37311678,40381873,44112181,47792852,51597226,55790177,61453520
 "08000","Colorado",7,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",55424,48218,48626,59295,76096,73255,85912,89611,86683,94284,119495,128306,127466,135353,152879,195078,217998,234752,238386,257011,263570,277019,292285,294777,305431,332211,347459,391502,392134,413767,467747,560976,594316,613260,702955
 "08000","Colorado",7,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",47668,41330,40029,48756,65497,60867,72571,74677,68956,73326,94056,99185,98336,102271,114433,147069,158551,162550,156744,163000,156879,154649,156320,145483,146932,162854,173042,200301,191959,189739,220928,284001,301824,292674,348129
 "08000","Colorado",7,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",7756,6888,8597,10538,10599,12388,13341,14934,17727,20958,25439,29121,29130,33082,38446,48009,59446,72202,81643,94011,106692,122371,135964,149294,158499,169357,174417,191201,200175,224028,246819,276975,292491,320586,354826
 "08000","Colorado",7,SAGDP4S,6,"B","   Mining","Thousands of dollars",90511,95057,99450,111401,118337,127767,142830,161805,167398,178013,204874,252732,354834,413188,522008,687068,835223,1154216,1536574,1677778,1494163,1533116,1467274,1220874,1017038,1035126,1016305,1027884,1024719,922369,974393,952082,945104,936339,963820
 "08000","Colorado",7,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",35399,38265,39456,45361,48991,49011,51807,59794,60794,60285,65015,88379,119152,136847,173806,217354,263048,344243,402390,327811,225459,233012,180538,168150,(D),(D),202014,(D),(D),(D),(D),(D),(D),(D),215611
 "08000","Colorado",7,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",9697,11194,12575,13423,12702,14057,15160,17861,17888,21162,24847,31515,46641,57966,80087,117888,156838,177090,195555,199467,172138,175767,173049,156291,(D),(D),140918,(D),(D),(D),(D),(D),(D),(D),172558
 "08000","Colorado",7,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",42250,42633,44423,48946,53549,60861,71116,78510,81728,87102,104952,122347,176652,204248,254766,334703,400375,616425,918940,1123763,1073251,1100394,1086656,870877,698182,716372,644161,641295,656813,558792,561615,564208,516908,514355,503140
 "08000","Colorado",7,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",3166,2964,2996,3671,3094,3838,4747,5640,6988,9463,10060,10491,12389,14127,13349,17123,14962,16459,19689,26738,23314,23943,27031,25556,25790,25935,29212,30402,32786,41813,46516,51682,59772,63414,72512
 "08000","Colorado",7,SAGDP4S,11,"C","   Construction","Thousands of dollars",252830,270324,282262,297599,298571,346709,385538,452460,576845,718716,876847,832928,769720,854707,996310,1237298,1495197,1620221,1812219,2077460,2139928,2299033,2283024,2159894,1892476,1749822,1770635,1943954,2163999,2538444,3075361,3486677,3690133,4186713,4654947
 "08000","Colorado",7,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",514508,540454,579066,684781,739952,810866,924539,993882,1071794,1266517,1456264,1662109,1910139,2165721,2529602,2969879,3494040,3902887,4516598,4830669,4956853,5506379,5769792,5964902,6054732,6291426,6611976,6900964,7197846,7434005,7671471,7892942,8414860,8872278,9425913
 "08000","Colorado",7,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",255007,269379,300097,378989,417065,458188,524571,565293,606884,744437,877487,1011623,1189189,1352435,1623641,1950497,2344916,2668525,3121621,3324324,3364374,3748240,3938263,4067178,4033784,4135788,4364056,4505473,4661763,4735114,4868441,5109038,5548618,5976832,6420442
 "08000","Colorado",7,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),73764,(D),(D),(D),(D),(D),(D),(D),(D),108874,128960,149471,149918,162971,174635
 "08000","Colorado",7,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",6445,6940,7331,8582,8987,13922,14409,15588,17776,19180,22087,23104,17519,23180,26438,30044,39495,42653,46400,47777,47606,58318,60935,61570,63788,69147,70850,77319,81580,102366,106665,112638,142456,162989,188520
 "08000","Colorado",7,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",36044,38417,39030,42865,44393,48356,57240,66546,73682,79601,95227,104685,107932,126885,181107,210418,253094,265947,289661,284148,271060,309285,308205,301795,272445,275061,288820,288732,298206,339244,354861,368947,365229,416012,432282
 "08000","Colorado",7,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",59664,62445,66985,69530,68326,74496,79911,82129,84485,97181,108761,124402,149008,161068,189652,214639,240567,258452,292637,212168,133907,139376,120615,102181,92850,101221,103275,109749,114587,118662,134874,143641,137299,140183,137416
 "08000","Colorado",7,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",24890,28217,29026,32753,37569,50160,56872,60840,70226,90265,107005,119396,140540,160840,178006,203956,226383,252348,269388,256018,253834,283392,292960,282530,290183,316346,339637,355903,363962,397339,418450,450601,488679,504146,543214
 "08000","Colorado",7,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",40590,43686,56791,91684,107223,117114,139775,154595,163397,177411,205170,248783,303519,343463,274641,380314,516680,525126,626281,737460,756605,864168,830942,880939,973986,1022183,1072701,1172857,1258912,1298488,1371364,1477131,1570217,1683974,1847315
 "08000","Colorado",7,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",27395,33147,41298,62831,73434,61859,77394,95548,94048,144771,167640,193199,108176,137193,162903,196088,247005,308566,372988,426065,518456,590807,750493,749846,600785,627721,692399,580462,587988,591840,652555,726160,821737,902820,973068
 "08000","Colorado",7,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",5469,5737,6802,8349,8406,9864,12044,12669,12123,15119,18092,19364,17598,21540,23793,30677,40744,38275,42038,47827,54433,61322,62450,56285,50022,46182,47033,45236,46172,47184,49399,54989,73067,81376,97102
