GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "17000","Illinois",3,SAGDP4S,1,"...","All industry total","Thousands of dollars",22543957,24133637,25948861,28653115,30577712,33216894,36568389,38762263,41129088,44646337,49671406,54533800,57144784,63287938,70031187,78226839,85605987,90755237,97438992,100321359,103840870,113774752,120108207,127365208,136139647,147650668,155817066,165427511,171237090,181258727,190701851,200934223,211446856,219685734,233182740
 "17000","Illinois",3,SAGDP4S,2,"..."," Private industries","Thousands of dollars",19620675,20986146,22562537,24913765,26450364,28620845,31559202,33009965,34798722,37711124,42136587,46383201,47855093,53346109,59415114,66602898,73037171,77210466,82676766,84470300,87229218,95958408,101155206,107165312,114948547,125108236,132142328,139971096,144018939,152389811,160366147,169420868,178979111,185830485,198187340
 "17000","Illinois",3,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",130413,126056,123380,124674,130709,130479,142361,152127,154679,167200,204707,229860,267486,326851,383211,355907,399383,429683,420999,461023,472398,499315,526632,543393,600391,695652,766923,890041,905364,963943,1007837,1025973,1014595,1024652,1131087
 "17000","Illinois",3,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",106528,100767,97473,96757,99282,95126,105312,112444,109506,113386,135724,152876,190456,238199,282651,236076,256078,261979,251809,275798,261916,258647,260258,241090,239888,264054,282018,329162,320340,339201,368390,345202,334568,309903,335179
 "17000","Illinois",3,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",23885,25289,25907,27917,31427,35353,37049,39683,45173,53814,68983,76984,77030,88652,100561,119832,143304,167704,169190,185225,210482,240668,266374,302304,360503,431598,484905,560880,585024,624742,639447,680772,680027,714749,795908
 "17000","Illinois",3,SAGDP4S,6,"B","   Mining","Thousands of dollars",198567,204148,217736,227275,238199,233574,256495,276391,284345,320590,350686,401054,485544,559360,656013,694313,881533,972727,1005878,1114032,1068969,1136806,1110560,1043082,995257,925543,917691,929250,893452,872548,777316,805346,762426,744322,685331
 "17000","Illinois",3,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",2318,2259,2293,2334,2037,872,985,1277,1083,885,661,658,628,680,768,797,842,802,751,921,(D),(D),(D),111,611,638,(D),437,890,871,(D),441,569,758,628
 "17000","Illinois",3,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),758173,697611,745330,(D),(D),667533,(D),(D),(D),(D),570498,495950,525376,483682,452960,(D)
 "17000","Illinois",3,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),189221,(D),(D),199940,143467,121949,(D),(D),(D),(D),91030,(D),(D),(D),72879,(D)
 "17000","Illinois",3,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",58525,61758,67769,74137,78107,74899,78198,82737,86169,88355,94423,103478,110633,123838,145763,162555,175213,168198,173048,165717,(D),(D),(D),(D),205163,207347,204070,205022,180913,210150,196308,(D),(D),217726,220454
 "17000","Illinois",3,SAGDP4S,11,"C","   Construction","Thousands of dollars",1249843,1350177,1473397,1633473,1794426,2052966,2310584,2355085,2655462,2768018,3028965,3126838,3127006,3452737,3826477,4369430,4892267,4880692,4649396,4598905,4657817,5410636,5957038,6473586,7137811,7839009,8451250,8970146,8637658,8639072,8847054,9607490,10037104,10720228,11501196
 "17000","Illinois",3,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",8482884,9129836,9845313,11026439,11411882,12191191,13302965,13495610,13687227,14916164,16866251,18481537,18087659,20116770,22462592,25043297,27008068,27697673,29073039,27830927,27242432,29937037,30334162,30630644,31831320,34745180,35783543,36977607,37318309,38951109,41098197,43530384,44581002,45186525,47756750
 "17000","Illinois",3,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",5571128,6069227,6610313,7529895,7705638,8170193,8911231,8936546,9006153,9945308,11447808,12595283,12099074,13401945,15104044,16989201,18473314,18707450,19679419,17825922,16958364,18957603,19046172,18979019,19459565,21463251,22064713,22412279,22194285,22968041,24401974,26423477,26957312,27419455,29171409
 "17000","Illinois",3,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",71510,78315,81638,88829,92303,98847,112419,109246,117015,126808,136748,131708,121112,143648,163837,186962,195597,186184,195400,199849,207492,217953,227691,221169,251120,311642,334777,353128,337592,377399,395913,438517,417896,435261,437261
 "17000","Illinois",3,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",157780,172080,189297,215074,210658,220541,227263,220105,223158,245527,285486,289193,275048,315777,347845,369336,390658,387335,402889,391019,417738,428857,439286,430921,484726,505342,512415,512213,496335,536721,557880,564110,562747,557216,575268
 "17000","Illinois",3,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",255863,264619,276852,298713,307789,326949,365548,373681,391509,427858,472680,495191,521662,597009,640540,693587,748569,721279,747780,720961,715596,774166,775853,760962,662215,735442,716603,741136,731410,790841,857150,902299,913959,973096,979274
 "17000","Illinois",3,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",758330,841074,905634,985404,972969,1038769,1165374,1161364,1173011,1327776,1544740,1748577,1646670,1846362,2052547,2445824,2664281,2509352,2578328,2150743,1889795,2151831,2048305,2003801,2048866,2282049,2314395,2287390,2264840,2291512,2368714,2485996,2267994,2232343,2262164
