GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "24000","Maryland",2,SAGDP4S,1,"...","All industry total","Thousands of dollars",6082126,6608943,7174137,8053389,8571491,9558050,10734692,11753793,12781913,14076665,15737151,17393569,18636112,20549275,22464162,25053909,27725157,30521985,33695642,35545072,38742237,43025065,46995462,51053862,55855351,61079562,65423673,69538754,71074516,73694026,76684203,80575978,83967352,87273527,92934776
 "24000","Maryland",2,SAGDP4S,2,"..."," Private industries","Thousands of dollars",4343335,4706123,5108747,5678887,6097838,6739283,7525103,8174673,8793937,9711465,10901239,12018429,12795422,14078897,15477335,17548089,19586720,21500541,23678484,24835805,27234341,30538925,33644540,36933846,40830563,45048303,48159310,50888159,51194364,53284933,55504434,58540623,61093413,63679515,68500342
 "24000","Maryland",2,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",45257,48775,53073,51546,51913,52286,57619,62410,64255,66048,82925,94840,99859,116956,122677,130916,146076,159979,164369,179707,189928,210064,232107,252085,291699,334659,369710,407568,401790,402461,425851,446929,456340,480045,504748
 "24000","Maryland",2,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",34708,34657,36936,33770,32287,30134,32820,34345,33579,32421,41925,50698,54003,67081,72282,70243,76765,79542,77320,83096,79448,79279,79023,73033,72662,80923,86617,101640,99714,96608,104961,102978,114602,117328,123533
 "24000","Maryland",2,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",10548,14118,16137,17776,19626,22151,24800,28065,30677,33628,41000,44142,45856,49875,50395,60673,69311,80437,87050,96611,110480,130785,153084,179052,219037,253737,283093,305928,302076,305853,320890,343951,341738,362717,381215
 "24000","Maryland",2,SAGDP4S,6,"B","   Mining","Thousands of dollars",16127,17635,19404,20638,14365,14964,17106,17998,19397,22132,20273,21673,24523,23512,25131,30114,38536,47302,56000,55693,50143,54458,51165,51046,61105,59644,61489,65248,60172,52398,52835,50613,55703,60129,67348
 "24000","Maryland",2,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",59,78,62,72,570,571,1110,0,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,1,(D),(D),(D),(D),(D),1,1,1
 "24000","Maryland",2,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33006,35731,30667,27682,(D),(D),(D),(D),(D),(D),(D),26000,26297,(D),27972
 "24000","Maryland",2,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),904,962,(D),(D),(D),(D),(D),(D),591,(D),752
 "24000","Maryland",2,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",14399,15720,17328,18065,11514,11874,13266,14602,15144,17344,14631,13243,12833,9548,8959,11647,13520,13314,13624,14844,(D),(D),(D),(D),(D),(D),31812,35566,29228,24479,26566,24065,28814,32541,38622
 "24000","Maryland",2,SAGDP4S,11,"C","   Construction","Thousands of dollars",420445,469781,521641,573934,584276,626434,740164,869350,988220,1060936,1237254,1354965,1234817,1327194,1443878,1691233,1831262,1959400,2002896,1908774,2200389,2679139,3167379,3672705,4288986,4872592,5130446,5233251,4579602,4311140,4382017,4648223,4814975,5123668,5642021
 "24000","Maryland",2,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",1557255,1642318,1749911,1916398,2006846,2168191,2363469,2382019,2365689,2539466,2823892,3101614,3244248,3554787,3960206,4398910,4881972,5136003,5591538,5467677,5728600,6193461,6475146,6542348,6694832,7102177,7366341,7660286,7578599,7620320,7698825,8130576,8113728,8028876,8373359
 "24000","Maryland",2,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",922928,964515,1034009,1145181,1191425,1291000,1414917,1390902,1353292,1478919,1685048,1898578,2010129,2199929,2475631,2782855,3139858,3279103,3611353,3437300,3516487,3820252,3972762,3894743,3975442,4228965,4357645,4449240,4300002,4278676,4222024,4564465,4512377,4358742,4490233
 "24000","Maryland",2,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),67391,74657,(D),(D),93956,94447,93279,102826,98921,109888,110443,112076,112813,121738
 "24000","Maryland",2,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",24560,27485,28869,31056,31720,34815,37118,35129,36318,39800,40525,41601,33740,39863,44476,53101,51109,52006,53938,54303,59248,73535,76531,78550,71043,72219,71913,78965,76314,83809,93286,100971,96918,98486,106230
 "24000","Maryland",2,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",63050,69954,72288,75671,84773,86657,98144,104830,109793,118728,140533,155869,140187,154392,161720,176459,195084,203800,221163,197604,195722,218734,224367,215033,220754,271016,284063,300590,257076,249901,253515,265495,278744,267211,262275
 "24000","Maryland",2,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",299611,336633,356381,366912,360056,388935,429892,447189,419723,451594,527532,595740,590947,636766,702716,801165,933752,932655,1076749,913252,792468,766883,678326,552020,501155,(D),(D),(D),(D),(D),471177,488712,489239,482928,471247
 "24000","Maryland",2,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",98935,103142,107115,116583,124101,133587,142305,143397,147854,158127,168686,199624,168723,181281,205114,213954,225709,230040,232842,216528,224818,230221,240977,275301,277125,294482,302107,321314,304689,325394,311718,319151,318421,339007,360742
 "24000","Maryland",2,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",88202,96391,109005,124485,127944,135779,150088,152028,145684,164581,192059,209463,206397,221070,242200,385681,468657,453661,466234,446459,520800,641797,639136,569521,564669,626251,624715,646584,650842,658600,683088,762177,800538,810227,823743
 "24000","Maryland",2,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",100794,94759,94420,117963,136293,159263,152926,140019,130929,142396,160623,190389,379783,429800,480196,564628,630966,756018,871920,997051,1160283,(D),1426697,1473360,820515,713038,703137,682072,646750,589700,615107,613920,640869,655810,711737
 "24000","Maryland",2,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),236714,(D),(D),(D),(D),(D),(D),(D),357944,498848,373959,272453,235909
 "24000","Maryland",2,SAGDP4S,22,"372-379","       Other transportation equipment","Thousands of dollars",121784,110766,117369,149421,162293,155503,197193,183515,149106,145692,160521,196700,192820,184418,212208,259083,274589,320518,365461,329325,248711,264367,256721,258607,335120,359086,306808,304494,313856,343624,306087,343025,405523,352985,376853
 "24000","Maryland",2,SAGDP4S,23,"38","       Instruments and related products 2/","Thousands of dollars",18250,17617,16777,19878,21129,24203,24360,21993,27069,31922,33800,37386,30389,33786,39776,44290,52239,62506,72111,68850,66796,75778,71161,87940,795708,1014670,1099501,1170497,1109062,1026072,948459,982730,923458,895662,939731
 "24000","Maryland",2,SAGDP4S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",19748,22095,23743,24586,27348,27541,29286,28363,27237,28095,30156,31881,33442,37531,40362,42843,52121,49168,48007,43482,42517,42953,47475,51091,55557,63539,66260,81316,78245,68400,71755,78993,72631,71160,80027
 "24000","Maryland",2,SAGDP4S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",634327,677803,715902,771218,815421,877192,948552,991117,1012398,1060548,1138844,1203036,1234119,1354858,1484575,1616055,1742114,1856900,1980185,2030377,2212114,2373210,2502384,2647605,2719390,2873212,3008696,3211046,3278597,3341644,3476801,3566111,3601352,3670134,3883125
 "24000","Maryland",2,SAGDP4S,26,"20","       Food and kindred products","Thousands of dollars",192488,203652,210323,222899,232597,245596,268187,286827,291420,299402,311802,327508,341719,368597,402595,427137,448525,453835,480696,503681,540227,590313,627657,666184,688730,701544,736500,786252,790688,771846,793772,795768,793035,789847,827719
 "24000","Maryland",2,SAGDP4S,27,"21","       Tobacco products","Thousands of dollars",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "24000","Maryland",2,SAGDP4S,28,"22","       Textile mill products","Thousands of dollars",11302,12505,13071,14505,14741,15530,15903,15506,15666,13274,12346,13465,14170,17089,12524,12876,11817,12501,14240,16209,16743,18711,18602,19923,21046,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24000","Maryland",2,SAGDP4S,29,"23","       Apparel and other textile products","Thousands of dollars",92359,99399,105834,113696,117770,126950,135272,130149,126780,136391,145018,135423,133115,145853,153369,171639,172152,179258,191693,190333,200688,211967,194317,186124,169261,182090,186896,182620,180692,180339,185780,183267,158363,153241,152646
 "24000","Maryland",2,SAGDP4S,30,"26","       Paper and allied products","Thousands of dollars",54026,56904,60845,65930,69251,75874,82497,87297,88441,92447,104128,114922,118754,136867,147207,162852,174787,189053,203277,219784,232151,251160,262955,279554,272619,285304,291386,313835,320622,323523,316641,306704,301023,308608,322097
 "24000","Maryland",2,SAGDP4S,31,"27","       Printing and publishing","Thousands of dollars",97412,103348,111873,122385,132487,149265,166693,180486,194078,205835,224867,248831,255601,282164,326970,358318,400714,450391,476106,501513,579338,648922,707400,749352,813737,881343,934475,983933,978773,1009645,1061241,1113057,1142646,1163354,1242406
