GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "38000","North Dakota",4,SAGDP4S,1,"...","All industry total","Thousands of dollars",727365,784412,837880,871716,902658,965661,1041500,1180224,1306068,1456363,1635153,1864904,2136662,2446016,2658070,3046249,3452199,3793405,4299579,4591654,4797484,4986584,5090089,5106049,5280123,5497181,5718272,6101809,6438039,6860711,7272790,7685808,8123662,8552271,8971385
 "38000","North Dakota",4,SAGDP4S,2,"..."," Private industries","Thousands of dollars",499066,539601,571534,579883,605777,649236,699021,785526,864859,969082,1101262,1291514,1498720,1744178,1905135,2232895,2562127,2817293,3193826,3395488,3518204,3588997,3579478,3544990,3666297,3825344,3977941,4269285,4505174,4825126,5169013,5526086,5873446,6234147,6592397
 "38000","North Dakota",4,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",35833,36294,42073,43410,41817,42184,41745,43685,47644,47198,53791,65862,69752,84398,77414,86757,92390,93687,90401,95787,94505,97083,100018,96927,99551,107221,109354,120736,114234,113544,122163,138449,139983,148100,158607
 "38000","North Dakota",4,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",33725,34003,39549,40458,38524,38915,38136,39669,43003,41857,46848,57814,62347,75845,68666,76694,81452,82118,77670,83019,80466,81278,82848,77146,79004,84567,86045,94784,86635,85212,90789,105326,104987,111681,121769
 "38000","North Dakota",4,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",2108,2291,2525,2952,3293,3270,3609,4016,4642,5340,6944,8048,7405,8553,8748,10063,10937,11569,12731,12768,14039,15805,17170,19781,20547,22654,23309,25952,27599,28333,31374,33123,34996,36420,36838
 "38000","North Dakota",4,SAGDP4S,6,"B","   Mining","Thousands of dollars",10922,11691,13266,13970,14577,15016,16081,15978,16449,16557,17799,22893,33368,44178,57927,89205,130826,203191,321517,291621,218789,244355,232437,166862,148837,152085,153269,169536,170307,167927,175659,169607,179000,190193,202977
 "38000","North Dakota",4,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",76,152,80,73,68,32,36,31,37,41,41,57,1,8,29,105,29,0,0,0,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0
 "38000","North Dakota",4,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",2189,2128,2350,2425,2562,2511,2856,4050,4196,4466,4826,6350,9569,13765,17209,23823,31141,37506,44951,51166,56471,59977,66680,60905,(D),55147,57737,57753,58940,63070,71841,70165,73317,73665,73824
 "38000","North Dakota",4,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",7604,8521,9855,10360,10559,10742,11473,10011,10323,9664,10341,13773,20560,25818,35914,58556,92912,159187,269519,232032,151925,172604,155125,95541,79661,86005,83644,100277,98535,87074,85455,77306,82379,92568,98856
 "38000","North Dakota",4,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",1054,890,982,1113,1387,1731,1716,1887,1893,2386,2591,2713,3238,4587,4775,6721,6744,6498,7047,8423,(D),(D),(D),(D),(D),10933,11888,11505,12832,17783,18363,22137,23304,23960,30296
