GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "33000","New Hampshire",1,SAGDP4S,1,"...","All industry total","Thousands of dollars",1047867,1119679,1205740,1347229,1480240,1636242,1779492,1897433,2023586,2249556,2574923,2797520,2929628,3369831,3840664,4493299,5146781,5745840,6390521,6963096,7719808,8642230,9675550,10844945,12087361,13322766,13860167,13949649,13855866,14665247,15295937,16305374,17523580,18447874,19938639
 "33000","New Hampshire",1,SAGDP4S,2,"..."," Private industries","Thousands of dollars",872505,929475,1006780,1140956,1242251,1371061,1492976,1570223,1655771,1842856,2110336,2284788,2358730,2747947,3154695,3734210,4318316,4828622,5406006,5912833,6579938,7399986,8307005,9364453,10441210,11518433,11859341,11806768,11689885,12394734,12957411,13860970,15006311,15827336,17202644
 "33000","New Hampshire",1,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",10395,9995,8982,9969,10587,10673,10800,11292,10745,11189,13846,14575,14020,15582,17309,23959,26789,27709,28241,30899,32205,34718,41585,48445,56195,67558,72516,73658,70784,71900,78972,83898,92563,100459,110690
 "33000","New Hampshire",1,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",8157,7565,6929,7497,7672,7423,7128,7343,6440,5879,6887,7014,7459,7903,9319,14582,15500,15625,14688,16206,15863,16358,16863,16070,16425,18341,19750,23341,23045,22293,26070,26861,31407,33550,36387
 "33000","New Hampshire",1,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",2238,2430,2053,2472,2915,3250,3672,3949,4306,5310,6958,7561,6560,7679,7990,9377,11288,12084,13553,14693,16342,18360,24723,32374,39770,49216,52766,50318,47739,49607,52902,57037,61155,66909,74303
 "33000","New Hampshire",1,SAGDP4S,6,"B","   Mining","Thousands of dollars",1669,1771,1963,2254,2309,2605,3109,3282,3596,3800,4184,4598,5522,5983,6002,6964,7848,7870,7692,7856,8863,10056,11746,15602,20261,22922,18276,14476,13725,14937,15108,17225,18629,20634,20043
 "33000","New Hampshire",1,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D)
 "33000","New Hampshire",1,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,(D),(D),0,0
 "33000","New Hampshire",1,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",1669,1771,1963,2254,2309,2605,3109,3282,3596,3800,4184,4589,5465,5884,5844,6748,7532,7447,7586,7777,(D),(D),11587,15503,20193,22873,18199,(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAGDP4S,11,"C","   Construction","Thousands of dollars",56427,59735,67537,87986,96328,105426,127166,131465,135829,154640,182161,175914,157177,179824,226056,289399,347574,355711,412324,534749,618811,589631,770668,936216,1007653,1067905,920938,703117,555056,544831,570599,614534,693789,761629,843839
 "33000","New Hampshire",1,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",435288,459918,497481,562707,606956,665906,693981,691058,698516,782440,883520,945662,932814,1121290,1303904,1532011,1796414,2030738,2237129,2358155,2568918,2946746,3148984,3300892,3500211,3724593,3806758,3781256,3698066,3893177,3947839,4182675,4330179,4554077,4906125
 "33000","New Hampshire",1,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",198151,212868,233255,276534,309198,338875,364682,364357,370817,422416,492677,542851,554996,671406,791489,958610,1158818,1367955,1522828,1630215,1776784,2096680,2284802,2417551,2543565,2698066,2769525,2752728,2657489,2809878,2796198,2959622,3084747,3279922,3560392
 "33000","New Hampshire",1,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",25583,27336,28018,29844,31322,34329,37124,37767,41767,45484,52005,52643,38992,46787,51810,60414,67162,66479,73079,71496,79619,94556,106212,125105,141140,140661,121869,105878,95202,108284,115269,126323,127635,130294,144369
 "33000","New Hampshire",1,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",8717,9333,9740,10483,10256,11055,11843,10769,12012,13753,15616,16068,14816,17028,18454,22060,22739,23678,24123,22129,24364,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",8718,9458,10111,11020,11492,12555,13499,13200,14966,16088,18223,19693,24988,29938,35084,41169,48525,49970,53795,51948,56804,68613,78090,87304,78711,79829,77303,75394,65981,74627,74850,79422,74453,79307,80469
 "33000","New Hampshire",1,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",11077,12402,14691,18014,19086,18934,20487,20787,22390,25716,28504,33184,31188,36506,40144,48875,61840,82447,92902,94871,101823,118416,124231,123755,140485,158783,154187,150760,143961,159427,169676,192407,190626,191769,218445
 "33000","New Hampshire",1,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",11873,13237,15488,18530,21957,24704,28039,29714,34579,42356,48009,49275,60489,79758,82066,101087,117953,136590,147192,150626,154796,166720,172090,172031,179290,201435,209643,214370,199318,240648,258872,282776,316457,326448,340109
 "33000","New Hampshire",1,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",51153,55832,63423,73594,74021,76711,85000,88314,85284,100076,119951,139845,148704,178867,252000,317071,390607,495387,571941,612374,617310,717332,812326,881242,927107,979678,1011367,1017194,1011593,1035691,966281,984960,963971,963833,996544
 "33000","New Hampshire",1,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",68269,72209,77095,98490,120702,139284,146473,142252,137330,152741,177722,193065,162638,193126,204910,239763,295643,337868,370200,422015,522242,653697,686464,689471,453575,424124,460141,481505,458870,512883,524580,612118,711380,826383,948143
 "33000","New Hampshire",1,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1185,2678,2032,778,730,1139,1233,520,450,(D),(D)
 "33000","New Hampshire",1,SAGDP4S,22,"372-379","       Other transportation equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),41437,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAGDP4S,23,"38","       Instruments and related products 2/","Thousands of dollars",4469,4276,4795,5840,6929,8174,8528,8775,8509,9312,13002,17848,53700,67465,81213,95662,114393,128921,139546,154857,163162,181752,192600,215548,499811,584710,606524,575427,551183,545155,550718,537487,558158,601897,642262
 "33000","New Hampshire",1,SAGDP4S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",7434,7919,8992,9200,9923,9875,9486,8703,8917,10383,11903,13291,12912,14990,17091,21281,24879,29497,32539,31582,34715,41548,45945,47058,46027,52302,54522,56665,56441,57602,59420,64975,65861,69062,72344
 "33000","New Hampshire",1,SAGDP4S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",237137,247050,264226,286173,297758,327031,329299,326701,327700,360024,390844,402811,377819,449884,512415,573401,637596,662783,714301,727941,792134,850066,864183,883342,956646,1026527,1037233,1028528,1040576,1083299,1151640,1223052,1245433,1274156,1345733
 "33000","New Hampshire",1,SAGDP4S,26,"20","       Food and kindred products","Thousands of dollars",15404,16219,16983,18128,19420,21086,21595,25454,27592,28291,29357,31833,33780,37928,43380,49227,53151,57682,59958,61819,70010,74989,78715,81721,87317,91759,92677,92715,96354,97934,96643,100360,100476,102423,109177
 "33000","New Hampshire",1,SAGDP4S,27,"21","       Tobacco products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP4S,28,"22","       Textile mill products","Thousands of dollars",47209,43610,48866,50815,49411,53417,53273,48451,44563,50549,55954,49545,42213,48834,53364,62890,66478,62640,64601,60545,68931,77327,74341,77891,87617,93683,100216,96536,101265,105942,118366,126520,130959,137721,153084
 "33000","New Hampshire",1,SAGDP4S,29,"23","       Apparel and other textile products","Thousands of dollars",8628,11748,12207,13629,13741,14122,13395,13672,13491,16241,18264,19950,19946,24130,26761,27833,27474,29853,32917,34045,37093,37214,36528,35422,32927,30531,30601,27392,32725,41588,55525,47574,49371,49670,51310
 "33000","New Hampshire",1,SAGDP4S,30,"26","       Paper and allied products","Thousands of dollars",38135,39641,41443,45303,48071,52777,57314,57570,59368,65597,78905,90676,80025,92128,101600,108700,124487,135041,137668,142622,148711,166446,171225,175224,195349,201614,208589,209165,212453,197435,203168,214616,208391,197865,202882
 "33000","New Hampshire",1,SAGDP4S,31,"27","       Printing and publishing","Thousands of dollars",21436,21990,22850,24869,27047,28962,32180,34141,36835,40193,44372,48714,49834,54971,63429,73048,84554,95642,109725,118558,130777,139568,156834,173906,203322,230715,228232,236095,231575,244761,258313,281887,287905,293367,296830
 "33000","New Hampshire",1,SAGDP4S,32,"28","       Chemicals and allied products","Thousands of dollars",2157,2528,2525,2655,3156,3270,3586,5808,6142,6869,7618,8877,9401,11215,11876,12304,16293,19480,21179,22287,23188,27944,31270,34380,(D),(D),(D),(D),(D),56057,52120,56215,58984,65376,68430
 "33000","New Hampshire",1,SAGDP4S,33,"29","       Petroleum and coal products","Thousands of dollars",215,209,260,269,292,292,312,372,439,366,450,1226,647,618,645,548,575,587,650,652,569,688,1524,1655,(D),(D),(D),(D),(D),2998,3079,3347,7642,7354,8127
 "33000","New Hampshire",1,SAGDP4S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",18235,22025,26912,31050,35686,44327,46294,45396,48921,63706,75807,76233,64666,84059,113471,133566,157883,152395,167255,162904,184046,213633,224695,221832,235161,259747,261535,251402,256790,272333,292307,315158,327095,337792,355920
 "33000","New Hampshire",1,SAGDP4S,35,"31","       Leather and leather products","Thousands of dollars",85718,89079,92180,99455,100935,108777,101348,95836,90349,88211,80116,75756,77306,96001,97889,105285,106702,109462,120347,124509,128809,112257,89051,81311,73625,70709,71222,67244,57720,64250,72121,77375,74609,82587,99973
 "33000","New Hampshire",1,SAGDP4S,36,"E","   Transportation and public utilities","Thousands of dollars",58322,61614,66342,71205,77037,84485,95025,107370,118958,135460,149753,161134,171164,190570,209933,241462,277079,310986,348949,382779,417722,443545,466122,512937,558630,609787,620069,648449,652055,703212,731743,781981,806242,828292,852925
