GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "35000","New Mexico",6,SAGDP4S,1,"...","All industry total","Thousands of dollars",1480019,1586794,1682160,1755801,1838783,1986167,2179334,2351059,2589491,2912593,3270320,3688948,4157970,4765825,5421750,6232096,7082866,7892692,8939580,9588225,10113174,11020740,11801152,12155575,12626415,13336628,14051451,15188812,16176767,17291130,18587098,20006294,21333080,21994480,23009076
 "35000","New Mexico",6,SAGDP4S,2,"..."," Private industries","Thousands of dollars",968454,1036672,1088817,1125254,1178397,1268398,1402771,1482723,1624208,1836598,2089353,2370092,2659459,3073322,3579156,4217120,4866484,5422179,6148755,6543373,6815003,7451436,7938132,8123799,8362779,8899649,9348321,10084713,10670433,11423795,12429035,13521451,14477776,14961478,15730980
 "35000","New Mexico",6,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",34933,36608,37956,35618,37042,38291,41519,41158,40557,42228,51737,54135,56531,65081,65686,82929,90809,94069,95801,101840,105496,113287,121489,123272,133051,148111,153742,171113,173280,179257,199823,237363,253291,252431,288633
 "35000","New Mexico",6,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",31016,32218,33320,30146,30933,31345,34113,33369,32774,33266,40550,41953,45163,51725,50006,64849,70164,71939,70363,74283,73860,76701,80059,77196,81529,89613,94016,107267,102523,101963,116858,151129,160794,155394,183100
 "35000","New Mexico",6,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",3916,4389,4636,5472,6109,6945,7406,7789,7783,8963,11187,12182,11369,13356,15680,18079,20645,22129,25438,27557,31635,36586,41430,46076,51521,58499,59726,63846,70757,77294,82965,86234,92497,97037,105533
 "35000","New Mexico",6,SAGDP4S,6,"B","   Mining","Thousands of dollars",127097,127419,129530,128516,134047,141023,158485,163310,168213,174021,191418,245158,301039,361815,444077,525348,651746,792033,924663,827861,670992,710963,712802,576004,532184,545361,546270,623988,661944,630432,681378,697849,722339,734537,786670
 "35000","New Mexico",6,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",36344,35676,34231,36960,40487,50505,61119,68149,68610,66919,71149,94571,114488,163512,203313,232076,295856,313359,306003,206260,141594,139644,122130,87754,85454,81311,82303,88183,87029,68589,71185,92490,108119,123148,138471
 "35000","New Mexico",6,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),106359,110589,105117,96896,92780,103457,106826,110457,132691,132927,125548,117792,129852
 "35000","New Mexico",6,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",59233,59169,56403,53608,54884,58840,65469,61074,64259,67126,76271,99999,121308,123960,153363,189293,230764,328062,444971,440563,372109,401815,413788,317001,277866,294056,287358,344822,373889,352120,388284,384817,398008,394098,420892
 "35000","New Mexico",6,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70525,60660,63748,73098,83829,87526,94199,99266,89218,87615,90664,99500,97456
 "35000","New Mexico",6,SAGDP4S,11,"C","   Construction","Thousands of dollars",110388,122141,128581,125497,119805,133572,150871,144979,177908,219138,245547,278106,311424,344634,425852,511132,554104,569004,634259,663733,687969,752546,769701,744325,682174,685406,687457,697589,701285,806713,971504,1197638,1314944,1276494,1311774
 "35000","New Mexico",6,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",85697,96140,97222,106057,110025,130403,149061,157234,169998,199027,227072,267236,283055,329870,392373,448382,523417,569490,625042,679536,739170,817956,892227,930957,971542,1075150,1168447,1218465,1245451,1229618,1367425,1526952,1583914,1669235,1788669
 "35000","New Mexico",6,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",47064,57134,57354,62152,64149,80748,92006,95549,103428,124987,140860,166545,170476,196766,237131,275316,326404,366760,411138,455773,503648,567078,628491,662140,705123,802053,873395,910342,922563,908570,1009516,1149222,1190343,1256009,1354155
