GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "40000","Oklahoma",6,SAGDP4S,1,"...","All industry total","Thousands of dollars",3332921,3525033,3732164,4092729,4479642,4942714,5456570,5930282,6349660,6997487,7840405,8930458,9865282,11167971,12684594,14657081,16908377,19931907,23499919,26045233,25700471,27212934,27893878,27434335,27410584,28561951,30039796,32007200,33644363,35572854,37054498,38612220,39944941,41776299,43899002
 "40000","Oklahoma",6,SAGDP4S,2,"..."," Private industries","Thousands of dollars",2452275,2588120,2740940,2988639,3217383,3569912,3967427,4268570,4560947,5067830,5756294,6640762,7315262,8341149,9560957,11226632,13089805,15598007,18516342,20363393,19654138,20803983,20997772,20285272,20142435,21068702,22100777,23600032,24685741,25939238,27126558,28507895,29510636,30968576,32810243
 "40000","Oklahoma",6,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",50582,43841,49574,51536,57605,63229,65345,73699,71249,79960,91069,109513,104857,123939,153992,127139,143627,152420,157145,175779,175487,180745,187085,185066,195453,212132,221606,251053,255463,251693,280677,282483,309952,317990,337677
 "40000","Oklahoma",6,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",42455,35351,38355,41230,45832,49467,50142,56373,53302,59810,64929,78636,81760,98147,124307,94143,102982,106745,105619,118178,114289,114823,115633,107701,110429,122950,131226,152322,148060,136510,155023,147721,174275,176450,189591
 "40000","Oklahoma",6,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",8127,8490,11218,10306,11773,13763,15204,17326,17947,20150,26140,30877,23097,25792,29685,32996,40645,45676,51526,57601,61199,65923,71451,77365,85023,89182,90380,98731,107403,115183,125654,134762,135677,141539,148086
 "40000","Oklahoma",6,SAGDP4S,6,"B","   Mining","Thousands of dollars",296958,305714,318434,334396,343417,369435,396251,392908,397893,413232,447350,560617,666423,803145,973055,1210277,1470909,2004656,2981142,3428732,2672011,2613436,2460969,2040333,1879808,1832246,1817256,1912381,1944937,1867466,1795921,1786245,1633352,1606949,1608091
 "40000","Oklahoma",6,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2780,(D),3088,2764,2881,(D)
 "40000","Oklahoma",6,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),39096,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",284719,293741,306023,321962,330733,354829,378957,372096,376451,391802,425423,536026,635558,769782,925288,1147737,1401876,1919369,2884849,3328772,2584891,2517987,2375560,1959770,1803035,1761207,1751947,1845714,1876435,1799543,1727590,1712984,1554755,1523350,1522978
 "40000","Oklahoma",6,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAGDP4S,11,"C","   Construction","Thousands of dollars",199493,200983,209288,221314,226780,260990,295323,328068,372589,387134,461430,549802,563088,610239,713088,887761,999044,1076545,1100003,1207842,1115240,1178847,1049570,909645,830490,896071,925332,1058592,1040349,1101051,1190898,1328442,1400284,1513728,1574623
 "40000","Oklahoma",6,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",564694,609833,666239,769700,832071,928705,1071637,1139490,1162887,1311348,1511142,1739639,1804182,2076587,2378879,2721333,3263677,3901571,4557464,4569660,4491533,5052709,5152686,4981612,4875834,5095933,5294868,5582055,5846188,5961509,6225665,6565032,6377746,6536629,6832840
 "40000","Oklahoma",6,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",324600,358539,404868,487119,530200,592915,698930,728713,714955,814838,956826,1099717,1109013,1278579,1486826,1744391,2125958,2625014,3111808,3027877,2871539,3212682,3315622,3157429,3107982,3366655,3572752,3728805,3888012,3915760,4092635,4406435,4214442,4293423,4468702
 "40000","Oklahoma",6,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",9945,10359,11310,11614,12368,14030,13651,15397,21643,28087,32151,35485,35293,39445,48445,54772,56022,49868,55673,53994,59156,66450,55249,52077,61645,74925,78847,75713,75654,71252,78954,90235,95640,105632,109273
 "40000","Oklahoma",6,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",4726,5209,5792,6028,7428,9341,10976,10844,10003,13214,17630,18278,17570,22728,24451,25644,28709,29928,33231,34784,31914,35573,34547,38390,37997,47099,49089,58018,52546,56616,65869,69896,74184,77246,77772
 "40000","Oklahoma",6,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",44323,46993,47643,51916,52817,57971,65339,69665,77717,89420,98165,105450,100243,136294,152926,175982,202745,221483,249475,265399,289406,302390,319314,320344,319974,320033,318554,318405,328291,336513,332842,349970,342803,336566,341212
 "40000","Oklahoma",6,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",21765,22743,25643,29348,29282,32190,33289,36294,37511,42611,49678,55259,56680,69586,83636,96312,109595,128763,151832,130991,114577,127047,125318,125052,128387,148611,158050,168296,171687,172100,181408,191500,183833,191032,190216
 "40000","Oklahoma",6,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",62720,72004,84946,104534,124696,133884,140845,150649,148216,162378,187490,223181,256791,276922,305600,355607,394468,472588,571053,561133,441557,443793,450191,416097,405947,470914,518339,599281,641158,669898,699519,717821,752321,786872,839289
 "40000","Oklahoma",6,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",68909,74938,83556,97948,115340,129371,154784,169044,176972,208899,246949,293120,293721,365439,439954,540170,654000,824139,1048250,1015746,853218,1087011,1132501,1018513,1018847,993192,1049763,1138315,1164373,1121644,1215326,1291963,1237295,1307543,1375395
 "40000","Oklahoma",6,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",36863,42476,50408,66575,60927,66771,78724,107356,105587,114637,138909,147364,159264,146380,182499,213225,237531,257770,293588,325146,363518,304451,286574,271116,229893,334093,365683,332297,312707,304616,321275,343429,329771,363562,424860
 "40000","Oklahoma",6,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",9758,11046,12478,14661,15230,18486,21858,23468,28725,33116,38581,47181,52202,62243,67335,78597,169126,295129,297235,203854,334146,439140,458801,420630,366366,433275,446310,407804,491453,546922,580621,783101,615533,511505,442371
 "40000","Oklahoma",6,SAGDP4S,22,"372-379","       Other transportation equipment","Thousands of dollars",55013,62038,71958,90181,97099,111915,164424,125636,85988,99382,122408,143313,105424,117122,138186,152497,209311,264326,306383,323306,297127,311107,341252,374629,387416,371339,378022,404213,408488,395467,352914,295637,309576,338941,397258
 "40000","Oklahoma",6,SAGDP4S,23,"38","       Instruments and related products 2/","Thousands of dollars",5700,5318,4952,7020,6594,9790,5038,8603,9453,9846,11420,14598,16425,22908,22220,27728,36204,51898,70778,77818,54042,58772,70040,76964,107063,116508,148753,164105,173405,171984,182397,181529,177941,177219,177050
 "40000","Oklahoma",6,SAGDP4S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",4878,5415,6181,7292,8419,9167,10001,11756,13140,13249,13445,16488,15401,19512,21573,23858,28249,29124,34311,35706,32878,36948,41835,43617,44444,56667,61342,62357,68249,68748,81510,91355,95546,97305,94006
 "40000","Oklahoma",6,SAGDP4S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",240094,251294,261371,282581,301871,335790,372708,410777,447932,496510,554317,639922,695169,798008,892053,976942,1137719,1276557,1445656,1541783,1619994,1840026,1837065,1824183,1767852,1729278,1722116,1853251,1958176,2045748,2133029,2158597,2163304,2243206,2364138
 "40000","Oklahoma",6,SAGDP4S,26,"20","       Food and kindred products","Thousands of dollars",81550,83910,85060,89807,95044,103445,109431,120203,127254,135160,148162,162351,174370,197031,214379,232872,259207,286311,298720,318268,325871,336228,339677,337496,349342,351151,351551,385995,413105,428185,454866,470568,468601,514279,568998
 "40000","Oklahoma",6,SAGDP4S,27,"21","       Tobacco products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),113,(D),(D),(D),0,(D),(D)
 "40000","Oklahoma",6,SAGDP4S,28,"22","       Textile mill products","Thousands of dollars",857,1284,2133,3324,5423,6956,10507,13725,15542,17635,17281,13147,18108,18848,17586,16319,15843,16589,15428,16073,19104,20538,18807,19644,20468,21518,19789,18324,(D),16853,14661,16023,(D),(D),(D)
 "40000","Oklahoma",6,SAGDP4S,29,"23","       Apparel and other textile products","Thousands of dollars",16211,18134,20103,24223,27007,32179,38852,42111,45794,53376,65866,73442,73266,89925,94123,98899,101865,109075,108148,101963,109390,114225,115219,114828,114288,117569,120606,110468,111868,115886,126352,129122,127077,133044,131219
 "40000","Oklahoma",6,SAGDP4S,30,"26","       Paper and allied products","Thousands of dollars",5259,5881,5995,6796,7212,8129,10231,11130,11814,19329,23026,25190,25265,32187,35886,40134,52253,63050,74463,86386,90458,103245,104905,117669,112115,107041,115478,132137,144192,149302,155095,162003,169593,189372,192617
 "40000","Oklahoma",6,SAGDP4S,31,"27","       Printing and publishing","Thousands of dollars",33087,35263,38159,41089,44339,49441,54039,58572,62111,68488,75171,83377,88774,102206,114325,126100,141643,165027,186230,209019,215976,245428,260925,264739,265038,267635,276271,289030,297223,309527,317810,332922,316859,323217,349584
 "40000","Oklahoma",6,SAGDP4S,32,"28","       Chemicals and allied products","Thousands of dollars",9374,9615,8908,9608,9801,10571,11424,15831,17367,18207,19189,32080,39455,47076,56748,61807,69848,79984,92629,97896,100128,112388,111881,105631,106667,117019,119969,128002,151340,163736,177608,175008,182033,185760,187398
 "40000","Oklahoma",6,SAGDP4S,33,"29","       Petroleum and coal products","Thousands of dollars",73271,74797,77445,82011,86965,91548,97567,103249,106219,109356,116975,141156,167655,190884,209038,225669,270509,297473,373390,420854,442796,551578,518803,524289,458289,374897,326498,364211,389940,378120,383321,347608,354364,327909,335190
 "40000","Oklahoma",6,SAGDP4S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",19202,21114,22289,24283,24576,31639,38757,43849,59270,71717,84601,104826,104420,115555,145749,170322,221081,253540,291158,286072,311483,351492,361313,334191,335649,366131,385239,417435,425886,475539,493904,513992,515143,540689,570835
