GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "56000","Wyoming",7,SAGDP4S,1,"...","All industry total","Thousands of dollars",568996,602745,605319,618170,657067,729681,796108,869042,954501,1067233,1259107,1523496,1770789,2065124,2447553,2964307,3534151,4174947,4808522,4930081,4608067,4767890,5000767,4815305,4531439,4649895,4793049,5177710,5478831,5735962,6038725,6348209,6532227,6669524,6950101
 "56000","Wyoming",7,SAGDP4S,2,"..."," Private industries","Thousands of dollars",424143,442111,439370,444221,461836,516632,567990,614119,667316,750080,903773,1131534,1325534,1557365,1882512,2327609,2835088,3342490,3864075,3876391,3437504,3508762,3646574,3396333,3105933,3181225,3289147,3584996,3790371,3960579,4210860,4463098,4591025,4707382,4968076
 "56000","Wyoming",7,SAGDP4S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",26183,29907,30100,30684,30010,31005,33647,35015,36649,38763,47079,52939,53395,56343,60641,60612,66170,68872,70008,67134,63606,62681,62895,59678,59539,63948,66524,73622,72608,72872,80409,96857,96806,93554,102614
 "56000","Wyoming",7,SAGDP4S,4,"[01-02]","     Farms","Thousands of dollars",25278,28839,28918,29326,28404,29292,31261,32356,33558,34785,41888,47068,48495,49405,53505,53537,58207,60055,59754,56555,52264,50231,48293,43181,42050,46006,48035,54451,51501,50499,56115,69475,71278,65998,73987
 "56000","Wyoming",7,SAGDP4S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",904,1067,1181,1357,1606,1713,2386,2659,3091,3979,5191,5871,4901,6938,7136,7075,7963,8817,10254,10578,11342,12450,14602,16497,17488,17943,18489,19170,21107,22372,24294,27382,25528,27556,28627
 "56000","Wyoming",7,SAGDP4S,6,"B","   Mining","Thousands of dollars",68775,68250,69420,72587,78039,96606,115567,118584,120524,138420,160875,225438,302332,385276,524506,696952,862368,1070180,1246667,1202322,1039385,1029544,989359,819652,746663,773404,762478,827403,871243,876257,900352,919704,921576,884261,961485
 "56000","Wyoming",7,SAGDP4S,7,"10","     Metal mining","Thousands of dollars",16436,14585,14608,14849,15929,19556,24034,27648,30383,32674,33513,40567,48199,72637,109431,156506,191079,203919,148690,102297,80110,52347,40491,32651,31965,30934,31343,36915,40850,34208,33555,34561,32772,35785,38976
 "56000","Wyoming",7,SAGDP4S,8,"12","     Coal mining","Thousands of dollars",1756,1936,1833,1913,1900,1914,2139,3843,6223,9545,12011,18475,29319,55691,86935,122768,150933,209883,246859,255404,266487,269500,281578,270598,249945,242385,248051,265185,275273,288870,289784,289545,309775,330497,337874
 "56000","Wyoming",7,SAGDP4S,9,"13","     Oil and gas extraction","Thousands of dollars",43649,43227,43647,45324,49164,62152,73712,70076,64388,72282,83295,121493,157780,171442,228800,299632,378182,487895,669439,658487,517702,540852,499712,349934,298810,322047,295639,328347,344430,339204,361723,370341,334069,319586,371806
 "56000","Wyoming",7,SAGDP4S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",6934,8503,9331,10501,11046,12984,15683,17017,19530,23919,32056,44903,67034,85506,99340,118045,142174,168483,181679,186134,175087,166845,167578,166469,165943,178038,187446,196955,210690,213975,215289,225257,244960,198394,212829
 "56000","Wyoming",7,SAGDP4S,11,"C","   Construction","Thousands of dollars",61737,64846,53236,50176,50393,59263,59451,68988,83787,102626,154576,211812,222021,238140,281039,333449,429375,475358,543045,515388,333179,343817,487059,452216,285834,268083,269248,301948,343865,342495,361830,416926,427633,440776,478993
 "56000","Wyoming",7,SAGDP4S,12,"D","   Manufacturing","Thousands of dollars",48691,47045,47958,49045,49996,53006,57815,62750,66355,73923,87080,97645,111096,129161,145344,169324,190708,202093,230504,229128,205439,201954,200166,199940,208151,226913,238390,276582,285298,291297,311885,330108,323917,386515,396113
 "56000","Wyoming",7,SAGDP4S,13,"...","     Durable goods manufacturing","Thousands of dollars",15046,13733,13399,13645,15692,18052,20964,22934,25405,28761,35051,36982,37976,43161,52468,66427,76314,79079,96055,92529,84290,92603,91114,88320,91411,96958,97892,116485,117085,126396,130383,144387,141317,153036,158747
 "56000","Wyoming",7,SAGDP4S,14,"24","       Lumber and wood products","Thousands of dollars",5206,5445,5634,6104,6650,7313,8534,8728,10204,11101,13788,13730,11591,15376,18564,18963,19943,19675,22383,17937,19515,22321,21104,23316,27093,28800,28560,29975,28692,32551,34823,36206,33858,33210,34181
 "56000","Wyoming",7,SAGDP4S,15,"25","       Furniture and fixtures","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70,(D),181,205,116,979,1029,644,520,639,697,975,1317,2091,2196
 "56000","Wyoming",7,SAGDP4S,16,"32","       Stone, clay, and glass products","Thousands of dollars",4404,4437,4322,3847,4272,5240,5688,6475,6890,8163,9214,10242,11376,12971,15268,21530,24907,24576,28066,29439,29496,28710,27143,24265,23750,20652,18151,18787,19088,20056,21698,24641,24703,27941,30518
 "56000","Wyoming",7,SAGDP4S,17,"33","       Primary metal industries","Thousands of dollars",914,12,13,142,181,179,193,198,199,117,163,169,151,3,275,557,667,756,1359,1336,1578,5834,(D),(D),(D),(D),6560,6685,7557,10403,10662,11726,9990,12270,13019
 "56000","Wyoming",7,SAGDP4S,18,"34","       Fabricated metal products","Thousands of dollars",1232,640,670,569,607,628,960,1247,1525,1869,2220,3132,4055,3657,4348,5885,8391,9056,11568,10858,9127,8848,(D),(D),8784,9382,10166,12721,13067,11843,12373,16255,16486,16840,19275
 "56000","Wyoming",7,SAGDP4S,19,"35","       Industrial machinery and equipment","Thousands of dollars",526,695,721,766,1098,2238,3594,4718,5458,5886,7252,6848,6935,7688,10215,15207,17982,20405,26927,27235,18744,21033,20892,18919,18182,19675,22019,34920,34309,36462,36521,37813,35720,38572,36283
 "56000","Wyoming",7,SAGDP4S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",118,137,155,214,275,180,74,78,44,48,129,161,704,359,82,71,80,99,283,703,(D),815,967,793,751,688,(D),(D),(D),1540,1936,3415,5572,6502,7100
 "56000","Wyoming",7,SAGDP4S,21,"371","       Motor vehicles and equipment","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),158,130,113,217,(D),169,580,813,838,1021,1043,1254,1415
 "56000","Wyoming",7,SAGDP4S,22,"372-379","       Other transportation equipment","Thousands of dollars",1567,1348,990,848,1459,1372,984,488,172,335,605,1044,1122,1015,1242,1550,1530,1768,2623,1902,1946,2138,2647,3315,(D),(D),(D),(D),(D),6905,5025,5633,5587,6433,5822
 "56000","Wyoming",7,SAGDP4S,23,"38","       Instruments and related products 2/","Thousands of dollars",551,468,369,579,736,625,575,565,432,515,665,798,963,955,1197,1400,1664,1557,1311,1436,1450,1325,1049,1042,1069,2760,3100,3446,3432,3379,3190,3256,3499,4105,4790
 "56000","Wyoming",7,SAGDP4S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",220,230,237,230,222,266,337,416,414,391,319,260,492,699,690,743,717,708,1158,1479,1423,1407,1591,1755,1824,2424,2317,2536,2692,1805,2620,3445,3542,3819,4147
 "56000","Wyoming",7,SAGDP4S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",33645,33311,34559,35400,34303,34953,36851,39815,40950,45162,52029,60663,73120,86000,92876,102896,114394,123015,134450,136600,121150,109351,109053,111620,116740,129955,140499,160098,168214,164901,181502,185720,182600,233479,237366
 "56000","Wyoming",7,SAGDP4S,26,"20","       Food and kindred products","Thousands of dollars",7895,8764,8993,8518,8344,9319,9616,9551,9107,9759,11433,11797,14732,16847,18547,19249,20731,21010,22310,23081,21766,21268,23510,25472,25286,26342,25649,25447,24766,26620,(D),30784,30323,29854,30613
 "56000","Wyoming",7,SAGDP4S,27,"21","       Tobacco products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "56000","Wyoming",7,SAGDP4S,28,"22","       Textile mill products","Thousands of dollars",64,49,45,35,44,44,47,61,49,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "56000","Wyoming",7,SAGDP4S,29,"23","       Apparel and other textile products","Thousands of dollars",27,26,32,26,38,39,40,55,271,806,1311,1411,1416,1589,2193,2694,3001,2899,2031,607,512,547,579,607,739,(D),(D),(D),(D),(D),(D),(D),2391,2557,3012
 "56000","Wyoming",7,SAGDP4S,30,"26","       Paper and allied products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,(D),(D),0,0,0,(D),(D),(D)
 "56000","Wyoming",7,SAGDP4S,31,"27","       Printing and publishing","Thousands of dollars",3671,3912,4050,4186,4307,4586,4898,5148,5427,5969,6459,7162,8837,10723,12189,13997,16772,19879,22516,24175,24955,26005,26674,26407,26842,33762,34335,36469,38114,39422,40255,40595,36549,38030,38237
 "56000","Wyoming",7,SAGDP4S,32,"28","       Chemicals and allied products","Thousands of dollars",957,445,787,1171,1522,1599,1841,2133,2323,2598,3166,4449,5434,6187,7533,8322,9226,10327,11046,11111,9555,10032,12250,13905,16655,21158,24910,38790,42004,43847,50896,51179,53056,102845,102603
 "56000","Wyoming",7,SAGDP4S,33,"29","       Petroleum and coal products","Thousands of dollars",21013,20092,20607,21422,19992,19278,20292,22569,23435,25298,28499,34580,41727,49528,51161,56747,62196,66375,73700,74531,61471,48496,42910,41194,42496,41201,47348,50334,54547,46465,49660,50597,49062,48336,50024
 "56000","Wyoming",7,SAGDP4S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3576,4998,5510,6066,6010,5839,7537,8576,9418,9655,10696
 "56000","Wyoming",7,SAGDP4S,35,"31","       Leather and leather products","Thousands of dollars",4,8,15,19,27,29,24,31,44,56,88,96,8,14,26,223,409,462,612,435,268,221,199,895,1146,1243,1106,1252,1204,1210,1316,1409,1320,1371,1447
 "56000","Wyoming",7,SAGDP4S,36,"E","   Transportation and public utilities","Thousands of dollars",74750,78762,80209,80184,82528,88044,95301,105970,115360,125943,147459,173018,197191,228378,258999,309289,378667,444046,517661,532858,525197,545615,553966,535663,533922,543145,553444,590333,621340,636564,661841,663591,669344,661208,679136
 "56000","Wyoming",7,SAGDP4S,37,"...","     Transportation","Thousands of dollars",51689,53952,55515,55491,56834,60256,65067,71217,74783,79290,93762,110073,117870,137435,154834,189411,232366,264160,303270,299430,295967,320891,320464,308727,315205,323458,332904,356460,382987,394159,405223,400972,409805,409667,419191
 "56000","Wyoming",7,SAGDP4S,38,"40","       Railroad transportation","Thousands of dollars",34364,36721,37796,37477,37962,37937,39766,43606,47025,48672,55326,62327,62733,75509,87051,105004,129916,140971,148545,148889,154749,168130,169758,169185,170223,158831,165919,181670,198990,205043,204994,207756,224467,228733,232939
