GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "09000","Connecticut",1,SAGDP5S,1,"...","All industry total","Thousands of dollars",-12714,-16182,-17936,-24654,-22913,-24773,-25729,-30385,-33325,-55224,-46879,-40605,-62095,-67311,-89702,-103553,-121440,-139276,-153094,-208470,-238963,-254536,-263058,-302346,-356681,-381929,-377028,-403558,-420273,-427695,-539257,-496448,-526221,-513769,-496213
 "09000","Connecticut",1,SAGDP5S,2,"..."," Private industries","Thousands of dollars",-11351,-14669,-16198,-22751,-20810,-22131,-22348,-25941,-27148,-45953,-37347,-27077,-45477,-45281,-64745,-72964,-77320,-83884,-96472,-131985,-166256,-174226,-177026,-221555,-277860,-286987,-260208,-279792,-271746,-294305,-357240,-323310,-328817,-319421,-332311
 "09000","Connecticut",1,SAGDP5S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",-6010,-8226,-9037,-12313,-10169,-12602,-12541,-12516,-10037,-11167,-5556,-1214,-1788,-1854,-4185,-5823,-2110,-2416,-3195,-5733,-24241,-20962,-19575,-34159,-45954,-42090,-28065,-26624,-22634,-26352,-43363,-22134,-19970,-15917,-16173
 "09000","Connecticut",1,SAGDP5S,4,"[01-02]","     Farms","Thousands of dollars",-6010,-8226,-9037,-12313,-10169,-12602,-12541,-12516,-10037,-11167,-5556,-1214,-1788,-1854,-4185,-5823,-2110,-2416,-3195,-5733,-24241,-20962,-19575,-34159,-45954,-42090,-28065,-26624,-22634,-26352,-43363,-22134,-19970,-15917,-16173
 "09000","Connecticut",1,SAGDP5S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,6,"B","   Mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-13,-4,-2,-5,-7,-8,-8,0,-1,-1,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-13,-4,-2,-5,-7,-8,-8,0,-1,-1,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,9,"13","     Oil and gas extraction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,11,"C","   Construction","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,12,"D","   Manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-998,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,13,"...","     Durable goods manufacturing","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,14,"24","       Lumber and wood products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,15,"25","       Furniture and fixtures","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,16,"32","       Stone, clay, and glass products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5S,17,"33","       Primary metal industries","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
