GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "04000","Arizona",6,SAGDP6N,1,"...","All industry total","Thousands of dollars",8958821,9478884,10425243,11550026,12090885,12817139,13685445,14635344,16025634,17292209,18971292,18359351,17841064,18162955,19513896,19822993,20213810,20505513,20334473,21541447,22626645,24264097,25240880,25832575
 "04000","Arizona",6,SAGDP6N,2,"..."," Private industries","Thousands of dollars",8955850,9475734,10421640,11545741,12085870,12811381,13678958,14627939,16016668,17280775,18957697,18347499,17830710,18152791,19501767,19810628,20201390,20492412,20323130,21529909,22614580,24251598,25228332,25820754
 "04000","Arizona",6,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",39663,39992,42287,42733,44932,48355,51867,54726,62977,75325,97372,100016,78611,89014,95932,90662,95336,101765,94004,88243,96614,103278,104272,107227
 "04000","Arizona",6,SAGDP6N,4,"111-112","   Farms","Thousands of dollars",27975,27911,29384,29616,28310,31348,31288,32138,34794,41183,55160,53943,51581,52410,54009,54961,58530,67416,63525,59751,64093,63623,66482,71915
 "04000","Arizona",6,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",11688,12081,12903,13117,16622,17008,20579,22588,28182,34143,42213,46073,27030,36604,41923,35701,36806,34349,30478,28492,32521,39655,37790,35312
 "04000","Arizona",6,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",107005,101075,102050,96928,83090,81121,83717,90334,104292,118669,155707,188447,160646,168753,199005,220027,241911,227589,218103,223949,237055,269245,268200,260416
 "04000","Arizona",6,SAGDP6N,7,"211","   Oil and gas extraction","Thousands of dollars",215,180,159,175,54,46,47,41,50,85,112,191,288,570,1486,6113,6031,5324,5550,5131,5136,5190,5341,5660
 "04000","Arizona",6,SAGDP6N,8,"212","   Mining (except oil and gas)","Thousands of dollars",104610,99020,99783,94410,82063,79720,82484,89099,102677,116370,152824,183411,153575,162166,192530,208799,231233,216676,206272,212751,226563,256161,256393,246083
 "04000","Arizona",6,SAGDP6N,9,"213","   Support activities for mining","Thousands of dollars",2180,1875,2108,2343,972,1355,1187,1194,1565,2215,2771,4844,6782,6017,4989,5115,4647,5589,6281,6067,5356,7893,6466,8673
 "04000","Arizona",6,SAGDP6N,10,"22","  Utilities","Thousands of dollars",583115,595096,648754,718051,725820,779579,823038,848064,926263,1043599,1250662,1306368,1367771,1449023,1557998,1554579,1527582,1491020,1406359,1472910,1512153,1537102,1532122,1505503
