GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "16000","Idaho",7,SAGDP6N,1,"...","All industry total","Thousands of dollars",2066175,2173336,2306280,2434745,2424386,2630499,2851467,3137374,3264065,3381439,3471551,3416926,3305773,3359701,3520546,3650337,3885567,4102161,4176014,4492971,4797988,5122405,5231992,5413136
 "16000","Idaho",7,SAGDP6N,2,"..."," Private industries","Thousands of dollars",2061660,2168545,2301207,2429722,2405641,2624769,2844933,3129515,3255714,3372160,3460982,3407485,3297871,3350370,3510462,3640155,3874797,4091079,4165901,4482519,4786844,5109846,5219788,5401415
 "16000","Idaho",7,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",78667,76240,80589,81192,77347,83204,81902,80881,84153,92487,112703,113903,103366,107483,113326,112145,119568,130433,125704,119571,129933,132911,137179,145651
 "16000","Idaho",7,SAGDP6N,4,"111-112","   Farms","Thousands of dollars",63691,61242,63829,64768,61812,67471,64620,63298,65215,72136,88929,87039,84267,84730,87999,88711,94232,105064,101911,96228,103161,102353,106733,115330
 "16000","Idaho",7,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",14976,14998,16760,16425,15535,15733,17282,17583,18938,20352,23774,26864,19099,22754,25327,23435,25336,25369,23793,23343,26773,30559,30446,30321
 "16000","Idaho",7,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",16491,17033,17185,17491,12815,12544,14588,16264,18177,20936,23877,29985,22833,26275,30678,34840,36045,37766,35224,38961,39787,36990,39725,43520
 "16000","Idaho",7,SAGDP6N,7,"211","   Oil and gas extraction","Thousands of dollars",0,0,20,29,229,592,679,1182,1552,1747,2146,7457,3237,3325,3130,3765,3070,4983,5625,4628,6309,3574,1348,1123
 "16000","Idaho",7,SAGDP6N,8,"212","   Mining (except oil and gas)","Thousands of dollars",16117,16593,16702,16976,12285,11605,13509,14590,16064,18390,20655,21165,18468,21212,25434,28496,30398,29546,25936,30665,31380,31108,36280,39712
 "16000","Idaho",7,SAGDP6N,9,"213","   Support activities for mining","Thousands of dollars",374,440,463,486,301,348,400,492,561,799,1075,1363,1128,1738,2114,2579,2577,3237,3664,3668,2099,2308,2097,2685
 "16000","Idaho",7,SAGDP6N,10,"22","  Utilities","Thousands of dollars",65567,69029,73133,77197,72084,93024,83146,101818,91179,113859,103496,102339,111015,147363,159569,168542,171901,184085,205801,200874,213791,221871,230245,229479
 "16000","Idaho",7,SAGDP6N,11,"23","  Construction","Thousands of dollars",20668,23182,25592,26943,27202,28935,31076,36917,42984,43292,39606,32747,29890,28503,27493,30168,33104,35158,38306,41703,45569,48503,53579,57698
