GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "40000","Oklahoma",6,SAGDP6N,1,"...","All industry total","Thousands of dollars",5556191,5615744,5796544,6395539,6451887,6461354,6816093,7391868,7938774,8739089,9112282,9422864,9505460,10038644,10499918,11537167,11858160,12296576,12103867,11721473,12216878,13067868,13202377,13130843
 "40000","Oklahoma",6,SAGDP6N,2,"..."," Private industries","Thousands of dollars",5543450,5602841,5782991,6381494,6436778,6445673,6799670,7374399,7921113,8724405,9093643,9399838,9482430,10013440,10473425,11508100,11828615,12266124,12077452,11694642,12188006,13036893,13171129,13099832
 "40000","Oklahoma",6,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",81067,81264,95115,90888,94061,94286,112856,111592,102260,106238,115004,125265,128636,133358,136814,144272,153728,159881,164999,158940,170933,170355,176043,189878
 "40000","Oklahoma",6,SAGDP6N,4,"111-112","   Farms","Thousands of dollars",76907,76998,90512,86007,89080,88784,106734,104555,95235,99583,107313,117077,121742,125898,129547,136831,145953,152239,157617,150732,161374,159918,165952,178850
 "40000","Oklahoma",6,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",4160,4266,4603,4881,4982,5503,6122,7037,7025,6655,7691,8187,6894,7460,7267,7441,7775,7642,7383,8208,9559,10438,10091,11027
 "40000","Oklahoma",6,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",682455,586975,523470,810452,829643,727260,959167,1188069,1455050,1827257,1853788,2189073,2296788,2464122,2672132,2952997,3006350,3020473,2768023,2473672,2640108,2842385,2703505,2525278
 "40000","Oklahoma",6,SAGDP6N,7,"211","   Oil and gas extraction","Thousands of dollars",650798,555522,489628,771458,789574,687171,917298,1142989,1402217,1772532,1785067,2108253,2222937,2384859,2589193,2863942,2914451,2914052,2672059,2375557,2523894,2716714,2577481,2413309
 "40000","Oklahoma",6,SAGDP6N,8,"212","   Mining (except oil and gas)","Thousands of dollars",10565,11084,11758,13063,12787,12133,12521,13194,12732,12393,14118,14961,14407,15406,16638,18868,22173,29329,25413,24301,25755,29190,33202,30385
 "40000","Oklahoma",6,SAGDP6N,9,"213","   Support activities for mining","Thousands of dollars",21092,20369,22084,25931,27281,27956,29348,31886,40100,42331,54604,65858,59443,63857,66302,70188,69726,77091,70551,73814,90459,96480,92822,81584
 "40000","Oklahoma",6,SAGDP6N,10,"22","  Utilities","Thousands of dollars",219122,219524,230259,248404,259663,269024,271679,283200,290902,311978,346931,341548,386260,414383,403080,428601,437952,458164,425534,422293,389889,422357,482622,429724
 "40000","Oklahoma",6,SAGDP6N,11,"23","  Construction","Thousands of dollars",31240,34967,38618,40352,45452,49331,49443,51887,59014,55443,61183,58976,53735,56129,53104,57386,61613,66506,63287,65134,70150,75657,82952,86570
 "40000","Oklahoma",6,SAGDP6N,12,"31-33","  Manufacturing","Thousands of dollars",226838,229320,250465,272518,215555,224117,226579,249598,227790,241677,250803,258005,303005,328014,354650,335538,377701,351679,348341,335689,362540,407659,437602,407118
 "40000","Oklahoma",6,SAGDP6N,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",124686,128439,140367,154807,123143,127617,125448,134952,133283,121510,138772,129671,129560,129723,120193,125225,134676,126461,129355,120883,122619,155152,163254,164815
 "40000","Oklahoma",6,SAGDP6N,14,"321","    Wood product manufacturing","Thousands of dollars",3368,3440,3781,4298,3724,4014,4095,4332,4412,3873,4116,3862,3652,3215,2743,2670,2675,2616,2721,2908,2798,2265,2699,2783
 "40000","Oklahoma",6,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing","Thousands of dollars",9086,9541,10696,11692,9630,10277,10370,11440,11706,11011,12279,11518,12224,12339,10698,10520,10511,10354,10966,11789,11937,12576,13694,15001
 "40000","Oklahoma",6,SAGDP6N,16,"331","    Primary metal manufacturing","Thousands of dollars",9028,9143,9167,10478,7898,7362,7777,8744,8453,7459,8835,9631,10254,9989,9405,9303,9113,7342,7513,8150,8787,9228,10057,10662
