GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "06000","California",8,SAGDP6S,1,"...","All industry total","Thousands of dollars",6331821,6917834,7348692,7620130,8051425,9187676,10142041,10967279,12269950,13439331,14581102,15928553,17352177,18506082,21439182,23323973,19621718,22669024,27053574,27004367,29196800,33107917,35504619,37073612,40337239,44960893,47573169,52503243,56935692,60374861,61350602,63212127,67554157,68550175,71546914
 "06000","California",8,SAGDP6S,2,"..."," Private industries","Thousands of dollars",6329247,6914969,7345550,7616992,8048074,9183911,10138037,10962785,12265323,13434236,14575527,15922894,17346009,18499178,21432001,23315351,19611804,22657429,27041607,26981533,29171198,33078486,35477666,37055453,40316841,44928256,47537086,52458750,56897952,60333985,61307047,63163581,67498986,68498852,71489414
 "06000","California",8,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",80071,94707,77703,84640,89683,113179,107628,112555,116211,127962,125063,160637,163231,195488,320877,220224,227704,235181,254805,246557,261148,252326,269618,255663,286715,301547,346888,375857,403148,449392,442446,483408,532713,552141,572648
 "06000","California",8,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",71681,88376,77703,84640,87937,108175,102054,103904,103181,114665,104146,139773,136825,167182,268883,161943,172378,180495,195013,177542,191283,184635,195665,180800,199017,203189,236775,248015,263637,294514,283043,302673,343295,341532,362068
 "06000","California",8,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",8390,6330,0,0,1746,5004,5574,8651,13030,13296,20917,20864,26405,28305,51995,58280,55326,54686,59792,69015,69865,67691,73953,74863,87698,98358,110114,127842,139512,154877,159403,180735,189418,210609,210581
 "06000","California",8,SAGDP6S,6,"B","   Mining","Thousands of dollars",121356,122019,122751,123360,120942,141192,134217,132650,136783,141454,135246,171087,178515,186673,294157,297448,176609,1251183,3320491,2367380,1677887,1487191,990712,299010,245467,306449,306572,366770,380380,406187,419673,392929,419828,415238,443831
 "06000","California",8,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",732,822,0,0,1042,1261,1325,1429,1481,1719,2107,2454,2304,2844,5121,5785,3349,3997,5048,6626,6713,7495,10036,12382,13099,12723,11699,12983,16352,19101,20515,20962,22499,23855,22260
 "06000","California",8,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,11,0,0,0,6,17,12,13,14,92,97,5,0,1,2,3,13,14,2,0,17,32,163,106,106,132,156,161,80,45
 "06000","California",8,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",117376,117918,119392,120066,116569,136091,128389,125905,129345,134642,126841,162981,171631,177581,276369,279078,165930,1239150,3306623,2351993,1662531,1470046,969712,275775,221748,281049,281312,338929,347917,369448,383634,356848,380443,373298,402379
 "06000","California",8,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",3249,3280,3359,3294,3331,3829,4503,5315,5956,5086,6281,5641,4568,6234,12575,12488,7325,8036,8818,8759,8640,9636,10950,10850,10620,12661,13531,14695,16005,17532,15393,14963,16725,18006,19148
 "06000","California",8,SAGDP6S,11,"C","   Construction","Thousands of dollars",47497,49432,50015,49847,48234,55587,62368,72627,85755,101449,102099,105388,114069,132010,143212,150829,115286,114415,116496,115314,140712,162917,188382,217597,226551,274059,292947,264890,242549,232084,223536,245814,282122,307703,343978
 "06000","California",8,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",637751,685401,708806,693594,695369,794470,877606,895080,975471,974678,1028318,1056922,1059421,1119248,1251043,1263152,961904,971050,1038464,1120450,1135037,1250293,1302821,1522445,1703067,1797790,2047819,2324108,3102461,3282174,3225781,3192915,3699246,3745433,3742699
 "06000","California",8,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",293387,302230,262504,232660,251942,294402,331233,333497,367828,298396,323058,342450,354457,383825,446046,451279,290139,292362,324592,383966,378259,426838,504844,571509,618708,704681,725227,821965,916885,974768,939139,931557,1040221,1128850,1194223
 "06000","California",8,SAGDP6S,14,"24","       Lumber and wood products","Thousands of dollars",8005,8052,6781,6770,7640,9052,10698,10469,12971,14332,16682,19596,17534,20032,25448,25292,14336,14616,14731,14788,14501,16180,17430,19577,21792,24376,26043,28415,29737,28494,26459,27078,28560,30920,31685
 "06000","California",8,SAGDP6S,15,"25","       Furniture and fixtures","Thousands of dollars",3441,3497,3391,3351,3401,3735,4218,4688,5177,5722,6268,6654,7242,7757,8720,8915,5054,5257,5670,6351,6699,7782,8843,9812,10972,12424,12821,13667,14359,15487,14759,14017,16234,17767,18321
 "06000","California",8,SAGDP6S,16,"32","       Stone, clay, and glass products","Thousands of dollars",12862,12805,13801,13989,13697,16261,18102,19478,22111,23582,24562,25313,27293,29734,35448,34416,19016,20100,21479,23698,22915,25143,27994,31403,33948,38704,40683,45114,48351,49934,45975,44720,47698,49433,52677
 "06000","California",8,SAGDP6S,17,"33","       Primary metal industries","Thousands of dollars",27740,26593,26319,32696,39889,46869,49130,50761,57703,51369,52924,55045,63321,53837,56041,53061,27418,28901,29357,34905,34924,35394,39894,45055,49325,55576,54872,59954,65576,64069,61423,60237,67581,75615,73457
 "06000","California",8,SAGDP6S,18,"34","       Fabricated metal products","Thousands of dollars",13451,15604,15134,16233,17643,22793,24439,25715,27668,31388,31472,34203,38242,37984,43766,44141,27949,29839,33785,38633,38824,42802,48030,52597,57187,64759,65535,72994,76661,81972,82302,82351,89876,93031,93687
 "06000","California",8,SAGDP6S,19,"35","       Industrial machinery and equipment","Thousands of dollars",17935,18005,14836,14463,17044,19411,21660,25236,26142,28604,32532,37288,42904,51295,58782,59302,35375,38446,44497,57715,62746,70640,81310,90769,100167,113444,118761,142300,163175,181228,168669,166975,193538,209348,235002
 "06000","California",8,SAGDP6S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",67670,66974,38684,22203,28320,30244,34301,39198,44862,47214,54567,60111,66840,73409,75638,76330,47155,55861,64798,84942,94232,113324,141243,159949,131975,135858,141438,164761,187431,199704,199693,201565,247164,290328,318545
