GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "10000","Delaware",2,SAGDP6S,1,"...","All industry total","Thousands of dollars",144914,162497,173312,170836,188081,220533,231475,245371,273690,261727,293696,308016,330551,338593,342063,375808,405227,441874,477232,520946,570673,640579,732152,781420,891450,976465,1052735,1102004,1202002,1338137,1362759,1483949,1542018,1633008,1645687
 "10000","Delaware",2,SAGDP6S,2,"..."," Private industries","Thousands of dollars",144914,162497,173312,170836,188081,220533,231475,245371,273690,261727,293696,308016,330551,338593,342063,375808,405227,441874,477232,520946,570673,640579,732152,781420,891450,976465,1052735,1102004,1202002,1338137,1362759,1483949,1542018,1633008,1645687
 "10000","Delaware",2,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",1764,1745,1625,1402,1882,1953,2825,2243,2459,2675,3481,3476,4128,4471,4118,4447,2826,3081,2978,3537,3645,3607,3770,3814,3837,4089,4232,4734,5016,4952,5080,5838,6100,6501,6909
 "10000","Delaware",2,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",1325,1441,1625,1402,1798,1739,2593,1882,1963,2174,2720,2767,3257,3564,2623,2740,1554,2039,2299,3199,3268,3171,3304,3211,3217,3376,3585,4034,4264,4126,4192,4834,4875,5129,5494
 "10000","Delaware",2,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",439,304,0,0,84,214,232,361,495,501,761,710,871,906,1495,1707,1272,1041,679,338,377,436,466,602,620,713,647,700,752,827,888,1004,1224,1372,1414
 "10000","Delaware",2,SAGDP6S,6,"B","   Mining","Thousands of dollars",95,97,110,131,150,132,166,152,248,400,523,579,419,472,716,722,458,312,308,409,503,577,659,654,409,601,504,532,521,672,615,746,908,1037,872
 "10000","Delaware",2,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,154,206,289,351,338,328,315,327,345,435,584,716,859,982,793
 "10000","Delaware",2,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10000","Delaware",2,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",42,30,23,24,14,0,1,1,3,110,212,391,367,431,664,668,398,252,247,271,300,322,333,269,32,231,157,176,147,210,0,1,0,0,23
 "10000","Delaware",2,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",53,67,86,107,136,132,165,151,245,290,311,188,52,41,52,54,60,60,61,51,49,49,37,34,38,41,31,29,29,27,31,29,50,55,56
 "10000","Delaware",2,SAGDP6S,11,"C","   Construction","Thousands of dollars",1574,1624,1951,2011,1964,2412,2853,3796,5116,6725,6739,6728,6762,7154,5964,6313,5368,4970,3822,3633,3902,4423,4641,5006,5662,6549,6470,6154,6641,7058,7030,7177,7578,8012,8135
 "10000","Delaware",2,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",54648,65012,65620,55827,64099,82334,75597,76837,77886,40732,44662,41110,39516,40155,45601,47009,49973,51558,53748,58112,52201,61029,62292,50968,61824,72926,81885,111600,124715,134744,142892,152051,143369,133411,120876
 "10000","Delaware",2,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",46042,55661,54377,43758,51025,67609,59289,58826,57941,18671,21025,16109,14571,14366,15235,17772,18684,19836,18133,15384,8857,9237,11193,9939,10364,11279,12951,12742,15069,19317,21448,21763,20435,19087,19511
 "10000","Delaware",2,SAGDP6S,14,"24","       Lumber and wood products","Thousands of dollars",114,98,70,69,66,76,102,151,86,179,156,179,251,219,257,268,283,280,241,198,204,269,289,326,310,374,363,319,292,289,274,296,282,189,185
 "10000","Delaware",2,SAGDP6S,15,"25","       Furniture and fixtures","Thousands of dollars",5,11,13,23,18,18,22,29,31,38,43,49,53,66,54,52,59,55,48,44,55,63,71,84,110,150,138,123,126,152,147,158,183,185,398
 "10000","Delaware",2,SAGDP6S,16,"32","       Stone, clay, and glass products","Thousands of dollars",149,145,197,180,182,194,225,160,191,201,217,223,224,238,342,324,338,336,285,278,296,356,322,345,347,435,428,456,455,531,492,525,541,581,643
 "10000","Delaware",2,SAGDP6S,17,"33","       Primary metal industries","Thousands of dollars",418,486,426,344,476,273,367,724,824,971,920,966,1083,1015,1045,1065,1079,1121,1004,1029,1076,1132,993,1038,582,623,899,963,999,1172,1431,1564,1718,2041,2269
 "10000","Delaware",2,SAGDP6S,18,"34","       Fabricated metal products","Thousands of dollars",327,325,342,444,288,517,495,441,465,424,441,538,605,444,497,428,411,480,427,436,438,466,700,854,890,1161,848,782,829,945,897,944,1079,1262,1353
 "10000","Delaware",2,SAGDP6S,19,"35","       Industrial machinery and equipment","Thousands of dollars",299,339,261,168,201,232,346,549,652,870,618,587,710,794,644,648,632,593,468,425,502,529,589,663,675,792,782,754,782,974,978,1061,1092,1131,1111
 "10000","Delaware",2,SAGDP6S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",143,125,89,48,43,46,47,62,75,79,86,105,142,168,330,261,221,254,224,183,221,297,329,364,343,378,400,408,422,476,449,497,512,700,739
 "10000","Delaware",2,SAGDP6S,21,"371","       Motor vehicles and equipment","Thousands of dollars",44394,53914,52808,42358,49626,66122,57534,56521,55299,15506,18127,13068,11149,10925,11485,14106,14999,15906,14739,12015,4991,4781,6428,4874,5453,5569,6892,6594,8532,11705,12717,12530,9823,7368,7889
 "10000","Delaware",2,SAGDP6S,22,"372-379","       Other transportation equipment","Thousands of dollars",30,31,37,30,22,21,21,23,115,149,155,125,88,93,80,84,89,120,100,82,96,97,96,85,82,97,88,129,190,181,191,221,153,128,99
 "10000","Delaware",2,SAGDP6S,23,"38","       Instruments and related products 2/","Thousands of dollars",12,14,11,9,12,20,32,37,61,76,113,169,188,275,457,491,531,649,548,641,918,1163,1271,1224,1503,1626,2013,2093,2304,2734,3716,3774,4798,5195,4500
 "10000","Delaware",2,SAGDP6S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",151,174,121,86,91,89,98,129,141,179,151,100,78,129,44,45,43,43,49,53,60,84,105,82,70,72,100,119,136,158,155,195,255,307,326
 "10000","Delaware",2,SAGDP6S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",8606,9351,11243,12068,13074,14725,16308,18011,19945,22060,23636,25001,24945,25789,30366,29237,31289,31722,35614,42728,43344,51792,51099,41029,51460,61648,68933,98858,109647,115427,121444,130288,122935,114324,101365
 "10000","Delaware",2,SAGDP6S,26,"20","       Food and kindred products","Thousands of dollars",829,1413,2214,2253,2373,2666,2467,2953,2765,3079,3782,4197,3649,3708,3853,3913,3979,3891,3639,3514,3201,3348,3458,3386,3082,3338,3684,4185,4214,5361,5350,5883,8377,9742,9348
 "10000","Delaware",2,SAGDP6S,27,"21","       Tobacco products","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,6,5,7,7,9,11,10,9,4,3,2,2,2,2,3,3,2
 "10000","Delaware",2,SAGDP6S,28,"22","       Textile mill products","Thousands of dollars",202,153,132,169,150,211,227,122,222,256,208,178,84,121,136,125,114,106,86,79,84,115,115,158,169,201,228,328,365,381,404,426,529,721,830
 "10000","Delaware",2,SAGDP6S,29,"23","       Apparel and other textile products","Thousands of dollars",261,237,281,330,532,508,600,60,168,201,266,322,252,197,158,138,129,123,110,98,78,88,97,101,105,116,121,129,225,274,298,285,310,315,330
 "10000","Delaware",2,SAGDP6S,30,"26","       Paper and allied products","Thousands of dollars",51,54,67,80,84,92,103,120,127,147,154,209,274,370,1303,1258,1091,1122,1014,969,1019,1194,1297,1379,1305,1429,1474,1477,1390,1836,1911,2067,3769,3055,2308
 "10000","Delaware",2,SAGDP6S,31,"27","       Printing and publishing","Thousands of dollars",110,129,108,112,125,126,146,156,199,193,232,273,330,360,474,429,406,414,337,349,342,457,570,635,696,817,1093,1540,1120,1403,1237,1206,1241,1424,1481
 "10000","Delaware",2,SAGDP6S,32,"28","       Chemicals and allied products","Thousands of dollars",6164,6268,6995,7835,8756,9389,10696,12195,13734,14104,14463,15510,16363,16003,18832,18117,20028,20335,25374,32299,33276,37987,39512,28650,39537,48219,54191,82428,91061,94852,100975,109201,97950,90997,79111
 "10000","Delaware",2,SAGDP6S,33,"29","       Petroleum and coal products","Thousands of dollars",620,699,1032,820,606,1228,1537,1823,2123,3365,3763,3577,3573,4418,4914,4661,4943,5170,4515,4920,4826,7953,5417,6039,5883,6663,7036,7729,10044,9853,9731,9592,8998,6320,6087
 "10000","Delaware",2,SAGDP6S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",328,352,367,419,400,426,438,519,553,655,711,668,367,554,601,553,560,546,525,487,500,634,618,661,666,850,1093,1026,1214,1448,1521,1609,1749,1735,1856
 "10000","Delaware",2,SAGDP6S,35,"31","       Leather and leather products","Thousands of dollars",40,46,47,51,47,79,93,64,54,61,58,67,53,58,95,36,32,16,8,6,11,9,6,8,8,5,10,13,11,17,15,15,9,13,12
 "10000","Delaware",2,SAGDP6S,36,"E","   Transportation and public utilities","Thousands of dollars",12958,13767,14628,14902,16153,17005,18952,21950,27010,30518,33756,34634,37553,41651,43042,44208,46553,45858,46172,49323,54703,57674,59606,57775,58157,61124,62867,63060,69116,73804,77545,82805,87105,91574,92873
 "10000","Delaware",2,SAGDP6S,37,"...","     Transportation","Thousands of dollars",3657,3814,3933,3988,4227,3982,4250,4779,5146,5382,5906,5764,5908,6316,6299,6382,5948,4918,4558,3884,6174,4828,5840,7851,7114,7779,6410,6004,6100,7103,7314,9074,9115,9059,9390
 "10000","Delaware",2,SAGDP6S,38,"40","       Railroad transportation","Thousands of dollars",818,895,807,691,961,791,867,1133,1187,1162,1508,1650,1822,1870,2059,2153,2106,1536,1643,1367,1498,1326,1503,1473,1647,1954,1854,1747,1696,2275,2355,2671,2943,3171,3049
 "10000","Delaware",2,SAGDP6S,39,"41","       Local and interurban passenger transit","Thousands of dollars",204,208,211,215,223,216,213,232,262,284,328,333,345,338,322,304,307,285,272,279,295,335,347,401,426,465,382,402,409,449,483,550,630,577,663
 "10000","Delaware",2,SAGDP6S,40,"42","       Trucking and warehousing","Thousands of dollars",2205,2287,2505,2575,2478,2296,2407,2574,3012,3338,3381,3089,2954,3224,3019,2959,2563,2295,1850,1681,1693,1940,2190,2617,2979,3298,2517,2430,2443,2501,2560,2837,3474,3368,3431
 "10000","Delaware",2,SAGDP6S,41,"44","       Water transportation","Thousands of dollars",183,182,155,176,192,221,201,251,312,403,484,461,483,585,622,696,620,507,385,263,301,355,359,506,829,925,779,504,542,564,542,536,453,483,452
 "10000","Delaware",2,SAGDP6S,42,"45","       Transportation by air","Thousands of dollars",194,175,200,276,315,398,493,518,286,97,114,111,121,118,111,124,169,138,105,99,2273,736,1225,2600,920,806,588,647,671,921,983,2070,1209,1026,1301
 "10000","Delaware",2,SAGDP6S,43,"46","       Pipelines, except natural gas","Thousands of dollars",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,47,0,0,0,0,56,56,37,37,36,35,41,48,63,77,77
 "10000","Delaware",2,SAGDP6S,44,"47","       Transportation services","Thousands of dollars",55,52,56,55,58,61,69,71,87,98,91,120,184,181,167,146,184,157,248,147,113,135,216,253,258,275,253,237,302,358,349,363,342,357,417
 "10000","Delaware",2,SAGDP6S,45,"48","     Communications","Thousands of dollars",3651,3905,4288,4135,5141,5251,5827,6357,7512,8552,9757,9862,10248,10900,11231,11205,11358,11395,12255,12465,16082,15438,16246,16024,16065,18071,18779,18513,20238,20126,20735,21751,21314,23181,22918
