GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "12000","Florida",5,SAGDP6S,1,"...","All industry total","Thousands of dollars",1371535,1496666,1622523,1732004,1927220,2228168,2612904,3044672,3477969,4040861,4809061,5292862,5476831,5729160,6190742,6815847,7689478,8306906,9401971,10446003,12481357,14103143,15578741,16848808,19049168,21539316,23110639,24932810,27439944,29592347,31206912,34716181,35489782,37622944,39742684
 "12000","Florida",5,SAGDP6S,2,"..."," Private industries","Thousands of dollars",1371449,1496570,1622415,1731896,1927105,2228032,2612757,3044498,3477781,4040644,4808813,5292593,5476537,5728853,6190398,6815458,7688989,8306394,9401305,10444674,12479757,14101114,15576809,16847279,19047033,21535764,23107264,24929221,27437816,29590210,31204341,34714029,35486679,37619863,39738896
 "12000","Florida",5,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",26306,32790,26428,27411,32801,39032,41606,39510,44907,48343,41630,47737,58186,69471,81457,81807,95666,92583,103955,76494,85065,84676,92618,101404,117543,133711,148799,156506,177955,208110,162145,182394,183319,192088,199285
 "12000","Florida",5,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",24435,30684,26428,27411,31984,37663,39868,37258,41949,44470,36715,41560,49750,57979,66672,67095,80586,78183,88768,59334,66072,63980,69484,75265,89361,102101,111221,112530,122963,146276,96160,104126,102873,101569,104873
 "12000","Florida",5,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",1871,2105,0,0,817,1368,1738,2252,2958,3874,4915,6177,8435,11492,14785,14712,15080,14400,15187,17160,18993,20695,23135,26140,28181,31610,37578,43976,54993,61834,65985,78268,80446,90519,94412
 "12000","Florida",5,SAGDP6S,6,"B","   Mining","Thousands of dollars",23207,25961,29557,31219,32439,31101,31221,32006,37274,55729,62825,113817,158060,166211,100669,112099,129543,267629,325060,339021,228994,229819,221134,165223,110476,99690,94773,107226,106204,97236,84289,88428,105765,126782,115910
 "12000","Florida",5,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",255,204,0,0,71,130,101,154,344,542,449,591,1035,806,764,826,903,906,947,1308,1711,2142,2729,2976,2818,2655,2889,3118,3446,2364,2277,2705,2407,2720,3211
 "12000","Florida",5,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,1,2,10,1,25,1,4,7,19,24,23,1,6,9,6,1,25,14,9,10,8,8,7,4,2,2,16,24,10,131,39
 "12000","Florida",5,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",7599,8065,8564,7374,4444,4874,6130,7373,9723,14959,30503,67297,86336,87063,53454,57836,64758,184943,207881,243103,137122,112135,85375,43654,22717,20146,16995,19689,19167,16961,17336,18116,20423,29204,19306
 "12000","Florida",5,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",15353,17692,20994,23845,27923,26095,24980,24477,27183,40227,31870,45923,70670,78318,46427,53436,63876,81770,116226,94608,90136,115527,133021,118583,84933,76880,74882,84416,83588,77909,64659,67584,82925,94728,93354
 "12000","Florida",5,SAGDP6S,11,"C","   Construction","Thousands of dollars",17362,19096,22449,22165,23010,27317,36387,46105,56160,75326,88941,87775,67644,63251,69408,76265,79417,75382,77471,71395,93867,102592,110299,117805,131278,144844,152428,146293,142264,156807,171021,193543,194144,209703,219606
 "12000","Florida",5,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",100020,107428,113627,109228,126015,139884,148053,163142,182093,194407,205762,212142,226135,223308,235893,244288,254068,264332,281111,311203,340865,352564,376423,400279,425426,490775,543219,655883,789055,816224,807544,865066,874230,886398,877998
 "12000","Florida",5,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",15275,16410,13826,13766,18391,19115,21184,25983,26531,30525,33453,36504,34396,37224,45373,48261,54329,56907,66907,82539,90884,104851,123907,143866,160149,179251,204840,232765,265754,288045,288666,321523,327247,347441,359425
 "12000","Florida",5,SAGDP6S,14,"24","       Lumber and wood products","Thousands of dollars",1155,923,861,1041,1325,1216,1381,1589,1589,2116,2516,3681,2432,2283,4312,4561,5191,5444,6108,6757,7281,8019,8705,9384,10033,10897,11869,12354,13024,13339,14155,16263,16980,18593,18333
 "12000","Florida",5,SAGDP6S,15,"25","       Furniture and fixtures","Thousands of dollars",468,535,537,487,610,555,707,972,1026,1069,1129,1128,1039,872,994,1087,1200,1252,1359,1593,1776,1969,2309,2803,3128,3621,4049,4518,4867,5046,5168,5570,5985,6696,6542
 "12000","Florida",5,SAGDP6S,16,"32","       Stone, clay, and glass products","Thousands of dollars",1911,2033,2241,2309,2685,3113,3456,3971,4702,5889,7086,7661,6187,5508,6698,7024,7067,7245,8269,9467,10485,11807,13055,15231,17090,18575,21318,22532,23711,24340,24783,27881,29402,32162,34354
 "12000","Florida",5,SAGDP6S,17,"33","       Primary metal industries","Thousands of dollars",862,754,785,812,1225,1274,1339,1575,1981,2480,2221,2162,1853,2074,2654,2531,2784,2771,3053,3704,4427,4758,5491,6314,7393,8063,9173,11016,12660,13295,12665,14506,14841,16202,16684
 "12000","Florida",5,SAGDP6S,18,"34","       Fabricated metal products","Thousands of dollars",1141,1387,1353,1626,1601,1950,3055,3499,3860,4467,4948,5273,5469,6666,6266,6576,7046,7480,8667,10181,10586,11635,13252,15457,18000,19210,21392,24904,27476,28815,30827,34954,33945,34589,35294
 "12000","Florida",5,SAGDP6S,19,"35","       Industrial machinery and equipment","Thousands of dollars",1714,1589,1219,821,1916,2163,2297,4064,2827,2856,3146,3493,3884,4370,5776,6081,7122,8215,9631,12801,14769,17531,20916,23699,26102,28994,32342,36176,42705,45463,43415,46682,44513,43948,42206
