GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "16000","Idaho",7,SAGDP6S,1,"...","All industry total","Thousands of dollars",108540,114422,126741,129280,136971,150720,167742,188768,208371,235928,264671,291627,335331,414896,435462,463486,528830,529961,554356,580578,718329,767255,800884,869878,955007,1018824,1102917,1180989,1303625,1408063,1492448,1766427,1794200,1868667,2055729
 "16000","Idaho",7,SAGDP6S,2,"..."," Private industries","Thousands of dollars",108360,114228,126534,129076,136754,150479,167492,188482,208066,235592,264308,291224,334865,414382,434859,462812,528119,529309,553645,579314,716450,765349,799426,868747,953793,1016810,1100705,1178591,1301790,1405725,1490048,1763481,1791450,1865421,2051347
 "16000","Idaho",7,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",17626,17269,21531,18917,22524,22860,27417,29491,28703,31326,30871,44366,36816,42285,40346,40550,35884,34932,35022,40726,44016,41008,42629,41677,43265,44070,49194,51868,53771,54215,57985,67699,69232,74685,78839
 "16000","Idaho",7,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",17369,17050,21531,18917,22450,22664,27202,29132,28170,30769,30012,43504,35716,41083,38247,38395,33505,32579,32625,38167,41160,37857,39103,37897,38643,39134,44084,45986,47020,46555,48585,56489,57903,61673,64786
 "16000","Idaho",7,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",258,219,0,0,74,196,215,358,532,557,859,861,1100,1202,2099,2155,2379,2353,2397,2559,2856,3151,3526,3780,4623,4936,5110,5882,6751,7660,9400,11209,11329,13012,14052
 "16000","Idaho",7,SAGDP6S,6,"B","   Mining","Thousands of dollars",383,278,76,82,206,326,290,390,703,667,911,1079,984,897,4091,4971,6506,8815,11351,10896,10818,13986,15326,13189,11657,13694,15009,15309,13876,12433,10981,14214,16412,19492,21190
 "16000","Idaho",7,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",319,210,0,0,114,181,183,255,559,536,723,811,707,608,2913,3429,4790,6749,8563,8695,8808,11874,13242,11443,9818,11463,12827,12831,11078,9436,7681,10599,12830,15363,16466
 "16000","Idaho",7,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,8,25,12,4,5,0,0,0
 "16000","Idaho",7,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",5,5,3,1,0,0,1,1,1,1,8,23,36,34,489,635,510,661,1193,970,574,489,467,388,211,315,145,167,54,20,66,45,154,259,426
 "16000","Idaho",7,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",59,63,73,81,91,145,107,134,143,130,180,244,242,255,689,908,1205,1404,1594,1230,1436,1623,1618,1358,1618,1901,2037,2303,2718,2964,3230,3566,3428,3870,4298
 "16000","Idaho",7,SAGDP6S,11,"C","   Construction","Thousands of dollars",989,1049,1352,1257,1264,1334,1540,1895,2272,2936,3139,3717,4500,5418,5056,5218,5255,4699,4357,3762,4256,4549,4647,5039,5091,5143,6542,8363,9673,11884,13558,16116,15343,16381,17767
 "16000","Idaho",7,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",5710,6469,6943,7543,7862,8519,9079,10757,12164,13284,13427,14707,17704,18029,17890,17954,21593,20877,21243,21019,21077,24029,26257,29654,34769,38231,44714,49804,53917,60082,65398,77146,79817,83349,92107
 "16000","Idaho",7,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",2210,2349,2517,2745,3197,3490,3718,4444,4983,5356,5419,6005,7114,7380,8574,8717,10570,10216,10278,8984,9210,10072,10912,12412,15054,17015,19957,22304,23578,26635,30713,39324,44777,46256,50029
 "16000","Idaho",7,SAGDP6S,14,"24","       Lumber and wood products","Thousands of dollars",792,771,748,810,876,1063,1122,1565,1685,1952,2123,2690,2601,3085,3865,3853,4880,4402,4380,3912,3985,4322,4547,4978,5686,5941,7048,7465,8131,9234,9803,11703,11762,11794,12032
 "16000","Idaho",7,SAGDP6S,15,"25","       Furniture and fixtures","Thousands of dollars",17,17,16,15,15,19,25,32,40,48,50,52,63,53,93,97,100,75,76,74,90,102,107,117,131,136,149,177,204,230,252,406,512,569,675
 "16000","Idaho",7,SAGDP6S,16,"32","       Stone, clay, and glass products","Thousands of dollars",116,111,144,164,182,196,219,282,284,330,496,548,1156,746,817,771,838,771,756,666,714,746,758,870,966,953,1052,1262,1372,1513,1670,2020,2051,2141,2423
 "16000","Idaho",7,SAGDP6S,17,"33","       Primary metal industries","Thousands of dollars",852,926,1109,1150,1442,1488,1512,1666,1757,1752,1365,1222,1446,1235,689,794,976,1079,1073,421,210,211,206,213,251,282,419,481,390,324,388,452,511,554,560
 "16000","Idaho",7,SAGDP6S,18,"34","       Fabricated metal products","Thousands of dollars",220,233,155,305,327,383,439,462,628,675,621,611,885,1169,1478,1550,1809,2062,2012,1709,1626,1614,1765,1998,2406,2750,2932,3229,2129,1682,1850,2455,2673,2893,3225
 "16000","Idaho",7,SAGDP6S,19,"35","       Industrial machinery and equipment","Thousands of dollars",34,40,23,21,32,32,28,46,70,44,72,113,196,199,654,687,916,948,1034,1243,1411,1533,1855,2124,2728,2944,3500,4207,4793,5905,7042,8520,8901,10579,11241
 "16000","Idaho",7,SAGDP6S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",14,28,21,12,11,16,28,31,46,78,132,185,218,246,352,335,397,431,484,546,830,1167,1191,1483,2043,3027,3839,4334,5182,6188,7941,11589,15523,14741,16534
 "16000","Idaho",7,SAGDP6S,21,"371","       Motor vehicles and equipment","Thousands of dollars",68,117,202,162,165,147,154,154,120,49,82,151,188,176,206,226,298,162,191,167,75,72,116,183,235,266,308,357,431,455,501,588,781,897,986
 "16000","Idaho",7,SAGDP6S,22,"372-379","       Other transportation equipment","Thousands of dollars",15,24,39,55,74,86,114,150,223,282,274,207,57,84,142,116,75,62,71,80,90,97,111,126,165,203,218,251,276,305,367,500,726,733,791
 "16000","Idaho",7,SAGDP6S,23,"38","       Instruments and related products 2/","Thousands of dollars",5,6,4,3,3,3,5,6,9,10,8,9,11,15,44,39,41,41,40,42,37,40,49,56,108,123,133,161,192,221,241,298,331,364,497
 "16000","Idaho",7,SAGDP6S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",76,77,57,47,69,58,72,50,122,137,195,217,294,372,233,250,241,182,161,123,140,167,208,262,335,390,359,381,478,578,658,792,1006,991,1065
 "16000","Idaho",7,SAGDP6S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",3499,4119,4426,4798,4666,5028,5362,6313,7180,7928,8009,8702,10590,10649,9317,9236,11023,10661,10965,12036,11867,13957,15344,17242,19716,21216,24758,27500,30339,33447,34685,37823,35040,37093,42078
 "16000","Idaho",7,SAGDP6S,26,"20","       Food and kindred products","Thousands of dollars",2504,3132,3403,3754,3537,3920,4239,5001,5758,6543,6322,6729,7539,7157,6478,6417,7517,7164,7482,8219,7948,8294,8579,9100,10308,11098,13425,14724,15649,16944,17799,18973,19800,21132,24928
 "16000","Idaho",7,SAGDP6S,27,"21","       Tobacco products","Thousands of dollars",3,3,4,4,3,3,0,0,9,9,0,9,5,4,14,13,12,10,9,9,8,6,6,7,0,5,4,6,5,4,4,4,4,4,6
 "16000","Idaho",7,SAGDP6S,28,"22","       Textile mill products","Thousands of dollars",0,0,0,0,0,0,1,31,53,32,38,44,56,61,68,65,84,49,21,24,14,12,13,10,11,14,44,70,62,50,32,28,32,34,40
 "16000","Idaho",7,SAGDP6S,29,"23","       Apparel and other textile products","Thousands of dollars",9,9,12,10,9,9,11,13,15,46,47,47,52,58,53,50,58,54,47,44,34,32,42,56,66,68,71,78,85,92,100,119,109,97,119
 "16000","Idaho",7,SAGDP6S,30,"26","       Paper and allied products","Thousands of dollars",325,394,447,526,663,626,586,624,652,631,550,515,588,616,645,631,852,939,947,1073,1170,1385,1670,2098,2511,2643,3083,3873,4609,5021,5032,5190,5131,5481,5794
 "16000","Idaho",7,SAGDP6S,31,"27","       Printing and publishing","Thousands of dollars",100,99,108,117,89,110,130,128,157,151,196,244,166,229,441,453,560,568,609,647,774,924,1087,1335,1629,1823,1964,2099,2366,2639,2784,3238,3238,3369,3635
 "16000","Idaho",7,SAGDP6S,32,"28","       Chemicals and allied products","Thousands of dollars",551,476,446,383,360,355,386,509,528,468,769,1007,2079,2328,1407,1396,1687,1650,1622,1718,1701,3091,3648,4223,4764,5225,5792,6200,7071,7976,8124,9202,5611,5788,6190
 "16000","Idaho",7,SAGDP6S,33,"29","       Petroleum and coal products","Thousands of dollars",6,5,6,4,2,3,4,3,4,5,7,15,4,60,64,74,90,72,77,128,40,13,1,54,26,57,123,108,68,211,260,363,379,387,457
 "16000","Idaho",7,SAGDP6S,34,"30","       Rubber and miscellaneous plastics products","Thousands of dollars",0,0,1,1,2,3,3,4,4,41,78,89,98,134,140,132,154,145,140,162,162,181,277,329,360,238,203,285,359,433,467,607,674,733,833
 "16000","Idaho",7,SAGDP6S,35,"31","       Leather and leather products","Thousands of dollars",1,1,0,0,0,1,1,1,1,2,2,3,3,2,7,7,8,9,11,12,15,17,22,31,42,45,49,58,66,76,84,99,62,69,76
 "16000","Idaho",7,SAGDP6S,36,"E","   Transportation and public utilities","Thousands of dollars",11027,11381,12182,12757,13926,14368,15888,17487,20034,22662,24389,26629,29420,32693,36880,37067,44185,42984,45030,46306,50374,51090,58022,62009,65991,69573,75155,79812,90996,108100,119259,142612,150895,141566,163307
 "16000","Idaho",7,SAGDP6S,37,"...","     Transportation","Thousands of dollars",3923,3852,4039,4200,4158,3966,4444,4892,5355,6384,6858,7627,7513,8424,7836,8301,9665,9752,9334,9319,10255,10448,14171,16233,14462,16185,16729,18353,22489,22431,23790,31516,32790,25384,36424
 "16000","Idaho",7,SAGDP6S,38,"40","       Railroad transportation","Thousands of dollars",1722,1628,1744,1821,1761,1581,1787,1887,1927,2079,2123,2425,2513,2640,2531,2568,2626,2549,2842,2515,2876,2989,5128,5175,3194,3525,3478,3563,4239,3986,3724,4855,5662,5441,5745
 "16000","Idaho",7,SAGDP6S,39,"41","       Local and interurban passenger transit","Thousands of dollars",190,187,179,175,191,187,176,212,246,279,255,235,237,233,264,256,317,304,337,399,354,339,372,436,451,479,506,528,554,583,607,758,752,796,976
 "16000","Idaho",7,SAGDP6S,40,"42","       Trucking and warehousing","Thousands of dollars",1439,1501,1563,1605,1545,1383,1540,1718,1879,2105,2157,2178,2141,2457,2438,2559,3007,2789,2806,2943,2878,2949,3459,4186,4749,4816,5063,5871,6331,6673,6936,9283,9669,9908,12283
 "16000","Idaho",7,SAGDP6S,41,"44","       Water transportation","Thousands of dollars",19,19,17,15,21,26,27,30,38,49,59,57,73,72,77,74,100,89,102,96,105,122,124,164,212,246,292,350,403,375,352,407,282,307,318
 "16000","Idaho",7,SAGDP6S,42,"45","       Transportation by air","Thousands of dollars",398,360,399,457,502,640,757,874,1063,1655,2042,2451,2254,2709,2177,2557,3242,3639,2792,2871,3532,3467,4457,5600,5122,6355,6489,7037,9909,9611,10736,14439,14452,6943,15069
 "16000","Idaho",7,SAGDP6S,43,"46","       Pipelines, except natural gas","Thousands of dollars",108,113,111,107,111,122,127,140,159,170,170,160,175,208,227,175,208,200,243,251,258,276,275,276,306,305,428,479,499,601,784,934,1044,993,1032
 "16000","Idaho",7,SAGDP6S,44,"47","       Transportation services","Thousands of dollars",46,43,27,20,27,27,28,32,42,47,52,122,120,106,122,113,165,183,212,244,251,306,355,397,427,459,474,526,553,602,651,840,929,997,1000
 "16000","Idaho",7,SAGDP6S,45,"48","     Communications","Thousands of dollars",3618,3734,3900,3826,4899,5323,6024,6747,7999,9206,9922,10899,12053,13272,15474,15365,17244,15507,16620,14990,18307,16196,17232,17480,18421,19823,21280,21768,23068,26507,28814,31259,31911,30498,32794
 "16000","Idaho",7,SAGDP6S,46,"49","     Electric, gas, and sanitary services","Thousands of dollars",3487,3796,4243,4731,4868,5080,5419,5847,6680,7072,7609,8102,9854,10997,13570,13401,17276,17725,19076,21997,21812,24446,26619,28296,33108,33565,37146,39692,45439,59161,66655,79837,86194,85683,94089
 "16000","Idaho",7,SAGDP6S,47,"F","   Wholesale trade","Thousands of dollars",27980,29443,32104,33953,34429,38884,41637,46021,50082,54311,61099,61851,88094,89652,96807,103003,118024,115850,121158,130617,184970,193061,195704,202020,212090,248914,253929,265612,315764,338919,367227,461605,440084,478125,548845
 "16000","Idaho",7,SAGDP6S,48,"G","   Retail trade","Thousands of dollars",19420,21381,22676,24146,26270,30668,34750,38672,43629,50378,57474,66532,66692,77857,87002,98727,110301,111338,120313,121527,175786,195208,196098,228383,253490,260135,276628,301430,327947,354425,367423,432662,430649,451107,479015
 "16000","Idaho",7,SAGDP6S,49,"H","   Finance, insurance, and real estate","Thousands of dollars",20424,21599,23666,24822,24661,27090,29732,35386,40924,49251,60567,58234,74445,128720,125565,131789,158491,160034,162672,169432,179449,192002,209727,226625,259178,260912,299187,318209,340627,362424,380264,421846,450783,463257,497576
 "16000","Idaho",7,SAGDP6S,50,"60","     Depository institutions 3/","Thousands of dollars",317,273,195,223,147,369,545,1099,1262,1504,1304,1715,1931,2245,2687,2963,3007,2966,2839,2801,3183,3960,4206,4694,7955,8422,9120,10145,11167,11609,11932,14748,15289,17591,19248
 "16000","Idaho",7,SAGDP6S,51,"61","     Nondepository institutions 3/","Thousands of dollars",1838,1733,1691,1710,1790,2570,2328,2125,2285,2811,3618,3661,3020,3226,2896,3094,2942,2784,2478,2199,2057,2448,2916,3515,2533,2628,3011,3633,3733,3800,4547,6545,6759,8101,10526
 "16000","Idaho",7,SAGDP6S,52,"62","     Security and commodity brokers","Thousands of dollars",34,38,59,70,94,99,64,4,51,53,58,55,111,113,192,214,223,273,290,333,416,422,449,530,620,629,714,917,1091,1055,1356,1870,1930,1985,2395
 "16000","Idaho",7,SAGDP6S,53,"63","     Insurance carriers","Thousands of dollars",3162,3704,3846,4145,4160,4849,6283,6152,7744,8450,9247,9558,10028,11962,14252,16017,17164,19817,19441,20832,27469,21648,24492,28698,37322,27826,38662,40359,43749,51152,45898,54220,60779,57787,55359
 "16000","Idaho",7,SAGDP6S,54,"64","     Insurance agents, brokers, and services","Thousands of dollars",771,751,838,872,910,1117,1124,1155,1278,1449,1308,1357,1897,2171,1409,1589,1346,1271,1019,879,1045,953,902,976,1090,977,963,1140,1346,1321,1412,1828,1613,1627,1827
 "16000","Idaho",7,SAGDP6S,55,"65","     Real estate","Thousands of dollars",14069,14897,16898,17643,17440,17989,19244,24708,28111,34749,44771,41774,57323,108919,104018,107776,133623,132559,135994,142026,144889,162035,175898,187382,208566,219053,245167,260257,277734,291987,313494,340539,362283,375177,407201
 "16000","Idaho",7,SAGDP6S,56,"67","     Holding and other investment offices","Thousands of dollars",232,204,138,159,119,96,143,143,194,236,262,113,135,84,110,137,185,365,611,362,390,536,863,829,1092,1376,1551,1759,1808,1500,1625,2096,2129,989,1020
 "16000","Idaho",7,SAGDP6S,57,"I","   Services","Thousands of dollars",4801,5359,6004,5599,5613,6430,7158,8384,9555,10776,12431,14110,16209,18833,21223,23533,27880,29781,32500,35030,45704,50418,51016,60151,68262,76138,80347,88185,95219,103243,107953,129580,138235,137458,152700
 "16000","Idaho",7,SAGDP6S,58,"70","     Hotels and other lodging places","Thousands of dollars",743,800,1168,1200,1203,1475,1577,2010,2214,2487,2946,3419,4028,4548,4611,5369,6110,6572,7631,8629,11508,12529,12345,14943,15993,16816,17989,19946,21820,23917,23587,27750,33411,29669,33484
 "16000","Idaho",7,SAGDP6S,59,"72","     Personal services","Thousands of dollars",235,262,285,294,292,350,392,467,545,649,689,715,761,840,966,974,1073,1157,1237,1275,1781,1981,2037,2522,3046,3184,3353,3736,4138,4416,4689,5829,5706,5889,6496
