GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "22000","Louisiana",5,SAGDP6S,1,"...","All industry total","Thousands of dollars",712133,773457,846782,924616,995870,1050386,1236280,1325869,1484044,1626905,1727376,1884068,2066471,2236526,2670922,2999486,3340019,5246418,9540006,7997151,7074072,7289830,7330116,5368749,5355737,5567616,5876532,6030728,6739380,6699242,6713578,7339255,7469826,7875167,8658189
 "22000","Louisiana",5,SAGDP6S,2,"..."," Private industries","Thousands of dollars",711982,773296,846607,924439,995666,1050143,1236027,1325590,1483752,1626580,1727036,1883706,2066077,2236098,2670434,2998944,3339266,5245489,9538885,7994859,7071542,7286700,7326882,5367076,5354731,5564640,5873308,6029302,6737104,6696434,6711752,7337209,7467757,7873459,8657684
 "22000","Louisiana",5,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",10980,10881,8654,9372,11372,13637,11074,13289,14611,14822,15582,20864,16921,21393,20769,22939,19203,19613,22204,26346,27699,28557,31033,29829,30206,28682,28669,31319,32561,34209,33434,38547,42533,48798,48320
 "22000","Louisiana",5,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",10007,10214,8654,9372,11176,13093,10490,12335,13132,13423,13438,18757,14365,18395,15585,17360,13047,12973,13522,17551,18071,17225,18498,18747,18375,16216,15759,17619,16445,18001,18672,20476,22072,22231,23446
 "22000","Louisiana",5,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",973,667,0,0,196,544,584,953,1478,1400,2144,2106,2556,2998,5184,5579,6156,6640,8682,8795,9628,11332,12536,11083,11831,12466,12910,13700,16116,16208,14762,18071,20461,26568,24874
 "22000","Louisiana",5,SAGDP6S,6,"B","   Mining","Thousands of dollars",138765,152478,168994,185919,197896,130011,242278,257756,287382,303470,282075,332158,319607,319405,557317,610136,699583,2527017,6462542,4727713,3604850,3233487,2747339,858532,707322,720423,737632,794234,868577,801533,689481,705435,702403,800768,866146
 "22000","Louisiana",5,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,15,65,43,36,33,60,72,94,253,244,290,393,503,741,941,923,840,903,927,1310,1974,2440,3333,4076,3898,3851
 "22000","Louisiana",5,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,33,81,107,384,931,1156,1369,1541,1805,1774,2093,2312,2529,2666,2954,3508
 "22000","Louisiana",5,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",136150,149242,164928,181029,191833,123197,236354,251994,281556,298531,276416,325396,313474,311801,547260,599721,687897,2514943,6449453,4716569,3593058,3220411,2733589,845776,694080,707820,726329,782777,855648,788169,675596,689106,684497,781156,845526
 "22000","Louisiana",5,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",2615,3237,4066,4890,6064,6815,5923,5762,5826,4923,5594,6717,6097,7571,9997,10343,11591,11819,12842,10822,11318,12467,12625,10884,11163,10394,8859,8725,9845,9297,9134,10466,11164,12760,13262
 "22000","Louisiana",5,SAGDP6S,11,"C","   Construction","Thousands of dollars",2998,3431,4231,5238,5781,6511,6269,6797,8105,9576,9282,10740,12166,15589,16792,17706,18600,20354,20864,20489,23005,24202,23333,19992,18651,20707,23285,23287,28059,30106,30257,33699,34546,37745,38176
 "22000","Louisiana",5,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",38862,40748,43716,47259,51232,58422,62222,68013,71862,77833,78290,81926,98728,105549,109472,115335,127294,144149,170012,190334,189177,206350,219649,209176,266174,291512,298730,350957,412500,417539,418204,445191,424976,372177,378845
 "22000","Louisiana",5,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",6757,7105,7077,7695,8819,9605,10374,10792,11785,12201,12613,14819,18109,20449,22256,23209,26443,30489,33878,35456,31200,34897,40105,38522,41025,46331,51912,53365,59419,59079,56495,62123,66126,71041,73446
