GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "34000","New Jersey",2,SAGDP6S,1,"...","All industry total","Thousands of dollars",2071576,2220294,2316959,2428954,2667876,2975533,3179635,3661407,4089657,4369381,4637466,5043434,5526556,5771561,6161950,6408874,6928248,7347087,7909175,8494777,9879584,10705330,11531798,12454555,13864516,14923780,16550114,17723279,21314864,22570532,22807757,24391133,24574416,25449779,25729415
 "34000","New Jersey",2,SAGDP6S,2,"..."," Private industries","Thousands of dollars",2071418,2220120,2316771,2428768,2667676,2975302,3179384,3661125,4089356,4369045,4637077,5043037,5526143,5771125,6161438,6408322,6927628,7346408,7908467,8493335,9877607,10703283,11529934,12453242,13863154,14921419,16548250,17721526,21313666,22569619,22807201,24390596,24573959,25449374,25728970
 "34000","New Jersey",2,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",14400,14810,13349,13782,14403,15771,15704,16358,16404,14844,14617,17063,16553,20555,26603,26767,21846,30473,34567,35337,39848,40091,43539,46153,51479,56398,60789,67857,72262,70228,73097,79860,82879,90423,91108
 "34000","New Jersey",2,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",12634,13560,13349,13782,14044,14751,14633,14736,13951,12483,11080,13932,12895,16532,18507,18345,12234,19380,22096,21103,21582,19708,19350,18525,19795,20403,22005,24797,26507,25635,25143,26428,25608,25637,26841
 "34000","New Jersey",2,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",1766,1250,0,0,360,1020,1071,1622,2454,2360,3537,3131,3658,4023,8097,8421,9611,11093,12471,14234,18267,20383,24189,27628,31685,35995,38784,43060,45755,44593,47953,53431,57270,64785,64267
 "34000","New Jersey",2,SAGDP6S,6,"B","   Mining","Thousands of dollars",1072,974,882,859,892,1077,1318,1591,1929,1892,2323,2450,1683,1834,3252,3277,3368,3701,4669,4168,3654,4068,4144,4294,4808,5247,6304,6590,6197,6150,6206,7104,7398,7870,8890
 "34000","New Jersey",2,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",207,107,0,0,28,43,32,47,107,156,154,209,186,198,757,674,549,571,502,714,469,651,539,403,339,308,140,70,48,95,95,61,42,19,16
 "34000","New Jersey",2,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,11,101,157,183,70,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "34000","New Jersey",2,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",13,12,10,8,6,15,27,41,65,88,80,87,66,50,154,205,255,684,1461,759,730,759,735,762,814,546,477,593,279,101,133,165,212,335,779
 "34000","New Jersey",2,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",853,855,872,852,857,1020,1259,1503,1757,1648,2089,2154,1431,1575,2240,2241,2381,2375,2683,2674,2456,2658,2870,3128,3655,4394,5688,5927,5870,5954,5978,6879,7144,7516,8095
