GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "32000","Nevada",8,SAGDP6S,1,"...","All industry total","Thousands of dollars",210547,226165,241827,229381,242969,273535,320010,355276,398823,411151,455687,512240,545720,593696,683247,756324,868659,848186,1016337,1082857,1214018,1368162,1461745,1593499,1744346,1981464,2162975,2544062,2813207,3077248,3602809,4055614,4325425,4500411,5002720
 "32000","Nevada",8,SAGDP6S,2,"..."," Private industries","Thousands of dollars",210547,226165,241827,229380,242969,273535,320010,355276,398823,411151,455687,512240,545720,593696,683247,756324,868659,848186,1016337,1082857,1214017,1368161,1461745,1593499,1744346,1981464,2162975,2544061,2813206,3077247,3602808,4055613,4325424,4500408,5002705
 "32000","Nevada",8,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",2659,2309,2316,2752,3018,3498,4624,4773,4997,5233,4793,3890,4260,5507,5083,5330,4982,6313,5943,6543,6721,6301,6154,5869,6114,6599,7811,8435,9102,9017,9179,10568,11251,11924,12958
 "32000","Nevada",8,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",2577,2249,2316,2752,3004,3456,4580,4701,4876,5097,4573,3684,3995,5213,4361,4601,4145,5474,5036,5677,5732,5149,4910,4432,4534,4795,5478,5832,6171,5806,5895,6679,6643,6742,6859
 "32000","Nevada",8,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",83,60,0,0,14,42,44,72,120,136,220,206,265,294,722,729,837,840,907,866,989,1151,1245,1437,1580,1805,2333,2603,2931,3212,3284,3889,4608,5182,6099
 "32000","Nevada",8,SAGDP6S,6,"B","   Mining","Thousands of dollars",560,440,170,186,396,685,797,1031,1669,2104,2087,2078,1767,1756,6406,6679,8436,9011,14603,12004,12515,18499,21152,25088,31680,49935,46434,77452,81568,81432,87090,120481,121491,143395,136240
 "32000","Nevada",8,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",418,290,0,0,190,418,452,677,1228,1653,1476,1445,1123,859,3758,3236,3211,4099,7768,7166,9145,14193,16543,21989,28680,46807,43496,73722,77771,76872,81488,112630,113646,134263,127744
 "32000","Nevada",8,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,36,61,81,0,0,0,0,4,16,12,3,0
 "32000","Nevada",8,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",20,22,29,38,46,61,75,75,77,88,130,165,197,244,1562,2291,3824,3578,4570,3137,2015,2781,3078,1884,1794,1958,1705,2282,2183,2382,2813,3373,2699,2263,2558
 "32000","Nevada",8,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",122,129,141,148,159,205,270,279,364,364,481,469,448,654,1085,1152,1401,1334,2265,1701,1354,1524,1491,1179,1145,1090,1233,1448,1613,2178,2786,4462,5135,6866,5938
