GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "00000","United States", ,SAGDP6S,1,"...","All industry total","Thousands of dollars",53386000,57269000,60710000,63213000,67937000,76406000,83853000,91413000,100493000,107929000,117221000,124902000,135292000,146385000,159664000,170898000,180101000,200331000,235646000,240935000,263283000,289775000,308133000,323375000,347545000,374460000,398868000,424990000,457088000,483379000,503125000,545252000,557904000,580755000,611614000
 "00000","United States", ,SAGDP6S,2,"..."," Private industries","Thousands of dollars",53376000,57258000,60698000,63201000,67924000,76391000,83837000,91395000,100474000,107908000,117198000,124878000,135266000,146357000,159633000,170863000,180064000,200291000,235604000,240852000,263187000,289666000,308034000,323306000,347470000,374324000,398719000,424824000,456951000,483231000,502972000,545087000,557728000,580567000,611366000
 "00000","United States", ,SAGDP6S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",1287000,1323000,1322000,1412000,1504000,1631000,1725000,1835000,1920000,1991000,2077000,2235000,2377000,2627000,2851000,2861000,3212000,3255000,3596000,3384000,3612000,3482000,3628000,3621000,3981511,4104031,4405118,4774545,4942825,5282329,5041207,5513402,5738019,5901097,6122453
 "00000","United States", ,SAGDP6S,4,"[01-02]","     Farms","Thousands of dollars",1240000,1287000,1322000,1412000,1493000,1602000,1693000,1787000,1849000,1920000,1970000,2130000,2247000,2480000,2576000,2569000,2824000,2815000,3103000,2880000,3081000,2951000,3053000,3005000,3283511,3328031,3507118,3771545,3845825,4066329,3781207,4048402,4214019,4245097,4435453
 "00000","United States", ,SAGDP6S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",47000,36000,0,0,11000,29000,32000,48000,71000,71000,107000,105000,130000,147000,275000,292000,388000,440000,493000,504000,531000,531000,575000,616000,698000,776000,898000,1003000,1097000,1216000,1260000,1465000,1524000,1656000,1687000
 "00000","United States", ,SAGDP6S,6,"B","   Mining","Thousands of dollars",1171000,1182000,1175000,1220000,1263000,1377000,1478000,1575000,1731000,1857000,1940000,2527000,2659000,2963000,4462000,5015000,6009000,16700000,34824000,27337000,20770000,20021000,17102000,10265000,9170000,9435000,9968000,11249000,11243000,11110000,10741000,11120000,10853000,11792000,12949000
 "00000","United States", ,SAGDP6S,7,"10","     Metal mining","Thousands of dollars",46000,31000,0,0,18000,31000,28000,40000,70000,60000,90000,88000,73000,92000,233000,257000,300000,335000,382000,410000,380000,412000,429000,369000,375000,419000,439000,494000,515000,532000,528000,610000,618000,674000,650000
 "00000","United States", ,SAGDP6S,8,"12","     Coal mining","Thousands of dollars",38000,27000,0,0,11000,32000,33000,43000,61000,36000,88000,91000,111000,148000,370000,549000,747000,839000,907000,1335000,1266000,1397000,1498000,1441000,1490000,1583000,1630000,1729000,1654000,1699000,1590000,1742000,1694000,1794000,1813000
 "00000","United States", ,SAGDP6S,9,"13","     Oil and gas extraction","Thousands of dollars",1032000,1065000,1110000,1151000,1158000,1233000,1329000,1399000,1493000,1647000,1636000,2205000,2319000,2534000,3659000,3994000,4720000,15257000,33215000,25269000,18799000,17852000,14784000,8073000,6948000,7071000,7514000,8609000,8641000,8444000,8200000,8302000,8056000,8802000,9935000
 "00000","United States", ,SAGDP6S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",55000,59000,65000,69000,76000,81000,88000,93000,107000,114000,126000,143000,156000,189000,200000,215000,242000,269000,320000,323000,325000,360000,391000,382000,357000,362000,385000,417000,433000,435000,423000,466000,485000,522000,551000
 "00000","United States", ,SAGDP6S,11,"C","   Construction","Thousands of dollars",317000,330000,361000,381000,399000,456000,524000,613000,753000,894000,911000,926000,925000,1012000,1054000,1116000,1143000,1132000,1160000,1196000,1392000,1520000,1628000,1802000,1897000,2062000,2217000,2264000,2323000,2512000,2691000,3053000,3149000,3400000,3653000
 "00000","United States", ,SAGDP6S,12,"D","   Manufacturing","Thousands of dollars",10473000,11124000,11503000,11111000,11195000,12647000,13437000,13841000,14286000,13533000,14139000,14226000,14339000,15024000,15812000,16256000,16461000,16321000,17278000,17847000,20247000,20170000,20872000,22250000,23410489,24615969,25987882,28018455,32883175,34823671,35363793,36951598,37617981,38329903,39236547
 "00000","United States", ,SAGDP6S,13,"...","     Durable goods manufacturing","Thousands of dollars",3872000,4111000,3914000,3356000,3430000,4235000,4543000,4537000,4615000,3149000,3476000,3658000,3643000,3978000,4445000,4654000,4860000,4733000,5083000,5427000,4949000,5503000,6117000,6796000,7150000,7640000,8324000,8968000,9825000,10499000,10653000,11543000,11822000,12609000,13353000
 "00000","United States", ,SAGDP6S,14,"24","       Lumber and wood products","Thousands of dollars",63000,62000,57000,60000,68000,74000,85000,99000,117000,125000,139000,170000,158000,168000,198000,201000,206000,210000,220000,231000,246000,272000,287000,310000,328000,349000,376000,396000,419000,441000,456000,506000,522000,552000,575000
 "00000","United States", ,SAGDP6S,15,"25","       Furniture and fixtures","Thousands of dollars",27000,29000,29000,30000,32000,32000,36000,39000,43000,46000,49000,52000,52000,55000,58000,58000,58000,60000,64000,71000,78000,88000,98000,110000,120000,132000,146000,157000,169000,182000,186000,203000,210000,225000,238000
 "00000","United States", ,SAGDP6S,16,"32","       Stone, clay, and glass products","Thousands of dollars",113000,120000,130000,138000,137000,147000,160000,174000,190000,209000,227000,241000,259000,285000,307000,303000,299000,304000,319000,340000,355000,378000,409000,444000,451000,475000,516000,549000,590000,622000,624000,671000,685000,730000,790000
 "00000","United States", ,SAGDP6S,17,"33","       Primary metal industries","Thousands of dollars",394000,418000,439000,466000,509000,557000,605000,669000,735000,766000,757000,759000,792000,827000,833000,800000,788000,810000,860000,928000,966000,1041000,1091000,1160000,1195000,1266000,1381000,1475000,1611000,1686000,1674000,1790000,1803000,1879000,1941000
 "00000","United States", ,SAGDP6S,18,"34","       Fabricated metal products","Thousands of dollars",151000,159000,164000,173000,185000,232000,251000,277000,300000,332000,349000,371000,391000,427000,451000,457000,473000,495000,542000,588000,597000,653000,721000,777000,835000,910000,988000,1059000,1121000,1216000,1294000,1419000,1405000,1463000,1530000
 "00000","United States", ,SAGDP6S,19,"35","       Industrial machinery and equipment","Thousands of dollars",235000,245000,211000,195000,211000,226000,252000,278000,303000,327000,366000,407000,457000,519000,572000,576000,598000,641000,714000,794000,842000,949000,1052000,1146000,1218000,1308000,1436000,1547000,1690000,1803000,1803000,1929000,1968000,2076000,2231000
 "00000","United States", ,SAGDP6S,20,"36","       Electronic and other electric equipment 2/","Thousands of dollars",392000,412000,262000,149000,168000,177000,200000,228000,259000,286000,316000,345000,372000,410000,413000,413000,429000,470000,525000,608000,677000,808000,927000,1039000,989000,1053000,1161000,1255000,1380000,1490000,1535000,1706000,1845000,2089000,2274000
 "00000","United States", ,SAGDP6S,21,"371","       Motor vehicles and equipment","Thousands of dollars",2279000,2445000,2427000,1947000,1913000,2594000,2737000,2533000,2412000,784000,986000,1009000,832000,910000,1160000,1389000,1538000,1238000,1274000,1232000,489000,512000,615000,783000,801000,808000,850000,931000,1077000,1141000,1158000,1267000,1343000,1455000,1535000
 "00000","United States", ,SAGDP6S,22,"372-379","       Other transportation equipment","Thousands of dollars",117000,115000,121000,140000,144000,128000,140000,152000,161000,168000,165000,166000,175000,196000,219000,215000,225000,241000,264000,300000,331000,381000,436000,497000,534000,577000,639000,693000,755000,813000,802000,840000,824000,853000,892000
 "00000","United States", ,SAGDP6S,23,"38","       Instruments and related products 2/","Thousands of dollars",32000,36000,25000,22000,24000,27000,32000,38000,44000,49000,57000,66000,74000,85000,124000,125000,132000,146000,168000,199000,223000,257000,290000,319000,452000,517000,585000,642000,724000,791000,805000,854000,864000,912000,963000
 "00000","United States", ,SAGDP6S,24,"39","       Miscellaneous manufacturing industries","Thousands of dollars",69000,70000,49000,36000,39000,41000,45000,50000,51000,57000,65000,72000,81000,96000,110000,117000,114000,118000,133000,136000,145000,164000,191000,211000,227000,245000,246000,264000,289000,314000,316000,358000,353000,375000,384000
 "00000","United States", ,SAGDP6S,25,"...","     Nondurable goods manufacturing","Thousands of dollars",6601000,7013000,7589000,7755000,7765000,8412000,8894000,9304000,9671000,10384000,10663000,10568000,10696000,11046000,11367000,11602000,11601000,11588000,12195000,12420000,15298000,14667000,14755000,15454000,16260489,16975969,17663882,19050455,23058175,24324671,24710793,25408598,25795981,25720903,25883547
 "00000","United States", ,SAGDP6S,26,"20","       Food and kindred products","Thousands of dollars",3242000,3624000,3964000,4119000,4123000,4414000,4736000,4954000,5243000,5447000,5396000,5334000,5402000,5288000,5484000,5633000,5634000,5677000,5832000,5715000,5860000,5555000,5510000,5932000,6048489,6164969,6374882,6637455,8792175,9170671,9040793,8722598,9317981,9442903,9269547
 "00000","United States", ,SAGDP6S,27,"21","       Tobacco products","Thousands of dollars",2151000,2101000,2131000,2131000,2144000,2164000,2122000,2209000,2189000,2266000,2435000,2382000,2411000,2529000,2413000,2501000,2506000,2526000,2604000,2550000,5059000,4716000,4559000,4686000,4696000,4545000,4396000,4337000,5132000,5494000,5853000,5974000,6062000,5971000,6020000
 "00000","United States", ,SAGDP6S,28,"22","       Textile mill products","Thousands of dollars",93000,100000,108000,120000,128000,137000,153000,169000,190000,209000,212000,211000,209000,213000,211000,202000,195000,199000,212000,232000,249000,275000,295000,322000,341000,365000,399000,429000,467000,491000,498000,540000,549000,568000,589000
 "00000","United States", ,SAGDP6S,29,"23","       Apparel and other textile products","Thousands of dollars",30000,31000,33000,35000,39000,39000,46000,51000,57000,67000,73000,76000,79000,84000,84000,82000,82000,84000,88000,94000,102000,114000,121000,132000,140000,149000,162000,172000,187000,202000,205000,219000,222000,228000,235000
 "00000","United States", ,SAGDP6S,30,"26","       Paper and allied products","Thousands of dollars",134000,142000,155000,167000,185000,201000,219000,245000,269000,285000,292000,303000,330000,362000,384000,378000,380000,406000,438000,484000,527000,588000,648000,726000,776000,852000,978000,1106000,1238000,1323000,1329000,1417000,1446000,1515000,1569000
