GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "56000","Wyoming",7,SAGDP7N,1,"...","All industry total","Thousands of dollars",6273127,5977972,6312016,7028346,7918039,7809796,9065568,10345867,13222201,16010906,18463436,22826445,17478507,18614652,19614591,18004944,17809599,18271502,16516120,15164898,15976363,17122283,16978835,15469645
 "56000","Wyoming",7,SAGDP7N,2,"..."," Private industries","Thousands of dollars",5861814,5543740,5850109,6550722,7420628,7285877,8522264,9777143,12637241,15393313,17768419,22081737,16713838,17839759,18828214,17139144,16926701,17390218,15663817,14321873,15018129,16149356,15974368,14451216
 "56000","Wyoming",7,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",330324,226310,292510,263476,317613,211898,327812,330055,378066,292035,190091,290498,265090,368145,629567,359591,496085,611322,517123,419819,(D),437419,483584,(D)
 "56000","Wyoming",7,SAGDP7N,4,"111-112","   Farms","Thousands of dollars",306664,204321,268435,239206,291424,184785,290128,306388,356863,246730,159317,270563,221909,306937,589634,335869,468259,582071,490917,389851,375991,415930,467258,632856
 "56000","Wyoming",7,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",23661,21988,24075,24270,26189,27113,37685,23667,21203,45305,30774,19935,43181,61209,39933,23722,27825,29251,26206,29968,(D),21489,16326,(D)
 "56000","Wyoming",7,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",1493823,1062832,1133522,1539375,1901175,1846283,2596016,3373004,5475330,7464354,8501913,11626153,7845006,8323274,8505404,5685061,5604870,5561829,2959609,2441297,3061016,3095589,2594541,1749556
 "56000","Wyoming",7,SAGDP7N,7,"211","   Oil and gas extraction","Thousands of dollars",773007,216422,268649,599315,757682,765841,1380227,2155923,3795154,4697984,4916925,7900290,4193357,4134338,3611201,2012229,2251498,2682746,850427,581889,1120418,1315409,870375,155600
 "56000","Wyoming",7,SAGDP7N,8,"212","   Mining (except oil and gas)","Thousands of dollars",655346,792038,858299,863560,926496,977679,1061018,959607,1255036,1764165,2472461,2511592,3093136,3604510,4167028,3069653,2826126,2224784,1890301,1849600,1798715,1497915,1486976,1586336
 "56000","Wyoming",7,SAGDP7N,9,"213","   Support activities for mining","Thousands of dollars",65471,54372,6574,76500,216997,102763,154771,257474,425140,1002205,1112527,1214271,558513,584426,727176,603179,527246,654299,218881,9808,141883,282264,237190,7620
 "56000","Wyoming",7,SAGDP7N,10,"22","  Utilities","Thousands of dollars",255937,235885,249408,239413,(D),(D),236835,262924,246096,289416,290463,313221,390960,449278,486965,506890,523077,541086,534486,551340,552197,497486,517809,(D)
