GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "21000","Kentucky",5,SAGDP7S,1,"...","All industry total","Thousands of dollars",3340285,3491258,3835492,4123132,4303597,4721040,5054944,5200645,6069892,6540636,7160562,8124023,8830217,10282721,11428641,12687377,13426999,13368371,15450844,15566761,16145001,18990045,20057756,20055735,20825380,24164576,25496934,25302670,26456209,28616700,30549499,32818012,34584673,36909962,40661017
 "21000","Kentucky",5,SAGDP7S,2,"..."," Private industries","Thousands of dollars",3227892,3374005,3710140,3988455,4153483,4533846,4849827,4987877,5817560,6239284,6836829,7736515,8452391,9886931,11021456,12235878,12932024,12835970,14871898,14919117,15465219,18242908,19195527,19107391,19783853,23037048,24238157,24027920,24843734,26665732,28562267,30604736,32167314,34493402,37614500
 "21000","Kentucky",5,SAGDP7S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",426699,361195,442394,472952,484180,500564,571978,547627,593753,713237,810847,865257,776428,886601,983566,1039294,1205506,1133471,1647480,1584818,1071568,1882910,1589918,1403460,1584520,1518847,1809348,1701245,1696769,1972706,1768724,1830289,1347965,1849929,1919545
 "21000","Kentucky",5,SAGDP7S,4,"[01-02]","     Farms","Thousands of dollars",416975,349866,430228,460329,470755,485451,554729,530555,573279,688637,783328,834568,744425,848773,950300,999273,1159074,1081418,1587017,1510066,997149,1796310,1513455,1327599,1454870,1396685,1693577,1576961,1566464,1828577,1638168,1662260,1156095,1650425,1703030
 "21000","Kentucky",5,SAGDP7S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",9724,11329,12166,12623,13425,15113,17249,17072,20474,24599,27519,30690,32003,37827,33265,40021,46431,52053,60462,74752,74419,86600,76463,75861,129649,122162,115771,124284,130305,144129,130556,168029,191870,199505,216515
 "21000","Kentucky",5,SAGDP7S,6,"B","   Mining","Thousands of dollars",109346,134299,138055,142395,133046,123910,130506,290764,278226,272404,359510,1232803,960785,962367,1058013,1027425,936021,865327,1016398,1031303,793335,941854,802180,267963,4947,1045607,879239,804452,1096858,1044365,1065398,1123272,1036197,973633,991729
 "21000","Kentucky",5,SAGDP7S,7,"10","     Metal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3,(D),(D),(D),0,(D),(D),(D),0,0
 "21000","Kentucky",5,SAGDP7S,8,"12","     Coal mining","Thousands of dollars",47589,73769,84338,92027,80835,71398,82675,248324,231412,226049,292866,1134173,855845,855226,965697,930621,832475,702417,837877,834306,639934,781422,607532,144727,-102535,893049,742918,646031,950486,896651,916409,977731,913707,788090,780739
 "21000","Kentucky",5,SAGDP7S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),83316,(D),(D),(D),(D),(D),(D),(D),74518,62110
 "21000","Kentucky",5,SAGDP7S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",19879,22364,18200,19243,17000,15806,15103,14036,19048,21939,34912,27031,23833,21854,30340,33512,34176,36843,25885,21058,28146,49862,49550,55495,69399,69239,55448,50313,56132,(D),69252,99612,87685,111026,148880
