GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "44000","Rhode Island",1,SAGDP7S,1,"...","All industry total","Thousands of dollars",761146,828552,953166,1052962,1032319,1081213,1053139,1006285,1106956,1268853,1311443,1362191,1632574,1654792,1953945,2118270,2348628,2547918,3012343,3228525,3552666,4076621,4798954,5304557,5557634,6348782,6970275,7020715,7280848,7313248,7687109,7961028,8439401,8840694,10096053
 "44000","Rhode Island",1,SAGDP7S,2,"..."," Private industries","Thousands of dollars",712066,782748,902484,1002956,977639,1019274,987989,933345,1038376,1192773,1232452,1290470,1561524,1579425,1879539,2030490,2244457,2425132,2865540,3061602,3388358,3914378,4627914,5128053,5387028,6164432,6779909,6836829,7061693,7066500,7431884,7702448,8142708,8514086,9687234
 "44000","Rhode Island",1,SAGDP7S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",10126,10563,11724,13011,10016,12232,14499,16123,15273,17265,18352,19904,19830,26217,24796,38706,43315,58122,32347,52453,112702,82052,208043,231260,110246,178511,123920,110877,96195,86088,77745,80767,81030,85893,73246
 "44000","Rhode Island",1,SAGDP7S,4,"[01-02]","     Farms","Thousands of dollars",6160,6039,6913,7802,4591,6330,7367,8285,7084,8190,8930,8737,9483,9544,6929,9006,7373,5898,6835,27093,33550,37095,50513,55913,57994,54429,45325,39657,38428,39513,38172,34407,26402,29634,15002
 "44000","Rhode Island",1,SAGDP7S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",3966,4524,4811,5209,5425,5902,7133,7839,8190,9075,9422,11167,10347,16672,17868,29701,35942,52223,25511,25360,79151,44957,157530,175347,52252,124082,78595,71220,57767,46575,39574,46360,54627,56260,58245
 "44000","Rhode Island",1,SAGDP7S,6,"B","   Mining","Thousands of dollars",812,1089,1034,905,1002,1099,1655,1645,1953,1689,2062,3377,2731,2094,1167,3707,4326,3311,2394,2486,2964,5704,2705,3192,3947,2369,422,4360,4178,7297,7424,8362,9293,5077,5410
 "44000","Rhode Island",1,SAGDP7S,7,"10","     Metal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7S,8,"12","     Coal mining","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7S,9,"13","     Oil and gas extraction","Thousands of dollars",0,0,0,0,0,3,0,20,14,-8,-29,-22,-22,-32,501,2201,2487,1761,1529,1888,762,(D),578,(D),(D),496,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAGDP7S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",812,1089,1034,905,1002,1096,1655,1625,1939,1697,2091,3399,2754,2126,666,1505,1839,1551,865,598,2202,(D),2127,(D),(D),1874,(D),(D),(D),(D),(D),(D),(D),(D),(D)
