GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "45000","South Carolina",5,SAGDP7S,1,"...","All industry total","Thousands of dollars",1603292,1806286,2077005,2240829,2301247,2446086,2553921,2684984,3052335,3454950,4073782,4415423,4611266,5171231,5698206,6753226,7349791,7516632,8785846,9078704,10398124,12517060,13340123,14970467,17301677,18892138,19994193,20574961,22087792,23407809,25190079,28336780,30841903,32507124,34521719
 "45000","South Carolina",5,SAGDP7S,2,"..."," Private industries","Thousands of dollars",1474860,1674497,1934039,2081684,2121854,2249375,2341323,2447007,2790086,3158867,3741341,4030723,4179504,4715014,5219070,6213648,6724694,6806821,7981908,8185166,9430362,11504075,12137244,13664691,15805212,17256505,18426580,18831926,20117594,21307971,22992484,26035084,28482960,30034224,31964133
 "45000","South Carolina",5,SAGDP7S,3,"A","   Agriculture, forestry, and fishing","Thousands of dollars",186866,183729,190560,198117,191971,160668,192537,194126,226640,253973,348002,406464,355211,332837,293524,394022,444124,248008,443369,470934,327656,570467,482377,384897,546034,624612,646151,543310,639097,607114,522675,754774,642552,834542,814184
 "45000","South Carolina",5,SAGDP7S,4,"[01-02]","     Farms","Thousands of dollars",177626,172835,178363,184702,177659,144335,175772,176890,204455,228578,322471,377825,327004,299539,263559,358786,402487,200519,395363,421248,276963,512261,423498,312477,449773,529459,553541,439643,536832,503920,442707,631072,496271,678131,644020
 "45000","South Carolina",5,SAGDP7S,5,"[07-09]","     Agricultural services, forestry, and fishing","Thousands of dollars",9240,10894,12197,13415,14312,16334,16766,17236,22185,25395,25531,28638,28207,33298,29964,35236,41637,47489,48007,49686,50693,58206,58879,72420,96261,95153,92610,103667,102264,103194,79968,123702,146281,156411,170164
 "45000","South Carolina",5,SAGDP7S,6,"B","   Mining","Thousands of dollars",8898,9973,8212,8457,7272,6749,7099,6258,9870,12656,13671,13792,14104,12050,20662,27565,31945,32301,29735,27628,34290,55847,51391,64841,79916,69024,115800,131228,81861,84748,86016,108014,89732,94455,98860
 "45000","South Carolina",5,SAGDP7S,7,"10","     Metal mining","Thousands of dollars",-11,-26,-28,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),42432,45841,(D),(D)
 "45000","South Carolina",5,SAGDP7S,8,"12","     Coal mining","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-2,-2,-2,-2
 "45000","South Carolina",5,SAGDP7S,9,"13","     Oil and gas extraction","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),93,252,540,821,951,2531,2095,1138,987,718,378,629,2346,602,1628,3656
 "45000","South Carolina",5,SAGDP7S,10,"14","     Nonmetallic minerals, except fuels","Thousands of dollars",8910,9999,8240,8457,7272,6573,7072,6248,9869,12657,13669,13767,14123,11968,20506,27538,31924,32239,29403,27531,34004,55110,50052,62793,75332,63964,90924,99691,47470,50406,52283,63238,43291,(D),(D)
