GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,SAGDP8N,1,"...","All industry total","Quantity index",68.348,71.129,74.868,80.855,81.881,81.862,83.313,85.589,87.331,89.302,91.760,93.679,91.940,96.134,98.098,100.000,100.442,101.953,105.677,107.322,109.369,113.555,116.890,112.567,119.775
 "25000","Massachusetts",1,SAGDP8N,2,"..."," Private industries","Quantity index",65.673,68.682,72.637,79.117,80.225,80.172,81.839,84.330,86.170,88.248,90.718,92.640,90.809,95.621,97.277,100.000,100.454,102.089,106.178,108.134,110.272,114.763,118.476,114.077,122.179
 "25000","Massachusetts",1,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting","Quantity index",65.399,56.477,64.859,77.865,82.349,88.811,87.460,86.018,97.838,118.092,98.882,99.441,116.335,126.044,101.400,100.000,83.588,65.709,72.713,70.226,72.681,71.960,75.490,72.948,56.088
 "25000","Massachusetts",1,SAGDP8N,4,"111-112","   Farms","Quantity index",111.556,86.018,95.164,119.874,93.922,114.953,102.204,103.636,113.838,129.203,97.624,118.861,134.576,119.953,95.179,100.000,96.347,72.875,80.235,71.203,76.071,82.247,98.431,105.069,(NA)
 "25000","Massachusetts",1,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities","Quantity index",50.456,47.528,55.851,65.275,80.190,81.478,84.337,81.635,94.482,116.863,101.774,93.586,111.152,129.017,104.323,100.000,77.569,62.228,69.012,68.554,70.266,67.537,67.427,62.499,(NA)
 "25000","Massachusetts",1,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction","Quantity index",155.800,204.473,232.481,248.378,278.184,248.521,237.210,234.266,165.540,160.431,224.848,117.680,128.512,109.594,99.971,100.000,110.965,133.391,169.687,214.531,149.676,139.197,171.950,166.529,145.033
 "25000","Massachusetts",1,SAGDP8N,7,"211","   Oil and gas extraction","Quantity index",15.253,40.094,15.034,6.563,0.000,0.000,100.673,77.386,46.542,36.926,46.533,40.584,78.782,53.839,63.955,100.000,88.653,82.029,226.209,569.193,55.683,28.521,225.508,495.042,(NA)
 "25000","Massachusetts",1,SAGDP8N,8,"212","   Mining (except oil and gas)","Quantity index",173.399,227.808,259.274,276.536,308.498,275.330,251.600,245.934,174.357,172.081,243.493,124.470,133.001,111.909,100.191,100.000,108.822,133.845,171.977,213.638,147.054,137.314,164.166,159.685,(NA)
 "25000","Massachusetts",1,SAGDP8N,9,"213","   Support activities for mining","Quantity index",9.830,10.211,12.324,17.199,28.465,27.285,85.724,110.503,75.657,44.989,39.789,48.525,78.181,92.162,108.138,100.000,147.326,145.399,140.458,189.935,198.214,180.452,271.927,222.100,(NA)
 "25000","Massachusetts",1,SAGDP8N,10,"22","  Utilities","Quantity index",77.550,73.285,85.772,87.389,81.543,73.321,75.087,74.770,73.900,91.657,94.566,113.352,82.054,98.389,100.833,100.000,105.559,101.467,103.665,101.725,117.629,125.318,133.256,138.683,136.272
