GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SAGDP8N,1,"...","All industry total","Quantity index",61.268,65.126,67.656,70.059,71.809,73.430,73.925,78.067,80.312,86.446,90.502,90.213,89.876,92.174,95.245,100.000,104.470,107.630,112.998,113.987,117.101,121.680,125.622,122.034,128.862
 "48000","Texas",6,SAGDP8N,2,"..."," Private industries","Quantity index",59.510,63.730,66.342,68.702,70.474,71.959,72.309,76.958,79.305,85.988,90.238,89.599,88.898,91.263,94.832,100.000,105.020,108.540,114.379,115.114,118.379,123.538,127.914,123.591,131.142
 "48000","Texas",6,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting","Quantity index",103.702,100.523,124.230,129.566,118.876,143.107,155.882,154.028,154.180,142.014,123.584,93.943,103.120,145.330,105.338,100.000,128.400,132.749,186.833,163.583,167.657,165.096,143.920,139.137,116.647
 "48000","Texas",6,SAGDP8N,4,"111-112","   Farms","Quantity index",109.527,103.729,131.596,137.823,126.387,155.851,171.354,169.065,168.297,148.132,127.564,91.301,100.770,156.859,107.672,100.000,136.590,141.207,207.966,177.611,182.475,178.013,148.378,141.096,(NA)
 "48000","Texas",6,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities","Quantity index",72.369,79.027,86.366,88.358,81.274,84.981,86.952,86.918,90.560,105.866,96.826,96.386,103.883,99.648,94.931,100.000,91.734,94.882,101.434,101.597,102.928,106.011,110.597,112.875,(NA)
 "48000","Texas",6,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction","Quantity index",69.975,69.657,67.358,53.765,67.453,75.157,63.554,61.869,62.232,71.355,79.521,77.581,91.336,76.069,80.671,100.000,109.717,124.447,144.182,136.615,136.967,139.651,163.905,142.498,128.425
 "48000","Texas",6,SAGDP8N,7,"211","   Oil and gas extraction","Quantity index",86.853,87.221,81.493,59.126,72.696,86.941,70.253,66.498,64.497,71.326,78.890,75.045,97.729,76.086,77.237,100.000,111.639,126.847,171.101,178.323,168.397,159.038,196.828,192.295,(NA)
 "48000","Texas",6,SAGDP8N,8,"212","   Mining (except oil and gas)","Quantity index",88.414,106.492,138.685,121.238,126.084,113.863,123.544,125.291,117.100,121.376,123.900,119.156,122.962,107.810,91.254,100.000,120.518,129.950,162.255,150.129,162.971,168.641,171.771,158.101,(NA)
 "48000","Texas",6,SAGDP8N,9,"213","   Support activities for mining","Quantity index",20.881,19.609,20.556,25.365,36.357,28.110,30.999,36.720,47.817,68.026,79.230,87.774,64.538,72.595,94.169,100.000,101.616,114.847,77.153,49.859,65.415,93.456,89.825,49.031,(NA)
 "48000","Texas",6,SAGDP8N,10,"22","  Utilities","Quantity index",84.378,82.069,99.094,108.604,96.836,91.348,91.035,92.619,88.507,95.762,95.333,92.681,83.318,94.487,103.066,100.000,98.884,92.451,93.095,98.621,103.482,106.933,108.546,111.521,110.783
 "48000","Texas",6,SAGDP8N,11,"23","  Construction","Quantity index",82.823,90.111,95.731,101.995,102.542,99.974,99.213,91.419,93.296,98.593,105.732,105.503,95.774,91.215,91.774,100.000,102.310,105.536,107.869,108.460,107.437,106.162,108.147,102.465,101.855
 "48000","Texas",6,SAGDP8N,12,"31-33","  Manufacturing","Quantity index",54.256,58.162,56.928,61.482,62.838,64.491,67.274,87.265,85.125,96.546,104.599,95.343,89.606,99.624,103.631,100.000,110.997,99.705,102.783,100.377,105.969,114.116,113.620,106.380,111.474
 "48000","Texas",6,SAGDP8N,13,"321,327-339","   Durable goods manufacturing","Quantity index",31.917,37.755,37.416,44.936,43.157,45.989,47.802,58.672,65.048,78.589,82.743,90.494,79.204,86.969,98.328,100.000,104.755,105.989,99.798,99.848,105.667,114.537,115.896,105.542,110.483
 "48000","Texas",6,SAGDP8N,14,"321","    Wood product manufacturing","Quantity index",82.392,94.808,92.628,90.950,83.432,88.317,85.332,77.490,81.042,84.509,92.083,91.696,90.225,81.168,91.355,100.000,96.144,84.983,85.031,108.486,101.632,104.517,102.286,100.858,(NA)
 "48000","Texas",6,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing","Quantity index",95.607,101.391,113.930,113.308,111.672,120.373,108.921,120.681,133.633,121.350,120.137,125.207,92.826,88.518,90.097,100.000,116.816,129.211,130.495,124.829,136.247,123.160,126.234,127.287,(NA)
 "48000","Texas",6,SAGDP8N,16,"331","    Primary metal manufacturing","Quantity index",50.865,56.006,56.152,64.081,72.457,65.248,61.561,88.038,69.723,72.015,70.113,84.280,86.897,79.409,90.536,100.000,102.768,99.414,105.064,96.648,80.813,81.037,89.896,105.575,(NA)
 "48000","Texas",6,SAGDP8N,17,"332","    Fabricated metal product manufacturing","Quantity index",66.185,68.792,62.589,70.282,68.818,65.223,63.364,64.894,75.824,86.910,99.004,96.684,72.011,75.812,90.452,100.000,96.630,101.532,85.412,74.194,81.229,92.032,89.381,74.419,(NA)
 "48000","Texas",6,SAGDP8N,18,"333","    Machinery manufacturing","Quantity index",37.618,37.962,37.472,43.996,39.627,35.396,36.888,55.299,62.412,75.554,85.902,85.842,65.101,80.281,98.566,100.000,97.832,99.428,67.911,58.165,69.126,82.025,79.756,67.682,(NA)
 "48000","Texas",6,SAGDP8N,19,"334","    Computer and electronic product manufacturing","Quantity index",12.692,18.013,17.229,24.266,24.064,29.934,34.785,49.685,55.695,77.676,72.371,93.287,88.717,103.847,109.261,100.000,103.047,104.053,120.751,128.124,114.363,120.772,116.022,116.421,(NA)
 "48000","Texas",6,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing","Quantity index",90.744,77.866,92.198,97.719,89.566,95.763,98.610,93.454,102.396,128.635,112.814,129.793,110.925,113.668,103.149,100.000,118.549,109.649,119.507,104.039,117.857,134.145,133.850,123.807,(NA)
 "48000","Texas",6,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","Quantity index",33.033,38.602,41.921,49.690,48.015,49.298,53.204,43.545,48.529,73.155,74.897,60.532,27.069,61.964,96.499,100.000,117.875,125.184,143.275,146.264,168.156,181.300,189.857,186.966,(NA)
