GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "05000","Arkansas",5,SAGDP8S,1,"...","All industry total","Quantity index",54.088,57.623,58.490,57.635,59.699,58.103,59.966,64.666,65.310,66.592,68.894,71.534,72.948,73.751,77.069,81.647,84.127,88.908,92.547,96.707,100.000
 "05000","Arkansas",5,SAGDP8S,2,"..."," Private industries","Quantity index",51.960,55.417,56.092,54.962,57.232,55.670,57.640,62.644,63.056,64.334,66.947,69.806,71.327,71.833,75.164,79.965,82.875,88.147,92.131,96.600,100.000
 "05000","Arkansas",5,SAGDP8S,3,"A","   Agriculture, forestry, and fishing","Quantity index",41.226,51.280,45.280,32.336,53.306,51.080,32.283,49.675,54.356,53.343,56.273,63.775,59.190,57.511,66.134,77.429,64.576,89.967,78.790,93.139,100.000
 "05000","Arkansas",5,SAGDP8S,4,"[01-02]","     Farms","Quantity index",41.256,51.718,45.323,31.392,53.793,50.600,30.031,47.966,53.669,51.957,53.935,62.497,57.407,55.217,63.556,75.868,62.557,89.653,76.713,92.527,100.000
 "05000","Arkansas",5,SAGDP8S,5,"[07-09]","     Agricultural services, forestry, and fishing","Quantity index",37.279,40.627,40.906,42.398,45.070,53.661,55.840,64.157,56.946,63.150,75.424,71.902,72.925,76.664,87.595,89.950,80.751,93.719,95.533,97.940,100.000
 "05000","Arkansas",5,SAGDP8S,6,"B","   Mining","Quantity index",113.703,111.315,91.872,102.924,100.110,100.272,91.344,93.453,99.667,92.547,86.970,91.220,89.098,71.963,73.426,74.926,87.934,82.372,94.954,99.247,100.000
 "05000","Arkansas",5,SAGDP8S,7,"10","     Metal mining","Quantity index",310.194,192.212,191.769,145.242,153.417,114.937,66.539,98.244,177.585,107.061,137.621,161.226,171.486,175.509,118.090,79.913,81.956,103.839,87.993,102.711,100.000
 "05000","Arkansas",5,SAGDP8S,8,"12","     Coal mining","Quantity index",590.885,494.839,312.442,212.087,248.838,182.973,185.540,174.583,160.766,134.720,112.054,215.219,141.073,77.148,114.901,119.289,114.545,159.810,110.127,99.651,100.000
 "05000","Arkansas",5,SAGDP8S,9,"13","     Oil and gas extraction","Quantity index",121.705,123.899,99.531,118.960,116.803,117.967,107.448,107.167,114.137,105.657,95.890,100.435,94.123,76.291,75.533,76.861,96.949,80.699,96.583,102.880,100.000
 "05000","Arkansas",5,SAGDP8S,10,"14","     Nonmetallic minerals, except fuels","Quantity index",62.488,62.469,58.541,49.610,40.478,39.860,39.687,53.428,52.379,54.151,58.415,58.867,67.742,51.326,63.252,67.688,61.495,82.957,89.397,87.412,100.000
