GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "21000","Kentucky",5,SAGDP8S,1,"...","All industry total","Quantity index",58.912,61.492,63.042,60.849,62.493,60.273,60.356,64.920,66.872,65.935,68.347,72.921,74.534,75.473,76.151,80.377,82.811,87.881,90.965,94.364,100.000
 "21000","Kentucky",5,SAGDP8S,2,"..."," Private industries","Quantity index",57.118,59.787,61.180,58.775,60.776,58.286,58.254,63.414,65.366,64.179,66.699,71.623,73.267,74.192,74.391,78.270,81.315,86.951,90.322,94.220,100.000
 "21000","Kentucky",5,SAGDP8S,3,"A","   Agriculture, forestry, and fishing","Quantity index",50.816,44.386,48.841,52.346,74.873,81.958,48.017,76.359,81.083,71.924,74.613,67.858,78.563,79.219,86.792,98.883,84.391,94.802,74.325,85.045,100.000
 "21000","Kentucky",5,SAGDP8S,4,"[01-02]","     Farms","Quantity index",56.257,48.480,53.523,57.001,83.190,90.104,48.940,81.088,86.786,74.168,74.840,67.092,80.117,80.423,88.698,104.002,87.758,98.242,70.038,82.542,100.000
 "21000","Kentucky",5,SAGDP8S,5,"[07-09]","     Agricultural services, forestry, and fishing","Quantity index",24.852,26.625,27.949,32.505,36.015,44.936,48.856,56.677,56.204,64.792,78.210,76.140,74.985,77.562,82.066,80.238,72.643,82.943,92.139,95.264,100.000
 "21000","Kentucky",5,SAGDP8S,6,"B","   Mining","Quantity index",48.326,46.329,46.130,47.769,50.497,50.153,45.046,52.395,51.052,44.247,43.556,66.913,65.722,69.339,75.711,76.363,84.680,94.338,93.884,94.449,100.000
 "21000","Kentucky",5,SAGDP8S,7,"10","     Metal mining","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "21000","Kentucky",5,SAGDP8S,8,"12","     Coal mining","Quantity index",45.727,43.717,43.978,45.666,49.202,48.545,43.433,50.928,48.553,41.413,40.922,64.758,64.669,68.308,75.572,75.851,85.003,95.515,95.903,94.885,100.000
 "21000","Kentucky",5,SAGDP8S,9,"13","     Oil and gas extraction","Quantity index",172.596,167.703,135.704,152.713,142.542,149.930,132.759,133.820,161.809,151.066,123.170,179.219,147.094,153.408,149.607,147.648,146.624,124.127,101.782,109.684,100.000
 "21000","Kentucky",5,SAGDP8S,10,"14","     Nonmetallic minerals, except fuels","Quantity index",45.014,45.874,44.641,36.957,30.379,31.150,33.625,45.290,45.326,46.941,53.615,55.639,49.621,51.826,51.530,57.923,60.684,73.681,72.851,84.280,100.000
 "21000","Kentucky",5,SAGDP8S,11,"C","   Construction","Quantity index",78.906,90.606,89.652,76.406,65.752,59.896,55.011,59.534,59.859,60.827,66.088,67.969,70.476,69.491,68.330,77.556,83.551,88.149,87.294,92.635,100.000
 "21000","Kentucky",5,SAGDP8S,12,"D","   Manufacturing","Quantity index",56.671,59.792,60.065,54.247,57.289,50.613,53.859,61.157,64.928,61.953,65.804,71.042,72.907,72.119,68.092,72.379,76.543,84.797,91.133,92.848,100.000
 "21000","Kentucky",5,SAGDP8S,13,"...","     Durable goods manufacturing","Quantity index",38.855,41.126,40.700,36.146,37.831,32.174,34.600,44.247,50.387,46.744,51.636,58.784,62.618,60.729,57.467,63.060,69.622,78.058,83.240,88.962,100.000
 "21000","Kentucky",5,SAGDP8S,14,"24","       Lumber and wood products","Quantity index",51.449,63.058,65.038,61.457,59.858,55.585,58.561,62.578,63.051,68.946,88.027,92.242,100.929,100.552,61.638,83.353,79.818,87.372,90.401,89.837,100.000
 "21000","Kentucky",5,SAGDP8S,15,"25","       Furniture and fixtures","Quantity index",93.383,110.544,96.231,94.668,83.931,70.857,93.338,89.970,87.263,77.674,86.706,79.894,64.806,74.688,77.662,97.847,99.701,92.451,97.619,95.919,100.000
