GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "22000","Louisiana",5,SAGDP8S,1,"...","All industry total","Quantity index",73.670,77.029,76.039,78.431,80.535,77.479,76.597,81.149,82.599,82.435,82.763,85.825,85.805,87.515,87.343,81.693,83.566,90.598,95.500,96.417,100.000
 "22000","Louisiana",5,SAGDP8S,2,"..."," Private industries","Quantity index",72.758,76.241,74.971,77.014,79.146,75.700,74.651,79.844,81.502,81.521,82.079,85.619,85.499,86.923,86.437,79.706,81.765,89.742,95.101,96.187,100.000
 "22000","Louisiana",5,SAGDP8S,3,"A","   Agriculture, forestry, and fishing","Quantity index",63.457,56.812,67.464,55.164,72.462,76.643,61.920,70.483,69.899,73.761,77.032,84.002,69.859,71.300,78.565,81.012,71.164,98.327,92.331,105.583,100.000
 "22000","Louisiana",5,SAGDP8S,4,"[01-02]","     Farms","Quantity index",66.122,56.430,68.210,51.879,74.465,79.013,58.208,68.054,64.892,65.727,73.180,83.737,65.133,65.293,74.343,80.488,70.433,105.408,93.408,110.456,100.000
 "22000","Louisiana",5,SAGDP8S,5,"[07-09]","     Agricultural services, forestry, and fishing","Quantity index",48.517,54.678,59.950,63.944,62.263,65.067,70.497,73.946,81.602,94.054,85.284,81.971,81.402,86.548,88.895,82.282,72.894,83.500,90.185,94.743,100.000
 "22000","Louisiana",5,SAGDP8S,6,"B","   Mining","Quantity index",111.705,112.654,89.225,98.926,92.636,87.940,83.678,95.856,102.510,114.783,107.407,112.325,107.909,103.575,98.149,64.826,74.111,100.129,97.869,101.474,100.000
 "22000","Louisiana",5,SAGDP8S,7,"10","     Metal mining","Quantity index",0.859,0.307,0.540,4.573,4.842,5.674,6.092,9.027,11.589,18.150,18.360,18.659,22.524,32.912,59.712,86.154,85.591,89.962,82.570,81.504,100.000
 "22000","Louisiana",5,SAGDP8S,8,"12","     Coal mining","Quantity index",0.000,0.000,0.000,0.025,0.091,0.573,1.434,1.913,6.154,13.991,15.435,27.817,30.620,35.185,41.449,47.026,57.031,66.191,74.057,81.320,100.000
 "22000","Louisiana",5,SAGDP8S,9,"13","     Oil and gas extraction","Quantity index",112.106,113.114,89.427,99.149,92.971,88.374,83.992,96.038,102.724,115.235,107.661,112.929,108.753,104.409,98.830,64.944,74.498,100.570,98.056,101.676,100.000
 "22000","Louisiana",5,SAGDP8S,10,"14","     Nonmetallic minerals, except fuels","Quantity index",136.726,134.041,119.549,130.061,104.130,78.616,90.607,130.025,134.215,124.820,129.340,107.590,81.339,70.521,65.202,51.319,42.277,72.056,88.023,91.476,100.000
