GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "27000","Minnesota",4,SAGDP8S,1,"...","All industry total","Quantity index",50.859,53.547,56.029,55.779,57.338,56.460,58.350,64.448,67.002,67.532,70.805,73.667,75.882,76.654,76.647,80.931,81.116,85.998,88.557,94.250,100.000
 "27000","Minnesota",4,SAGDP8S,2,"..."," Private industries","Quantity index",48.668,51.446,54.012,53.632,55.296,54.378,56.500,63.015,65.657,66.075,69.539,72.443,74.671,75.161,75.017,79.624,79.828,84.879,87.854,93.880,100.000
 "27000","Minnesota",4,SAGDP8S,3,"A","   Agriculture, forestry, and fishing","Quantity index",83.555,77.013,74.004,79.794,96.599,98.820,58.049,93.794,105.594,103.736,105.915,72.069,104.023,108.702,96.737,102.620,50.006,101.718,77.634,116.613,100.000
 "27000","Minnesota",4,SAGDP8S,4,"[01-02]","     Farms","Quantity index",89.341,81.758,78.236,84.098,102.768,104.099,57.726,96.830,111.260,108.133,107.577,69.985,106.040,110.793,97.066,103.944,44.201,104.372,74.683,119.791,100.000
 "27000","Minnesota",4,SAGDP8S,5,"[07-09]","     Agricultural services, forestry, and fishing","Quantity index",43.407,45.898,47.465,53.623,56.779,66.071,65.744,75.395,67.274,74.425,95.899,87.502,89.856,94.022,93.883,93.702,81.706,90.211,94.824,99.180,100.000
 "27000","Minnesota",4,SAGDP8S,6,"B","   Mining","Quantity index",64.709,95.116,96.005,68.721,94.463,58.706,67.235,85.266,75.919,60.131,50.334,48.424,52.257,64.715,70.439,82.997,79.737,78.651,76.330,85.328,100.000
 "27000","Minnesota",4,SAGDP8S,7,"10","     Metal mining","Quantity index",74.639,112.238,112.792,79.096,112.971,64.678,75.020,97.325,85.488,63.551,50.079,50.308,55.714,72.403,82.371,96.327,91.264,86.722,82.100,89.619,100.000
 "27000","Minnesota",4,SAGDP8S,8,"12","     Coal mining","Quantity index",19.535,29.642,23.461,0.000,38.141,168.677,146.636,50.053,0.000,0.000,0.000,32.257,150.261,24.999,0.000,55.649,84.884,97.965,91.623,95.588,100.000
 "27000","Minnesota",4,SAGDP8S,9,"13","     Oil and gas extraction","Quantity index",339.308,336.815,350.056,483.053,556.348,702.744,622.685,615.917,603.291,805.352,450.367,278.249,134.996,62.561,20.004,11.900,17.377,25.115,48.054,53.363,100.000
 "27000","Minnesota",4,SAGDP8S,10,"14","     Nonmetallic minerals, except fuels","Quantity index",36.588,42.599,45.857,38.267,30.855,33.426,40.598,47.238,45.232,42.913,51.907,43.448,43.134,40.981,32.379,40.775,43.026,52.685,58.083,72.608,100.000
 "27000","Minnesota",4,SAGDP8S,11,"C","   Construction","Quantity index",70.312,75.250,76.448,69.600,57.063,48.488,50.784,60.541,65.019,68.479,74.538,73.798,76.219,76.954,73.917,81.947,83.221,87.641,88.219,95.147,100.000
 "27000","Minnesota",4,SAGDP8S,12,"D","   Manufacturing","Quantity index",43.618,46.749,50.155,48.845,51.233,50.869,57.777,66.623,71.496,70.889,80.227,86.021,82.851,80.227,75.663,81.293,80.138,85.531,88.781,92.963,100.000
 "27000","Minnesota",4,SAGDP8S,13,"...","     Durable goods manufacturing","Quantity index",33.438,36.617,39.555,39.402,41.155,40.019,46.601,57.293,58.311,57.819,68.038,77.884,74.818,72.060,65.662,70.199,70.405,76.759,82.980,87.183,100.000
 "27000","Minnesota",4,SAGDP8S,14,"24","       Lumber and wood products","Quantity index",53.528,60.313,60.000,59.029,58.092,61.840,80.835,83.677,99.371,117.169,147.611,128.583,124.060,126.494,127.320,127.052,104.699,115.452,115.982,109.958,100.000
 "27000","Minnesota",4,SAGDP8S,15,"25","       Furniture and fixtures","Quantity index",37.064,43.319,43.164,47.027,44.975,41.321,44.291,57.646,57.413,62.573,68.818,70.908,65.480,57.172,62.745,77.224,80.003,74.647,86.560,84.691,100.000
 "27000","Minnesota",4,SAGDP8S,16,"32","       Stone, clay, and glass products","Quantity index",70.153,57.150,63.238,60.409,59.031,55.032,76.435,81.526,80.307,62.084,72.403,76.453,66.096,74.771,63.217,85.134,91.483,97.359,93.288,87.261,100.000
 "27000","Minnesota",4,SAGDP8S,17,"33","       Primary metal industries","Quantity index",48.419,66.234,69.962,63.031,61.790,52.047,43.905,69.242,52.933,67.450,61.648,66.342,59.047,59.876,64.607,67.530,71.192,76.267,86.938,91.312,100.000
 "27000","Minnesota",4,SAGDP8S,18,"34","       Fabricated metal products","Quantity index",55.550,58.113,63.651,63.269,63.574,61.086,67.411,74.605,80.625,77.878,83.397,86.985,91.646,87.155,83.800,82.961,84.036,89.296,100.643,97.441,100.000
 "27000","Minnesota",4,SAGDP8S,19,"35","       Industrial machinery and equipment","Quantity index",23.382,26.307,30.653,32.492,35.395,34.597,43.934,57.781,55.915,53.861,69.776,89.729,79.869,71.484,51.483,56.643,57.432,66.895,72.278,78.482,100.000
 "27000","Minnesota",4,SAGDP8S,20,"36","       Electronic and other electric equipment 2/","Quantity index",12.358,14.597,14.183,14.251,14.315,12.909,13.603,19.523,19.340,16.249,22.915,25.208,28.115,32.138,36.419,42.279,40.984,45.243,56.307,73.785,100.000
 "27000","Minnesota",4,SAGDP8S,21,"371","       Motor vehicles and equipment","Quantity index",41.846,47.722,40.055,27.871,32.591,36.249,36.895,48.494,64.504,74.700,60.151,67.902,68.807,54.472,51.215,55.635,69.498,90.396,77.597,70.941,100.000
 "27000","Minnesota",4,SAGDP8S,22,"372-379","       Other transportation equipment","Quantity index",59.903,58.300,62.143,40.900,23.141,27.452,31.747,39.591,41.643,45.425,68.692,80.690,95.393,87.637,87.770,101.068,100.614,98.568,97.128,102.898,100.000
 "27000","Minnesota",4,SAGDP8S,23,"38","       Instruments and related products 2/","Quantity index",58.816,63.241,71.016,73.402,75.446,74.551,78.694,80.852,80.755,87.069,91.462,104.293,92.411,94.680,93.739,99.366,94.788,90.483,101.820,107.674,100.000
 "27000","Minnesota",4,SAGDP8S,24,"39","       Miscellaneous manufacturing industries","Quantity index",69.137,64.626,60.863,48.487,59.085,57.212,47.718,56.370,61.070,64.461,64.666,68.936,99.463,108.300,127.319,96.968,115.046,99.616,106.066,99.698,100.000
 "27000","Minnesota",4,SAGDP8S,25,"...","     Nondurable goods manufacturing","Quantity index",63.691,66.272,70.410,66.375,70.042,71.665,78.516,81.850,95.306,94.496,101.366,98.673,95.413,93.117,91.995,99.469,95.884,99.457,97.720,101.858,100.000
 "27000","Minnesota",4,SAGDP8S,26,"20","       Food and kindred products","Quantity index",52.687,56.433,62.102,67.273,67.377,76.646,84.249,73.391,78.764,75.889,87.022,90.271,94.112,89.326,88.412,97.926,101.630,100.235,116.293,106.665,100.000
 "27000","Minnesota",4,SAGDP8S,27,"21","       Tobacco products","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "27000","Minnesota",4,SAGDP8S,28,"22","       Textile mill products","Quantity index",93.692,91.293,105.794,119.108,125.476,112.310,105.173,105.249,114.862,138.756,128.919,122.406,130.838,125.869,126.641,116.861,111.751,107.570,94.630,102.414,100.000
 "27000","Minnesota",4,SAGDP8S,29,"23","       Apparel and other textile products","Quantity index",122.763,117.421,115.457,109.378,88.816,56.436,59.027,56.285,55.917,58.284,57.533,62.939,63.571,67.939,68.745,78.499,82.623,94.437,107.557,103.176,100.000
 "27000","Minnesota",4,SAGDP8S,30,"26","       Paper and allied products","Quantity index",102.963,113.280,110.209,96.063,92.691,94.601,96.533,102.807,135.197,142.286,133.173,126.424,102.964,99.042,97.912,103.129,112.492,112.228,92.192,105.979,100.000
 "27000","Minnesota",4,SAGDP8S,31,"27","       Printing and publishing","Quantity index",70.462,73.921,80.932,74.446,78.548,77.663,78.807,86.993,99.204,97.543,97.997,104.822,106.677,106.940,101.701,104.747,98.279,100.964,100.982,102.506,100.000
 "27000","Minnesota",4,SAGDP8S,32,"28","       Chemicals and allied products","Quantity index",39.648,38.431,39.095,36.030,40.345,40.013,47.564,50.398,53.127,55.788,75.985,61.697,57.078,66.904,70.181,67.922,63.757,78.800,68.491,85.678,100.000
 "27000","Minnesota",4,SAGDP8S,33,"29","       Petroleum and coal products","Quantity index",64.540,38.826,59.409,47.213,93.388,80.155,140.590,224.602,253.757,200.994,285.473,200.257,239.774,205.473,192.641,245.079,121.127,113.792,85.316,107.991,100.000
 "27000","Minnesota",4,SAGDP8S,34,"30","       Rubber and miscellaneous plastics products","Quantity index",18.625,19.911,22.460,21.936,24.519,23.385,26.220,30.671,34.051,34.352,40.005,46.557,49.123,48.713,52.713,61.321,60.801,74.532,88.071,93.907,100.000
 "27000","Minnesota",4,SAGDP8S,35,"31","       Leather and leather products","Quantity index",58.335,53.465,47.555,50.315,43.626,39.714,37.572,37.283,39.968,33.648,43.354,46.875,58.983,69.931,82.301,92.184,105.115,145.659,106.583,88.884,100.000
 "27000","Minnesota",4,SAGDP8S,36,"E","   Transportation and public utilities","Quantity index",52.545,53.577,57.286,58.558,59.039,57.219,61.042,63.356,63.047,60.158,65.588,69.433,73.367,76.094,80.816,79.423,81.091,85.265,90.476,97.656,100.000
 "27000","Minnesota",4,SAGDP8S,37,"...","     Transportation","Quantity index",43.509,43.380,47.427,46.808,46.089,44.257,50.728,52.950,53.913,53.015,57.033,56.940,62.326,67.262,69.223,71.414,74.776,81.835,85.835,94.688,100.000
 "27000","Minnesota",4,SAGDP8S,38,"40","       Railroad transportation","Quantity index",65.162,67.357,68.077,73.047,74.905,64.122,67.447,69.548,64.199,73.712,79.707,80.238,70.948,79.576,89.388,97.838,94.654,96.203,100.584,107.452,100.000
 "27000","Minnesota",4,SAGDP8S,39,"41","       Local and interurban passenger transit","Quantity index",84.308,90.240,103.400,113.104,105.554,89.793,81.230,80.236,81.783,76.501,77.125,74.228,81.441,87.251,81.528,80.581,85.799,86.720,89.325,89.230,100.000
 "27000","Minnesota",4,SAGDP8S,40,"42","       Trucking and warehousing","Quantity index",55.673,56.696,60.158,55.629,51.367,50.924,60.707,63.938,64.269,61.702,62.277,60.374,60.394,61.078,66.766,68.952,72.876,80.233,87.240,95.258,100.000
 "27000","Minnesota",4,SAGDP8S,41,"44","       Water transportation","Quantity index",91.522,99.940,102.330,85.063,102.036,72.425,70.033,75.830,70.952,62.358,65.910,69.685,70.829,77.855,76.482,79.018,79.755,92.124,89.522,95.900,100.000
 "27000","Minnesota",4,SAGDP8S,42,"45","       Transportation by air","Quantity index",20.906,19.973,26.864,26.902,27.783,30.468,38.324,39.093,41.698,38.777,45.757,47.180,61.987,68.189,65.576,67.793,71.644,80.202,81.464,90.368,100.000
 "27000","Minnesota",4,SAGDP8S,43,"46","       Pipelines, except natural gas","Quantity index",82.963,36.959,35.243,30.285,28.642,30.192,33.341,37.364,46.820,47.341,67.110,60.666,65.208,56.086,58.772,54.902,58.211,63.928,67.926,109.881,100.000
 "27000","Minnesota",4,SAGDP8S,44,"47","       Transportation services","Quantity index",28.128,33.389,31.909,34.691,34.012,32.611,36.020,42.015,48.551,48.469,44.629,46.587,48.458,65.465,67.383,65.381,71.667,80.270,86.554,95.673,100.000
 "27000","Minnesota",4,SAGDP8S,45,"48","     Communications","Quantity index",45.115,50.036,54.954,61.358,63.849,63.805,69.963,67.906,67.272,63.473,70.765,74.768,77.339,77.259,83.612,84.463,83.986,87.841,93.118,99.996,100.000
 "27000","Minnesota",4,SAGDP8S,46,"49","     Electric, gas, and sanitary services","Quantity index",83.308,81.856,81.566,81.680,83.371,79.611,74.008,81.341,78.417,71.974,78.486,91.577,93.413,94.073,103.294,91.355,91.556,89.819,97.550,101.487,100.000
 "27000","Minnesota",4,SAGDP8S,47,"F","   Wholesale trade","Quantity index",35.372,38.614,42.483,40.233,42.076,42.904,43.268,48.104,48.822,53.009,51.542,55.541,59.095,57.861,61.749,67.320,70.363,76.790,78.190,90.248,100.000
 "27000","Minnesota",4,SAGDP8S,48,"G","   Retail trade","Quantity index",47.528,50.345,50.914,48.192,49.587,50.706,54.636,59.926,62.092,65.273,63.694,70.121,71.628,71.028,69.918,73.043,77.666,82.907,87.061,93.436,100.000
 "27000","Minnesota",4,SAGDP8S,49,"H","   Finance, insurance, and real estate","Quantity index",52.796,56.299,59.368,62.194,61.958,61.730,64.086,67.023,68.675,67.613,69.226,72.355,72.863,73.909,76.462,81.924,85.225,86.111,90.911,91.884,100.000
 "27000","Minnesota",4,SAGDP8S,50,"60","     Depository institutions 3/","Quantity index",56.470,57.212,62.462,69.470,71.790,72.923,74.570,74.288,75.655,71.200,73.017,67.613,70.973,73.305,77.401,77.710,82.642,78.752,78.163,78.303,100.000
 "27000","Minnesota",4,SAGDP8S,51,"61","     Nondepository institutions 3/","Quantity index",40.391,42.824,46.170,45.528,46.408,33.311,57.708,60.529,77.094,60.369,49.895,49.365,43.695,42.264,45.210,52.079,73.960,71.037,67.081,75.404,100.000
 "27000","Minnesota",4,SAGDP8S,52,"62","     Security and commodity brokers","Quantity index",5.677,6.715,6.731,10.643,11.550,13.004,16.448,16.574,16.874,17.878,25.798,26.178,30.453,29.815,31.393,32.196,43.998,47.428,58.729,74.575,100.000
 "27000","Minnesota",4,SAGDP8S,53,"63","     Insurance carriers","Quantity index",45.131,55.067,53.914,57.471,56.869,64.081,57.999,66.052,67.246,63.915,61.860,74.477,72.423,76.237,91.290,101.006,97.082,100.811,107.892,99.587,100.000
 "27000","Minnesota",4,SAGDP8S,54,"64","     Insurance agents, brokers, and services","Quantity index",73.713,77.547,74.096,82.331,82.756,78.996,71.232,78.164,76.265,85.389,101.535,105.738,97.559,98.454,89.942,82.999,88.559,93.579,99.424,96.825,100.000
 "27000","Minnesota",4,SAGDP8S,55,"65","     Real estate","Quantity index",59.358,62.492,66.531,67.893,66.468,65.025,68.547,71.274,72.224,71.997,72.946,77.539,78.006,78.858,79.636,86.676,88.596,89.599,94.581,95.849,100.000
 "27000","Minnesota",4,SAGDP8S,56,"67","     Holding and other investment offices","Quantity index",143.125,138.150,144.597,140.318,152.201,162.532,175.602,201.261,252.153,279.224,327.678,188.504,199.175,167.321,140.715,127.194,160.121,115.756,101.413,77.827,100.000
 "27000","Minnesota",4,SAGDP8S,57,"I","   Services","Quantity index",45.852,48.211,50.895,53.701,54.612,54.141,56.015,60.012,62.546,64.216,67.173,69.876,74.318,77.010,77.102,81.468,81.581,85.306,88.990,94.595,100.000
 "27000","Minnesota",4,SAGDP8S,58,"70","     Hotels and other lodging places","Quantity index",98.622,98.794,93.349,80.023,79.520,75.803,83.074,85.441,83.722,80.533,81.562,75.799,80.825,79.681,78.814,83.149,84.299,90.116,95.625,102.506,100.000
 "27000","Minnesota",4,SAGDP8S,59,"72","     Personal services","Quantity index",69.592,69.656,72.862,79.495,77.924,75.418,76.269,83.077,92.205,95.218,98.453,103.687,104.386,95.556,86.494,87.680,85.265,93.764,97.374,97.288,100.000
 "27000","Minnesota",4,SAGDP8S,60,"73","     Business services 4/","Quantity index",19.303,21.644,24.202,25.783,27.079,27.255,29.669,35.307,38.478,41.231,39.863,43.989,48.473,53.790,53.388,61.802,63.916,72.964,77.675,87.752,100.000
 "27000","Minnesota",4,SAGDP8S,61,"75","     Automotive repair, services, and parking","Quantity index",48.513,54.473,58.227,61.878,63.021,61.057,65.748,71.366,77.234,74.978,73.188,80.165,79.620,81.224,76.931,77.779,79.260,83.725,88.316,95.489,100.000
 "27000","Minnesota",4,SAGDP8S,62,"76","     Miscellaneous repair services","Quantity index",75.484,86.780,91.187,110.809,98.671,84.003,90.275,95.680,81.558,85.602,87.288,89.305,97.882,98.516,87.404,87.307,88.708,88.866,99.823,101.601,100.000
 "27000","Minnesota",4,SAGDP8S,63,"78","     Motion pictures","Quantity index",34.717,45.489,43.071,52.042,51.517,53.806,52.787,52.665,54.786,55.057,65.869,68.623,81.139,75.311,74.315,84.493,96.208,93.543,99.727,98.147,100.000
 "27000","Minnesota",4,SAGDP8S,64,"79","     Amusement and recreation services","Quantity index",28.528,29.725,32.785,34.279,36.582,38.286,41.244,43.312,47.979,49.837,54.620,60.572,62.891,68.603,74.162,89.305,86.981,83.547,85.195,93.719,100.000
 "27000","Minnesota",4,SAGDP8S,65,"80","     Health services","Quantity index",64.149,66.734,70.058,75.094,76.333,76.073,76.486,78.108,79.631,79.819,83.471,83.322,87.227,88.971,90.267,92.635,91.010,90.451,93.235,97.117,100.000
 "27000","Minnesota",4,SAGDP8S,66,"81","     Legal services","Quantity index",71.292,73.063,80.158,77.618,77.162,79.114,78.171,85.857,87.867,93.563,90.277,98.353,97.793,99.985,99.184,114.108,104.181,101.401,97.414,102.518,100.000
