GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "91000","New England",1,SAGDP8S,1,"...","All industry total","Quantity index",50.665,53.505,55.578,56.587,57.955,58.602,61.699,67.260,71.237,74.724,80.003,85.007,85.906,84.514,82.299,83.650,83.823,86.753,90.502,94.441,100.000
 "91000","New England",1,SAGDP8S,2,"..."," Private industries","Quantity index",48.110,51.012,53.161,54.165,55.793,56.561,59.787,65.756,69.793,73.413,78.902,83.936,84.731,82.998,80.999,82.537,82.657,85.803,89.847,94.027,100.000
 "91000","New England",1,SAGDP8S,3,"A","   Agriculture, forestry, and fishing","Quantity index",42.845,41.723,42.870,48.656,52.855,59.929,62.908,66.738,94.196,108.282,98.888,102.871,94.943,95.922,93.164,96.225,84.120,92.352,88.440,94.253,100.000
 "91000","New England",1,SAGDP8S,4,"[01-02]","     Farms","Quantity index",51.722,47.277,47.079,50.643,67.460,79.169,62.145,72.553,92.299,95.782,100.980,89.796,87.001,96.341,96.593,117.489,101.736,111.777,89.598,93.383,100.000
 "91000","New England",1,SAGDP8S,5,"[07-09]","     Agricultural services, forestry, and fishing","Quantity index",36.388,38.482,41.047,49.185,43.040,46.760,65.303,63.642,97.658,119.491,99.782,114.170,102.432,97.486,92.700,85.210,75.025,82.323,87.777,94.724,100.000
 "91000","New England",1,SAGDP8S,6,"B","   Mining","Quantity index",60.698,67.226,67.536,66.063,72.759,61.209,56.852,71.158,76.346,91.412,122.855,122.480,95.752,86.849,81.773,99.070,100.905,100.355,99.838,101.145,100.000
 "91000","New England",1,SAGDP8S,7,"10","     Metal mining","Quantity index",256.148,101.725,297.690,1045.950,1479.567,1545.785,526.308,441.168,215.440,160.243,188.174,126.501,1362.134,1031.236,962.166,1031.666,1199.220,160.397,138.007,92.161,100.000
 "91000","New England",1,SAGDP8S,8,"12","     Coal mining","Quantity index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "91000","New England",1,SAGDP8S,9,"13","     Oil and gas extraction","Quantity index",149.958,209.840,161.384,151.002,227.693,102.724,83.632,104.903,133.784,260.987,331.962,353.766,220.422,73.968,101.627,78.638,89.891,90.282,112.896,93.828,100.000
 "91000","New England",1,SAGDP8S,10,"14","     Nonmetallic minerals, except fuels","Quantity index",49.952,56.329,57.202,48.957,45.104,46.756,48.430,65.149,64.949,75.778,109.503,102.715,83.876,82.707,75.385,94.805,93.624,100.379,99.058,101.567,100.000
 "91000","New England",1,SAGDP8S,11,"C","   Construction","Quantity index",58.444,59.721,61.655,59.851,57.452,56.863,64.016,76.285,87.862,98.364,114.280,122.646,113.540,92.192,76.488,77.264,80.644,85.314,88.211,93.136,100.000
 "91000","New England",1,SAGDP8S,12,"D","   Manufacturing","Quantity index",55.272,59.718,62.677,63.970,66.170,65.485,69.071,76.637,79.395,78.755,85.453,88.313,87.941,84.439,81.393,79.666,78.557,81.823,87.778,92.465,100.000
 "91000","New England",1,SAGDP8S,13,"...","     Durable goods manufacturing","Quantity index",47.772,52.761,55.893,58.277,60.164,58.527,62.022,70.185,73.267,72.218,80.239,83.488,84.195,80.987,76.867,74.689,72.231,75.438,84.280,90.639,100.000
 "91000","New England",1,SAGDP8S,14,"24","       Lumber and wood products","Quantity index",86.122,82.267,85.967,91.451,92.851,98.474,107.414,126.632,134.730,141.078,161.924,150.145,129.319,117.913,108.383,96.090,84.332,97.761,102.961,103.060,100.000
 "91000","New England",1,SAGDP8S,15,"25","       Furniture and fixtures","Quantity index",85.005,94.915,86.543,95.833,91.805,84.348,88.261,99.373,100.131,102.260,101.155,104.515,97.637,76.862,71.013,73.536,79.125,75.879,95.246,96.434,100.000
 "91000","New England",1,SAGDP8S,16,"32","       Stone, clay, and glass products","Quantity index",101.251,113.422,112.171,102.625,95.151,78.298,88.181,98.566,104.170,108.674,101.781,117.044,113.572,101.271,94.874,107.162,103.792,101.944,90.356,86.958,100.000
 "91000","New England",1,SAGDP8S,17,"33","       Primary metal industries","Quantity index",108.895,117.654,122.393,129.470,136.177,115.061,102.400,109.276,96.067,110.746,94.324,84.185,80.350,78.661,77.023,79.834,88.871,91.590,84.602,101.061,100.000
 "91000","New England",1,SAGDP8S,18,"34","       Fabricated metal products","Quantity index",73.273,77.211,80.867,84.868,85.817,79.420,80.586,84.455,83.475,79.738,85.199,90.161,88.478,82.917,77.868,78.823,82.119,88.468,92.787,99.502,100.000
 "91000","New England",1,SAGDP8S,19,"35","       Industrial machinery and equipment","Quantity index",27.533,32.945,35.960,38.737,40.173,37.647,42.275,50.611,56.727,54.122,74.005,76.719,84.207,73.594,67.330,64.911,63.950,69.217,84.053,89.190,100.000
 "91000","New England",1,SAGDP8S,20,"36","       Electronic and other electric equipment 2/","Quantity index",18.211,21.279,23.706,26.770,28.645,27.410,30.741,38.969,40.748,40.170,37.966,39.478,41.610,41.445,41.256,43.350,44.429,51.827,64.999,78.570,100.000
