GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SAGDP9N,1,"...","All industry total","Millions of chained 2012 dollars",40145.8,41912.5,43144.9,45178.6,45749.8,47224.5,48571.1,50513.8,51369.7,52899.6,51469.1,50575.2,50004.3,51332.8,51279.6,51583.0,51910.8,52293.4,52819.1,52902.6,52608.8,52493.8,53225.0,51415.1,54222.6
 "44000","Rhode Island",1,SAGDP9N,2,"..."," Private industries","Millions of chained 2012 dollars",33069.6,34788.1,35897.4,37660.4,38233.2,39638.4,40821.9,42549.0,43357.4,44867.1,43492.7,42738.1,42612.8,43905.8,43844.4,44289.9,44799.0,45305.4,45880.3,45945.4,45395.6,45338.7,45984.3,44284.0,46963.1
 "44000","Rhode Island",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting","Millions of chained 2012 dollars",115.9,133.8,149.6,175.6,175.5,179.0,173.2,151.5,148.4,163.2,121.3,135.6,144.0,137.3,117.3,106.1,100.0,99.0,119.8,123.3,125.7,120.5,118.6,121.9,(D)
 "44000","Rhode Island",1,SAGDP9N,4,"111-112","   Farms","Millions of chained 2012 dollars",37.3,37.6,41.4,48.0,47.2,59.0,57.0,56.5,62.2,66.0,43.8,62.3,74.1,65.9,48.9,43.8,45.8,45.2,60.1,58.7,63.4,61.1,59.7,63.9,(NA)
 "44000","Rhode Island",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities","Millions of chained 2012 dollars",78.2,94.8,106.3,125.2,125.7,119.8,116.0,95.6,87.9,98.3,77.2,74.5,72.8,72.8,68.4,62.3,54.2,53.8,60.9,64.8,63.8,61.0,60.3,60.5,(NA)
 "44000","Rhode Island",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction","Millions of chained 2012 dollars",36.7,43.5,50.9,52.1,47.9,60.1,58.1,69.3,53.0,44.8,46.3,47.7,45.9,28.2,18.5,24.4,20.9,50.9,72.6,69.7,70.2,54.8,52.6,46.6,(D)
 "44000","Rhode Island",1,SAGDP9N,7,"211","   Oil and gas extraction","Millions of chained 2012 dollars",0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.1,(L),(L),1.0,1.3,1.1,1.1,0.3,0.0,0.0,0.0,0.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,8,"212","   Mining (except oil and gas)","Millions of chained 2012 dollars",28.9,35.4,41.8,40.4,44.5,56.9,55.7,68.4,53.0,44.8,45.9,47.6,45.9,28.2,18.5,23.4,19.6,50.0,71.9,69.3,70.0,54.6,52.4,46.5,(NA)
 "44000","Rhode Island",1,SAGDP9N,9,"213","   Support activities for mining","Millions of chained 2012 dollars",3.7,3.9,4.4,5.5,1.9,1.8,1.4,0.7,(L),0.1,(L),0.1,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,10,"22","  Utilities","Millions of chained 2012 dollars",679.0,640.3,704.4,790.2,684.3,569.6,603.2,637.0,607.5,679.3,660.4,731.1,687.5,763.7,750.2,749.7,762.4,740.3,769.0,797.4,795.8,810.9,819.6,864.9,857.6
 "44000","Rhode Island",1,SAGDP9N,11,"23","  Construction","Millions of chained 2012 dollars",2462.2,2610.3,2748.0,2797.2,2734.6,2664.5,2907.4,2943.5,2922.4,2824.5,2667.1,2344.5,2112.6,2034.6,1926.1,1956.0,1810.2,1698.1,1652.3,1662.6,1639.3,1729.6,1769.0,1709.3,1814.3
 "44000","Rhode Island",1,SAGDP9N,12,"31-33","  Manufacturing","Millions of chained 2012 dollars",4121.3,4190.5,4372.5,4594.8,4576.1,4864.8,4488.4,5004.9,4525.8,5123.1,4496.4,4495.8,3982.8,4183.4,4085.5,4024.3,4393.1,4235.5,4637.5,4664.2,4542.4,4592.5,4283.4,4134.3,4459.7
 "44000","Rhode Island",1,SAGDP9N,13,"321,327-339","   Durable goods manufacturing","Millions of chained 2012 dollars",2552.3,2625.8,2760.2,2922.6,2988.4,3159.8,2816.4,3323.8,3020.9,3130.7,2995.7,3031.0,2646.5,2762.0,2731.5,2663.3,2829.2,2643.5,2945.7,3145.0,2896.4,3000.9,2934.0,2753.9,3038.2
 "44000","Rhode Island",1,SAGDP9N,14,"321","    Wood product manufacturing","Millions of chained 2012 dollars",33.8,32.1,30.2,36.5,38.6,39.8,39.0,29.9,29.8,28.4,34.5,39.0,42.0,33.4,39.5,39.8,41.4,36.4,38.2,40.1,36.9,28.7,32.5,27.6,(NA)
 "44000","Rhode Island",1,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing","Millions of chained 2012 dollars",101.4,77.8,70.2,73.3,60.5,63.7,62.2,54.8,57.7,59.7,55.7,57.2,52.6,55.9,54.7,52.7,65.6,56.0,58.5,53.3,56.7,58.0,60.6,61.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,16,"331","    Primary metal manufacturing","Millions of chained 2012 dollars",139.9,203.3,252.2,213.0,197.4,276.9,249.7,231.9,215.0,238.9,192.1,264.5,357.5,346.4,375.1,413.5,236.3,189.7,232.9,230.1,197.4,214.4,278.2,329.9,(NA)
 "44000","Rhode Island",1,SAGDP9N,17,"332","    Fabricated metal product manufacturing","Millions of chained 2012 dollars",672.4,616.8,600.0,718.2,658.8,816.7,529.5,722.3,669.0,672.2,454.5,505.1,308.6,434.6,393.5,368.8,358.2,310.9,289.6,268.3,347.4,310.3,299.6,254.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,18,"333","    Machinery manufacturing","Millions of chained 2012 dollars",240.1,263.4,255.1,308.9,284.4,183.3,181.8,187.0,191.3,198.3,210.0,213.2,161.0,170.4,175.1,187.5,212.5,211.7,216.2,258.1,230.3,237.9,226.1,207.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,19,"334","    Computer and electronic product manufacturing","Millions of chained 2012 dollars",59.0,80.8,106.1,132.9,151.0,166.3,214.9,221.9,236.8,266.7,272.6,371.1,365.3,415.9,428.2,391.6,595.9,515.3,479.9,552.5,523.9,616.0,687.0,691.4,(NA)
 "44000","Rhode Island",1,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing","Millions of chained 2012 dollars",316.4,269.9,463.4,442.0,548.4,481.1,506.4,646.6,576.0,563.1,620.6,386.0,197.2,74.5,113.4,171.2,267.7,214.3,219.1,162.8,169.5,170.4,160.0,152.6,(NA)
 "44000","Rhode Island",1,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","Millions of chained 2012 dollars",148.9,130.5,104.1,53.0,40.4,36.8,37.3,37.3,24.5,26.6,29.9,23.1,9.1,16.9,21.2,19.6,22.9,23.3,21.5,25.5,23.4,30.4,28.5,29.7,(NA)
 "44000","Rhode Island",1,SAGDP9N,22,"3364-3369","    Other transportation equipment manufacturing","Millions of chained 2012 dollars",145.4,169.3,189.2,211.2,221.4,235.9,224.4,230.0,277.5,243.4,286.8,306.3,275.5,292.0,294.0,305.6,310.0,416.7,606.4,630.8,462.3,499.1,438.2,320.9,(NA)
 "44000","Rhode Island",1,SAGDP9N,23,"337","    Furniture and related product manufacturing","Millions of chained 2012 dollars",107.1,91.9,75.8,80.2,60.5,97.4,95.6,82.5,87.8,97.9,105.2,76.5,59.0,68.0,58.8,58.9,75.5,79.3,79.2,77.5,70.8,79.2,80.6,83.2,(NA)
 "44000","Rhode Island",1,SAGDP9N,24,"339","    Miscellaneous manufacturing","Millions of chained 2012 dollars",997.9,999.5,888.1,913.8,954.4,1016.2,794.6,1059.0,802.2,860.7,843.0,831.6,830.4,858.7,779.2,654.1,634.4,575.1,685.0,824.8,755.5,748.0,660.4,647.5,(NA)
 "44000","Rhode Island",1,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing","Millions of chained 2012 dollars",1640.4,1621.8,1663.4,1717.4,1605.7,1729.5,1725.5,1684.4,1503.4,2071.0,1503.5,1459.0,1336.3,1422.9,1353.5,1361.0,1563.3,1590.1,1691.4,1528.4,1645.0,1595.6,1362.0,1388.2,1437.5
 "44000","Rhode Island",1,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing","Millions of chained 2012 dollars",238.5,213.0,200.0,203.2,203.2,236.2,239.3,230.8,259.1,333.5,312.0,297.4,266.4,227.0,220.3,176.1,186.5,197.7,217.8,221.7,221.5,214.5,227.3,235.7,(NA)
 "44000","Rhode Island",1,SAGDP9N,27,"313-314","    Textile mills and textile product mills","Millions of chained 2012 dollars",344.7,345.4,367.6,360.0,296.8,275.3,237.9,277.8,224.9,189.4,201.1,205.5,179.2,158.0,125.7,149.9,142.2,173.9,176.3,173.5,161.2,149.9,143.9,137.8,(NA)
 "44000","Rhode Island",1,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing","Millions of chained 2012 dollars",25.3,20.1,20.5,21.3,16.0,12.2,9.2,8.8,9.8,8.6,8.4,9.3,6.8,7.4,7.1,6.6,6.7,5.9,5.8,5.8,5.8,7.6,7.9,9.8,(NA)
 "44000","Rhode Island",1,SAGDP9N,29,"322","    Paper manufacturing","Millions of chained 2012 dollars",148.9,127.9,120.9,102.0,74.7,103.2,93.6,100.5,100.1,110.9,118.4,123.5,90.0,94.1,94.7,107.8,94.1,88.8,105.4,93.5,95.3,83.5,96.2,92.1,(NA)
 "44000","Rhode Island",1,SAGDP9N,30,"323","    Printing and related support activities","Millions of chained 2012 dollars",156.0,157.4,147.7,146.7,144.4,132.6,111.5,99.4,121.7,97.0,109.2,101.2,89.5,96.9,90.0,123.8,116.1,113.6,124.4,119.1,119.3,141.4,129.7,129.7,(NA)
 "44000","Rhode Island",1,SAGDP9N,31,"324","    Petroleum and coal products manufacturing","Millions of chained 2012 dollars",23.2,39.8,24.9,21.6,107.3,58.3,156.6,127.1,73.7,53.3,24.9,32.7,49.7,44.9,30.9,38.4,36.4,61.6,60.3,61.6,73.1,73.1,95.8,104.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,32,"325","    Chemical manufacturing","Millions of chained 2012 dollars",311.9,395.1,432.1,448.5,493.5,644.3,649.3,596.9,497.8,1126.9,451.0,444.3,464.9,519.1,505.0,489.2,731.1,711.7,707.4,598.9,737.4,713.6,493.1,505.9,(NA)
 "44000","Rhode Island",1,SAGDP9N,33,"326","    Plastics and rubber products manufacturing","Millions of chained 2012 dollars",286.7,244.0,259.7,320.0,259.4,254.3,287.9,281.8,218.2,222.9,263.2,234.6,194.4,279.4,282.4,269.1,249.3,241.4,299.1,262.5,235.9,217.1,195.3,203.1,(NA)
 "44000","Rhode Island",1,SAGDP9N,34,"42","  Wholesale trade","Millions of chained 2012 dollars",1971.8,2200.0,2221.4,2383.3,2451.6,2582.8,2734.8,2745.3,2803.5,2770.1,2829.7,2770.7,2547.7,2783.0,2821.2,2971.5,3052.6,3115.2,3249.2,3115.1,3074.4,3026.3,2984.5,2906.9,2989.3
 "44000","Rhode Island",1,SAGDP9N,35,"44-45","  Retail trade","Millions of chained 2012 dollars",2266.0,2592.2,2754.6,2858.0,2954.3,3232.8,3457.6,3452.6,3417.9,3304.0,3184.7,3015.6,2862.2,2976.0,2927.3,2890.0,2919.0,2893.0,2973.5,2999.1,3068.3,3223.8,3354.4,3240.8,3325.9
 "44000","Rhode Island",1,SAGDP9N,36,"48-49","  Transportation and warehousing","Millions of chained 2012 dollars",726.2,758.1,790.6,781.7,766.6,778.7,823.2,841.6,875.0,903.3,851.1,865.2,828.6,846.7,866.4,898.4,861.6,844.0,839.7,849.5,871.0,890.2,907.4,770.5,776.8
