GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "02000","Alaska",8,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",16933.3,18450.3,19360.9,22439.8,25865.6,26542.8,25822.1,26853.7,29833.8,24956.8,29525.4,27843.4,28985.5,28772.4,25821.4,26150.7,26047.8,26187.9,27608.5,27271.2,27581.3
 "02000","Alaska",8,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",12683.6,14045.5,14850.1,17653.1,20694.1,21191.6,20480.7,21400.7,24142.9,19581.7,24216.9,22627.7,23596.1,23285.5,20334.5,20522.3,20398.5,20769.9,22397.6,22140.0,22544.0
 "02000","Alaska",8,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",174.8,257.9,294.9,407.6,239.4,198.8,401.3,285.7,696.3,923.7,516.7,836.8,700.2,629.9,508.4,446.5,360.0,375.6,392.9,375.9,366.5
 "02000","Alaska",8,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",5.7,5.5,4.5,5.5,5.6,8.4,9.7,10.6,13.1,17.4,18.7,16.8,12.7,14.6,15.8,16.0,16.4,21.8,18.6,19.8,25.5
 "02000","Alaska",8,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",168.5,254.3,294.5,408.5,235.9,190.1,395.1,274.8,690.2,915.5,499.5,827.7,694.4,620.2,495.1,432.3,344.6,354.6,375.3,356.7,341.0
 "02000","Alaska",8,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",1865.5,3249.0,3184.2,5456.8,6799.3,6440.9,5628.2,6233.2,8083.9,5708.9,10638.8,9640.2,9537.6,9079.3,6643.5,6693.1,6019.8,5943.2,7523.8,7464.8,7522.5
 "02000","Alaska",8,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",2.7,2.5,2.5,5.3,6.9,6.7,8.3,6.5,13.7,18.9,49.1,36.0,68.1,230.8,203.2,190.4,143.9,201.6,211.0,259.4,560.1
 "02000","Alaska",8,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",4.2,4.7,4.0,3.9,4.0,4.9,6.1,6.9,7.8,8.0,8.3,13.9,12.1,13.7,13.8,14.7,17.8,19.2,23.0,23.0,24.1
 "02000","Alaska",8,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",1878.4,3296.9,3231.6,5552.9,6921.9,6555.0,5721.5,6339.5,8221.3,5788.4,10789.1,9778.0,9613.5,8885.8,6448.3,6509.9,5878.3,5716.8,7309.6,7173.6,6914.1
 "02000","Alaska",8,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",8.8,9.0,10.6,8.4,7.9,7.6,8.6,8.3,7.2,7.6,9.7,6.8,8.9,8.9,7.7,11.1,12.0,18.7,22.2,29.3,24.2
