GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "24000","Maryland",2,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",86653.8,90379.8,93138.3,93518.2,95345.7,94470.2,99051.5,105743.0,111803.3,117037.4,123260.1,131777.4,134612.2,136164.6,133661.9,134748.0,137002.9,142085.8,144424.0,147889.3,154782.9
 "24000","Maryland",2,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",64750.9,68020.6,70436.8,70511.7,72316.3,71642.2,75851.1,82080.9,87681.4,92439.4,98279.3,106182.1,108562.3,109410.9,107089.6,108252.6,110525.7,115353.2,117551.4,120931.3,127675.1
 "24000","Maryland",2,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",434.8,466.4,459.4,430.4,550.8,660.8,586.2,764.0,986.7,1084.2,1089.2,1117.9,1139.6,1144.8,1093.4,1147.4,998.9,1166.0,1030.6,1199.6,1175.1
 "24000","Maryland",2,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",224.8,247.7,238.6,196.5,302.6,375.8,272.1,397.5,521.1,523.4,514.8,508.8,533.3,538.0,524.2,598.7,521.3,594.6,440.6,560.6,530.5
 "24000","Maryland",2,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",207.8,209.8,217.6,255.2,239.3,267.4,334.0,360.7,453.7,569.0,587.0,629.8,620.7,620.3,578.5,548.1,477.0,571.5,594.2,637.0,644.6
 "24000","Maryland",2,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",44.4,48.7,55.4,63.7,68.7,67.5,60.4,83.6,71.8,88.2,93.7,98.1,88.7,89.7,97.7,86.9,95.8,119.4,123.5,141.9,163.2
 "24000","Maryland",2,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",0.0,(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.6,0.9,0.3,0.1,0.0,0.0,0.0
 "24000","Maryland",2,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",14.0,13.4,15.8,21.3,25.9,24.5,19.0,25.7,18.3,21.6,19.4,27.5,27.0,29.4,37.4,33.4,39.5,50.2,52.3,62.1,64.9
 "24000","Maryland",2,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",2.3,2.4,1.9,1.2,0.8,0.5,0.4,0.3,0.5,0.8,1.6,2.3,3.7,1.8,2.2,1.1,1.6,1.7,2.6,1.4,3.2
 "24000","Maryland",2,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",26.4,36.9,40.4,36.8,31.9,34.9,40.7,58.3,60.2,76.1,88.4,77.2,64.3,63.4,59.2,52.8,54.7,67.5,68.7,78.2,95.1
 "24000","Maryland",2,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",5211.7,5484.7,5425.9,5285.1,4844.5,4231.0,4781.1,5813.5,6815.0,7515.3,8629.6,9388.5,9443.7,9049.1,7715.2,7196.3,7085.9,7540.2,7530.9,7798.7,8163.3
 "24000","Maryland",2,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",9660.0,9935.4,10305.3,9951.1,10355.8,9599.1,10204.7,10632.3,11148.6,10975.9,11590.3,12677.1,12301.0,12187.5,11373.0,10798.1,10759.9,11194.2,11805.5,12250.9,13032.5
 "24000","Maryland",2,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",4618.0,4783.7,4966.4,4806.7,5029.9,4393.3,4586.3,4988.2,5172.1,5049.9,5411.1,6395.1,6034.1,5748.0,5245.7,4860.4,4757.6,5253.8,5521.7,5814.3,6341.4
 "24000","Maryland",2,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",180.6,161.0,191.4,186.2,162.6,143.9,157.8,296.4,263.4,223.7,236.9,281.0,230.7,252.8,241.8,164.7,154.1,158.6,168.1,152.0,182.4
 "24000","Maryland",2,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",102.3,111.0,97.3,105.4,102.6,95.4,102.5,112.1,104.1,127.6,111.7,118.8,107.6,101.3,103.1,130.1,156.5,112.9,120.1,122.2,138.3
 "24000","Maryland",2,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",408.6,403.9,395.4,356.4,335.6,254.4,291.5,388.7,375.2,382.2,368.4,475.0,440.8,436.8,324.0,328.7,316.1,329.2,332.7,388.1,378.3
 "24000","Maryland",2,SAGDP9S,17,"33","       Primary metal industries","Millions of chained 1997 dollars",1418.7,1647.1,1697.0,1607.9,1802.7,1314.3,1118.1,1101.1,751.2,802.1,941.8,1168.5,1028.8,846.5,671.9,622.2,744.6,842.5,915.4,979.8,887.6
 "24000","Maryland",2,SAGDP9S,18,"34","       Fabricated metal products","Millions of chained 1997 dollars",510.4,490.5,502.9,485.3,468.3,406.4,362.0,436.4,502.7,453.5,498.9,508.4,509.0,547.8,452.0,506.3,461.4,557.5,464.2,505.7,619.2
 "24000","Maryland",2,SAGDP9S,19,"35","       Industrial machinery and equipment","Millions of chained 1997 dollars",250.1,366.4,409.3,364.9,364.5,322.3,434.9,521.4,530.1,420.9,453.9,611.7,590.9,623.1,599.5,644.7,664.6,797.8,878.6,940.3,1036.3
 "24000","Maryland",2,SAGDP9S,20,"36","       Electronic and other electric equipment 2/","Millions of chained 1997 dollars",401.0,411.5,454.2,554.3,631.3,650.3,748.6,846.7,1003.4,958.5,571.3,592.4,535.8,529.0,603.8,494.9,533.3,649.0,781.8,983.0,1217.8
 "24000","Maryland",2,SAGDP9S,21,"371","       Motor vehicles and equipment","Millions of chained 1997 dollars",1069.5,570.2,490.4,293.3,293.7,232.9,305.7,237.7,446.0,534.0,510.6,632.0,612.2,484.6,450.2,413.1,314.7,379.0,274.6,298.9,239.1
 "24000","Maryland",2,SAGDP9S,22,"372-379","       Other transportation equipment","Millions of chained 1997 dollars",585.4,594.2,559.8,583.4,489.5,567.7,445.0,275.4,290.2,374.7,562.1,513.8,518.3,489.8,417.7,339.2,296.5,273.8,406.1,340.1,310.9
 "24000","Maryland",2,SAGDP9S,23,"38","       Instruments and related products 2/","Millions of chained 1997 dollars",138.1,138.9,156.1,160.9,171.3,151.3,140.8,151.4,134.6,155.5,1406.3,1884.1,1883.4,1757.9,1551.4,1360.9,1174.2,1151.9,1113.6,991.0,1199.9
