GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "30000","Montana",7,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",13956.1,14947.7,14975.5,15017.9,15605.5,14915.5,14931.6,15022.8,14635.1,14521.4,14624.1,14496.6,15089.3,15355.3,15739.2,16566.0,17284.6,17932.4,18036.2,18341.9,18932.0
 "30000","Montana",7,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",11059.2,11920.7,11921.0,11986.7,12533.9,11945.7,11855.7,11978.9,11698.7,11546.6,11634.2,11554.5,12074.3,12265.1,12609.7,13394.5,14040.0,14595.8,14829.2,15163.1,15687.6
 "30000","Montana",7,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",424.3,542.8,488.0,564.8,771.1,789.1,586.2,484.1,350.2,696.9,737.4,423.3,779.0,771.3,951.8,948.2,1132.0,936.2,876.6,774.0,823.3
 "30000","Montana",7,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",367.1,479.4,428.3,497.8,688.7,696.0,495.8,395.1,273.9,601.0,628.3,329.4,668.8,654.8,823.7,820.1,1012.3,807.8,754.5,654.4,704.0
 "30000","Montana",7,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",55.1,51.1,51.3,55.5,60.3,75.4,89.5,98.9,90.3,99.6,116.1,110.2,111.6,121.2,128.6,128.6,116.3,127.2,121.0,120.3,119.3
 "30000","Montana",7,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",565.4,691.1,687.0,770.7,845.4,731.5,703.8,709.5,706.3,641.0,697.7,835.7,761.5,769.9,831.2,813.7,795.3,912.0,850.0,797.7,841.0
 "30000","Montana",7,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",37.9,53.1,63.6,49.3,72.5,91.8,100.1,86.4,70.0,83.5,142.3,196.6,180.1,206.0,250.3,269.1,251.6,340.8,268.1,224.3,217.6
 "30000","Montana",7,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",74.0,100.8,107.5,116.5,130.3,127.4,142.9,149.1,138.1,119.1,100.1,151.3,147.2,136.9,189.2,188.0,220.7,267.4,255.3,269.9,308.0
 "30000","Montana",7,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",541.2,613.5,554.5,680.8,728.1,582.5,515.0,522.0,556.6,485.6,520.1,491.5,419.9,412.2,348.2,303.3,250.0,233.6,269.2,237.7,225.8
 "30000","Montana",7,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",62.2,62.2,62.7,65.7,55.6,40.6,39.2,44.0,36.3,46.9,61.0,80.0,77.2,75.3,70.3,69.7,67.3,46.9,56.0,65.6,89.6
