GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "37000","North Carolina",5,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",100295.1,106594.5,109676.9,110120.3,113990.7,111614.5,117269.3,127346.9,135373.8,140634.2,147274.2,155810.6,160952.6,161997.7,162239.2,171222.8,176678.3,189755.3,199056.2,206757.1,221258.8
 "37000","North Carolina",5,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",82309.3,87874.9,90724.4,90775.9,94283.1,91988.6,97575.3,107033.4,114091.7,118417.9,124311.4,132089.4,136366.7,137240.6,137269.4,144305.4,149728.1,162100.2,170974.3,178266.4,192010.2
 "37000","North Carolina",5,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",1445.8,1547.4,1315.5,1410.3,1933.0,2168.3,1503.0,2077.8,2400.0,2405.2,2308.6,2406.1,2571.3,3063.2,3540.1,3651.5,3574.1,4312.2,3934.2,4271.6,4840.0
 "37000","North Carolina",5,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",1165.4,1242.5,1022.2,1088.6,1575.9,1784.6,1123.4,1619.7,1867.7,1817.7,1642.9,1742.2,1917.2,2359.3,2808.7,2946.6,2923.5,3537.6,3067.6,3283.9,3746.1
 "37000","North Carolina",5,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",260.4,288.3,315.1,351.5,339.2,354.1,424.9,471.3,549.4,628.0,746.6,736.6,706.6,732.2,736.5,699.6,640.6,761.9,862.6,989.9,1093.9
 "37000","North Carolina",5,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",182.2,247.3,277.0,294.8,264.2,208.2,322.4,425.2,424.0,441.2,474.1,390.9,339.3,272.4,240.1,207.6,250.6,327.7,376.1,427.9,523.0
 "37000","North Carolina",5,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",0.5,0.3,0.1,0.2,(L),0.0,0.0,0.2,0.6,0.6,0.7,1.1,1.2,1.8,2.1,1.0,0.9,0.6,0.7,0.7,0.7
 "37000","North Carolina",5,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",0.1,0.0,0.1,(L),(L),(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,0.0,(L),(L),(L),0.0,0.0,0.0
 "37000","North Carolina",5,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",1.4,1.8,1.6,1.6,0.3,0.3,1.0,0.3,(L),0.5,0.4,1.1,1.5,4.0,7.8,4.3,4.1,3.3,8.0,6.9,9.6
 "37000","North Carolina",5,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",179.4,244.7,274.8,292.7,264.3,208.2,321.5,425.4,424.0,440.6,473.7,389.1,336.9,266.7,230.3,202.2,245.3,323.2,367.6,420.3,512.6
 "37000","North Carolina",5,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",4983.3,5140.8,5164.8,4794.8,4355.8,3805.3,4164.4,5263.8,6158.7,6494.2,6778.2,7224.1,7182.2,7095.0,6574.9,7058.1,7831.6,8500.0,9189.6,9994.3,11049.5
 "37000","North Carolina",5,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",29576.7,31816.2,33065.7,33140.0,34753.4,32067.4,34972.2,37919.8,40000.4,41005.2,42767.3,45084.7,46153.5,44702.5,42950.5,44925.6,45496.0,50940.0,54471.2,54392.5,57529.5
 "37000","North Carolina",5,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",6557.7,7276.3,7695.4,7992.7,8275.6,7667.3,9006.8,11163.1,11982.9,12562.0,13107.0,14489.5,15985.4,15260.2,14789.7,15899.3,17026.7,18244.0,20775.9,21014.6,24607.3
 "37000","North Carolina",5,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",1133.4,1089.4,1190.4,1268.2,1272.0,1344.2,1378.3,1852.3,1737.3,2029.5,2083.7,1748.6,1816.1,1974.1,1861.3,1723.5,1765.7,1693.7,1968.5,1869.7,2082.5
 "37000","North Carolina",5,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",2245.8,2464.0,2330.9,2485.3,2498.3,2172.6,2449.5,2743.6,2675.7,2616.0,2831.8,2884.8,2650.6,2390.9,2193.6,2411.0,2664.7,2806.9,2727.1,2722.1,2775.7
 "37000","North Carolina",5,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",622.7,673.8,681.0,610.5,577.7,462.2,626.3,747.0,771.8,891.2,887.0,1052.6,1142.7,1218.0,1140.5,1309.2,1381.0,1511.1,1590.5,1703.5,1955.0
 "37000","North Carolina",5,SAGDP9S,17,"33","       Primary metal industries","Millions of chained 1997 dollars",464.1,482.0,491.0,534.7,618.1,501.5,518.0,729.1,590.5,686.4,619.4,665.4,671.1,674.6,643.8,789.2,825.3,968.7,894.3,1049.0,1060.9
 "37000","North Carolina",5,SAGDP9S,18,"34","       Fabricated metal products","Millions of chained 1997 dollars",1231.8,1345.9,1341.9,1289.7,1129.3,977.6,1116.7,1216.3,1282.7,1379.9,1448.4,1475.3,1538.6,1566.1,1584.9,1487.0,1568.6,1991.8,2077.8,2177.1,2116.8
 "37000","North Carolina",5,SAGDP9S,19,"35","       Industrial machinery and equipment","Millions of chained 1997 dollars",549.1,635.5,740.7,843.3,957.4,1016.2,1237.3,1576.7,1602.0,2088.5,2123.4,2702.8,3868.4,3085.6,2853.3,2463.8,3393.9,2857.6,3937.1,3123.0,5246.7
 "37000","North Carolina",5,SAGDP9S,20,"36","       Electronic and other electric equipment 2/","Millions of chained 1997 dollars",736.2,864.0,972.9,1044.8,1059.5,934.1,1115.2,1377.5,1950.0,1755.3,1847.8,1988.1,2129.4,2374.0,2457.7,3088.7,2705.0,3231.1,4125.1,5171.9,5897.5
