GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "38000","North Dakota",4,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",11036.9,12354.8,12730.7,12243.1,14084.5,13545.0,13282.1,13588.2,13668.1,12743.0,13074.1,12023.0,12733.1,13161.2,13118.2,14175.9,13987.1,15045.1,15325.4,16508.3,16500.7
 "38000","North Dakota",4,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",8717.0,9892.4,10191.8,9773.1,11358.6,10954.1,10693.2,11018.3,11061.4,10141.5,10424.8,9560.3,10167.5,10582.1,10478.1,11481.0,11323.6,12372.1,12622.6,13825.5,13818.6
 "38000","North Dakota",4,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",682.6,973.5,904.6,450.4,1140.2,1180.2,805.8,1059.0,1274.1,1071.9,1064.9,302.0,859.8,1094.2,1019.4,1563.2,1027.3,1570.4,1133.9,1672.7,1098.7
 "38000","North Dakota",4,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",645.3,928.2,861.2,416.8,1093.2,1126.7,754.4,997.6,1213.6,1012.8,990.7,237.6,784.2,1014.4,954.2,1485.8,952.1,1486.4,1047.2,1582.5,1008.4
 "38000","North Dakota",4,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",41.1,43.1,42.6,43.9,46.6,55.7,61.4,70.1,63.3,65.0,86.4,84.7,84.4,83.7,65.7,73.4,75.4,82.8,87.0,85.5,90.3
 "38000","North Dakota",4,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",418.7,561.9,629.1,954.4,1155.3,971.9,964.8,990.7,975.6,757.9,833.1,784.1,651.0,632.3,530.8,472.6,470.2,475.7,569.2,614.7,665.6
 "38000","North Dakota",4,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",(L),0.1,(L),0.0,0.0,0.0,(L),(L),(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "38000","North Dakota",4,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",23.5,25.6,27.3,30.5,33.2,35.7,39.6,44.8,51.1,42.1,36.3,62.3,64.1,65.8,80.2,88.3,110.3,114.0,121.5,123.5,123.9
 "38000","North Dakota",4,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",422.1,591.3,671.1,1057.7,1290.9,1074.6,1054.5,1076.4,1047.2,806.8,908.1,792.6,631.7,592.2,456.5,360.3,321.3,320.3,408.6,452.4,500.5
 "38000","North Dakota",4,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",11.9,18.6,17.9,18.1,16.7,11.1,20.8,20.3,21.0,18.1,23.5,16.4,12.4,26.0,19.7,31.5,31.1,32.3,36.6,38.4,41.2
 "38000","North Dakota",4,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",1120.0,1264.8,1229.4,1090.8,961.8,974.0,1072.5,810.3,650.3,566.5,532.3,499.2,485.2,503.4,521.7,588.5,637.1,684.5,706.6,792.0,778.8
 "38000","North Dakota",4,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",436.8,436.4,494.2,465.8,505.4,511.4,538.0,603.8,600.4,533.2,662.5,713.6,748.7,800.2,781.5,782.6,813.4,913.0,1126.4,1273.9,1469.9
 "38000","North Dakota",4,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",181.4,199.2,223.5,201.8,196.6,181.1,195.9,224.4,225.1,205.7,276.1,323.3,376.4,404.5,391.8,418.4,435.1,481.5,642.5,745.5,906.5
 "38000","North Dakota",4,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",10.9,10.8,11.7,12.1,10.7,13.1,14.9,14.1,13.9,12.8,15.2,15.6,16.4,18.4,17.7,17.0,16.6,18.2,34.0,43.6,54.3
 "38000","North Dakota",4,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",8.0,9.3,8.7,8.7,10.7,12.6,13.8,13.0,13.3,14.2,13.6,16.4,21.0,24.6,32.9,36.9,37.6,35.9,30.5,28.6,29.6
 "38000","North Dakota",4,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",41.5,43.9,54.9,46.8,44.3,38.6,41.1,36.6,38.0,36.6,26.2,26.6,24.5,23.9,21.6,23.6,24.1,26.2,27.5,30.8,29.9
 "38000","North Dakota",4,SAGDP9S,17,"33","       Primary metal industries","Millions of chained 1997 dollars",0.8,0.3,0.3,0.4,0.4,0.7,0.5,0.6,0.3,0.2,0.1,0.1,(L),(L),(L),0.4,(L),(L),2.4,12.5,11.2
 "38000","North Dakota",4,SAGDP9S,18,"34","       Fabricated metal products","Millions of chained 1997 dollars",21.5,24.8,27.8,25.2,26.7,23.2,23.8,27.0,26.7,25.8,36.3,39.9,41.8,44.7,41.1,33.9,41.9,49.3,44.2,44.1,49.0
 "38000","North Dakota",4,SAGDP9S,19,"35","       Industrial machinery and equipment","Millions of chained 1997 dollars",54.4,64.6,74.3,65.8,64.5,55.2,62.8,77.1,72.6,58.3,104.9,114.2,160.1,174.8,158.4,157.1,186.6,195.1,325.9,377.3,444.8
 "38000","North Dakota",4,SAGDP9S,20,"36","       Electronic and other electric equipment 2/","Millions of chained 1997 dollars",4.4,4.0,1.9,2.3,2.3,2.0,2.1,2.6,4.1,5.3,7.3,21.7,21.4,25.0,31.2,39.3,21.1,27.2,33.8,46.3,64.7
 "38000","North Dakota",4,SAGDP9S,21,"371","       Motor vehicles and equipment","Millions of chained 1997 dollars",18.5,20.2,27.0,22.8,25.7,24.5,26.0,37.5,47.1,34.4,40.4,46.2,44.5,41.2,37.8,55.5,62.6,100.2,103.9,121.1,173.6
 "38000","North Dakota",4,SAGDP9S,22,"372-379","       Other transportation equipment","Millions of chained 1997 dollars",39.5,30.3,32.2,34.6,24.5,32.3,29.6,28.9,27.7,30.6,33.7,36.8,32.5,32.0,30.1,37.2,31.5,23.6,25.3,25.5,34.7
 "38000","North Dakota",4,SAGDP9S,23,"38","       Instruments and related products 2/","Millions of chained 1997 dollars",1.6,1.5,1.6,1.7,1.9,2.0,2.2,2.3,2.3,2.5,4.0,5.1,5.1,4.8,4.9,4.7,4.4,3.8,3.0,3.2,2.9
 "38000","North Dakota",4,SAGDP9S,24,"39","       Miscellaneous manufacturing industries","Millions of chained 1997 dollars",12.4,13.2,10.6,9.1,9.5,9.8,10.3,14.0,13.0,20.0,20.9,21.2,17.6,19.3,19.3,18.4,19.9,14.7,14.2,12.4,11.7
 "38000","North Dakota",4,SAGDP9S,25,"...","     Nondurable goods manufacturing","Millions of chained 1997 dollars",281.0,250.9,287.5,285.6,347.4,383.4,393.6,433.7,427.8,370.4,427.6,420.4,386.4,409.9,404.7,372.5,386.8,442.5,488.1,530.2,563.4
 "38000","North Dakota",4,SAGDP9S,26,"20","       Food and kindred products","Millions of chained 1997 dollars",162.5,149.4,154.8,165.3,176.1,212.3,198.4,213.9,198.8,167.8,210.0,228.4,201.2,204.4,235.0,188.4,216.7,233.1,291.4,330.1,344.7
 "38000","North Dakota",4,SAGDP9S,27,"21","       Tobacco products","Millions of chained 1997 dollars",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,(L),(L),(L),(L),(L),(L),0.1,0.1,0.1,(L)
