GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "44000","Rhode Island",1,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",17147.0,17671.6,18257.2,18167.0,18609.1,18553.1,19086.1,20421.7,21753.9,22861.9,23870.7,25528.0,26214.3,25936.7,25004.8,25369.5,25653.4,25882.0,26551.5,27006.3,28717.4
 "44000","Rhode Island",1,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",14388.6,14850.1,15321.3,15192.9,15567.2,15503.6,16058.8,17323.5,18571.7,19652.5,20625.9,22138.6,22755.4,22440.2,21628.1,21898.9,22203.9,22545.8,23107.3,23512.0,25057.7
 "44000","Rhode Island",1,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",73.6,86.2,87.4,113.7,83.9,116.0,185.1,155.2,322.6,379.0,201.3,278.4,222.0,208.5,197.8,181.3,157.9,167.0,170.0,170.0,161.7
 "44000","Rhode Island",1,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",12.3,12.1,11.1,13.0,15.0,33.5,31.1,34.0,55.4,58.5,56.6,49.9,43.3,41.9,45.0,46.3,42.8,44.2,36.3,34.8,28.0
 "44000","Rhode Island",1,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",62.6,78.1,81.5,108.8,71.1,78.5,160.3,120.7,275.1,332.8,140.6,233.8,181.5,168.6,152.9,133.9,113.9,121.6,132.9,134.6,133.7
 "44000","Rhode Island",1,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",9.0,18.4,16.6,10.3,8.5,9.6,7.7,11.6,8.8,9.5,11.2,10.1,6.3,10.8,9.1,15.7,15.9,17.4,17.1,12.8,13.9
 "44000","Rhode Island",1,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "44000","Rhode Island",1,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "44000","Rhode Island",1,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",1.8,7.6,6.6,3.3,2.9,3.5,1.3,2.0,0.8,1.1,1.0,1.0,0.2,0.2,0.1,0.2,(L),0.2,0.1,0.3,0.4
 "44000","Rhode Island",1,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",5.3,7.4,6.9,5.2,4.1,4.3,6.1,9.1,8.1,8.6,10.3,9.2,6.1,10.5,9.0,15.6,15.8,17.2,17.0,12.5,13.5
 "44000","Rhode Island",1,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",745.2,738.7,753.2,678.1,604.8,567.9,614.0,726.0,829.0,929.2,1060.7,1238.5,1252.6,1187.6,914.4,911.0,936.0,1078.5,1125.5,1234.0,1361.7
 "44000","Rhode Island",1,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",3631.3,3751.3,3793.0,3686.9,3912.7,3629.9,3649.7,4067.2,4295.8,4307.9,4270.8,4430.7,4590.7,4478.7,4332.9,4231.4,4332.5,4164.3,4258.1,4280.8,4376.1
 "44000","Rhode Island",1,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",2465.2,2534.2,2537.8,2447.3,2622.9,2386.8,2363.2,2683.1,2956.0,2961.8,2943.2,3090.6,3265.8,3201.9,3011.9,2886.4,2902.6,2706.1,2865.5,2797.5,2900.4
 "44000","Rhode Island",1,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",18.6,14.9,20.7,36.3,46.8,59.7,64.4,64.1,72.9,114.9,104.2,84.7,69.9,70.5,64.7,31.7,31.0,32.3,35.6,35.1,41.7
 "44000","Rhode Island",1,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",38.9,42.9,40.2,45.7,42.1,41.3,48.6,54.3,61.7,60.8,59.7,63.8,70.0,57.2,54.3,52.0,55.7,61.8,63.9,87.2,88.3
 "44000","Rhode Island",1,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",115.5,103.7,114.0,112.4,105.7,77.2,97.6,99.8,94.7,87.8,66.8,78.7,69.5,76.6,67.8,70.8,65.7,83.7,73.6,65.7,77.7
 "44000","Rhode Island",1,SAGDP9S,17,"33","       Primary metal industries","Millions of chained 1997 dollars",347.0,346.7,397.1,423.6,446.5,362.3,237.8,226.8,244.6,272.2,210.2,178.8,176.0,185.1,216.1,201.6,247.5,249.3,226.7,294.3,204.9
 "44000","Rhode Island",1,SAGDP9S,18,"34","       Fabricated metal products","Millions of chained 1997 dollars",239.0,266.1,278.7,280.0,292.1,278.5,308.9,318.3,321.4,311.9,354.4,381.2,374.8,339.0,302.8,304.2,307.7,299.0,315.4,313.2,328.3
 "44000","Rhode Island",1,SAGDP9S,19,"35","       Industrial machinery and equipment","Millions of chained 1997 dollars",106.1,123.3,128.1,136.4,134.3,109.5,93.5,117.2,111.2,126.7,151.9,182.5,265.5,203.8,257.9,280.2,368.4,264.1,283.1,257.2,249.3
 "44000","Rhode Island",1,SAGDP9S,20,"36","       Electronic and other electric equipment 2/","Millions of chained 1997 dollars",125.6,142.7,148.0,161.8,170.3,158.8,192.0,236.4,253.2,247.4,186.5,170.6,217.8,213.0,198.9,202.4,224.1,258.6,335.0,373.9,464.8
 "44000","Rhode Island",1,SAGDP9S,21,"371","       Motor vehicles and equipment","Millions of chained 1997 dollars",67.9,70.2,67.6,58.2,68.9,69.6,60.0,85.4,60.4,85.3,71.0,84.8,92.8,84.1,78.2,83.6,84.9,65.2,52.0,41.1,48.9
 "44000","Rhode Island",1,SAGDP9S,22,"372-379","       Other transportation equipment","Millions of chained 1997 dollars",253.6,201.5,186.6,211.0,181.2,265.5,273.2,349.0,345.7,324.9,329.9,354.5,299.5,293.9,241.3,165.1,146.7,129.5,115.1,78.2,64.6
 "44000","Rhode Island",1,SAGDP9S,23,"38","       Instruments and related products 2/","Millions of chained 1997 dollars",238.6,257.4,266.2,261.4,264.5,221.6,204.8,206.3,207.1,178.2,362.7,444.2,394.1,366.7,352.9,346.1,257.1,208.8,205.2,213.8,217.3
 "44000","Rhode Island",1,SAGDP9S,24,"39","       Miscellaneous manufacturing industries","Millions of chained 1997 dollars",1149.2,1141.8,1037.3,829.8,984.5,888.4,904.5,1025.6,1308.0,1279.1,1273.9,1338.7,1406.8,1505.1,1322.2,1256.1,1166.1,1092.3,1172.4,1040.8,1114.5
 "44000","Rhode Island",1,SAGDP9S,25,"...","     Nondurable goods manufacturing","Millions of chained 1997 dollars",1165.0,1217.6,1259.8,1248.7,1292.9,1257.6,1310.4,1398.6,1326.9,1333.6,1313.9,1320.1,1295.3,1245.8,1302.3,1333.8,1425.1,1463.9,1389.1,1483.7,1475.7
 "44000","Rhode Island",1,SAGDP9S,26,"20","       Food and kindred products","Millions of chained 1997 dollars",98.9,120.4,123.8,138.4,138.8,148.4,162.3,160.1,94.1,139.8,106.2,123.2,100.8,105.1,142.6,143.6,138.1,131.7,120.3,172.4,173.3
 "44000","Rhode Island",1,SAGDP9S,27,"21","       Tobacco products","Millions of chained 1997 dollars",0.5,0.5,0.4,0.4,0.5,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,(L),0.1,0.1,0.1,0.1
 "44000","Rhode Island",1,SAGDP9S,28,"22","       Textile mill products","Millions of chained 1997 dollars",218.9,239.5,253.0,258.7,263.9,254.7,253.2,264.5,258.7,235.8,267.5,253.1,262.0,266.8,285.7,291.7,302.7,389.2,325.0,314.8,301.3
 "44000","Rhode Island",1,SAGDP9S,29,"23","       Apparel and other textile products","Millions of chained 1997 dollars",68.1,76.1,67.1,64.7,65.9,56.1,60.6,79.8,76.7,78.8,72.1,54.1,46.3,39.6,29.3,27.1,28.9,28.8,27.3,24.6,25.5
 "44000","Rhode Island",1,SAGDP9S,30,"26","       Paper and allied products","Millions of chained 1997 dollars",96.9,98.2,96.7,88.9,87.9,81.7,91.9,97.5,91.6,84.1,81.1,75.4,79.6,78.0,88.7,101.3,114.9,114.5,81.0,84.4,113.6
 "44000","Rhode Island",1,SAGDP9S,31,"27","       Printing and publishing","Millions of chained 1997 dollars",341.5,343.3,372.4,347.4,359.3,363.9,349.8,378.5,390.0,398.9,390.3,394.7,401.4,337.1,296.4,296.9,271.4,277.5,300.1,368.5,298.0
 "44000","Rhode Island",1,SAGDP9S,32,"28","       Chemicals and allied products","Millions of chained 1997 dollars",106.5,132.7,137.6,120.4,121.4,99.8,130.2,145.0,150.3,204.4,150.3,156.7,130.9,165.3,168.7,149.8,176.0,197.2,175.9,166.9,154.5
 "44000","Rhode Island",1,SAGDP9S,33,"29","       Petroleum and coal products","Millions of chained 1997 dollars",1.3,1.1,1.1,1.0,3.1,5.4,10.1,16.2,24.3,15.0,31.4,7.1,5.7,4.4,2.7,3.0,3.3,2.5,1.4,1.0,1.0
 "44000","Rhode Island",1,SAGDP9S,34,"30","       Rubber and miscellaneous plastics products","Millions of chained 1997 dollars",172.7,139.6,147.8,155.9,167.4,175.1,176.7,182.7,177.7,134.3,157.4,194.8,204.3,175.5,205.6,234.2,300.1,248.7,287.9,303.0,356.5
 "44000","Rhode Island",1,SAGDP9S,35,"31","       Leather and leather products","Millions of chained 1997 dollars",76.3,104.8,105.5,100.9,108.9,96.6,96.0,99.3,94.5,102.7,98.6,93.4,93.5,93.8,88.1,87.0,79.1,68.9,67.6,51.7,52.0
 "44000","Rhode Island",1,SAGDP9S,36,"E","   Transportation and public utilities","Millions of chained 1997 dollars",867.4,869.4,942.3,951.1,969.4,971.4,990.1,981.3,1021.4,1060.8,1235.2,1266.8,1276.2,1438.9,1406.9,1609.7,1689.1,1747.2,1828.5,1922.0,1896.3
 "44000","Rhode Island",1,SAGDP9S,37,"...","     Transportation","Millions of chained 1997 dollars",238.5,237.4,268.2,243.4,221.2,221.0,253.8,271.4,289.4,308.3,350.8,354.2,365.0,371.4,330.6,363.1,382.5,422.7,452.6,493.0,542.6
 "44000","Rhode Island",1,SAGDP9S,38,"40","       Railroad transportation","Millions of chained 1997 dollars",0.5,2.3,12.7,7.6,4.0,2.6,1.8,1.6,5.4,7.8,12.6,9.6,7.9,9.3,5.2,13.9,14.1,15.5,25.6,29.0,25.9
 "44000","Rhode Island",1,SAGDP9S,39,"41","       Local and interurban passenger transit","Millions of chained 1997 dollars",56.7,57.6,64.1,65.4,61.5,60.1,60.9,60.6,59.7,54.5,56.7,54.8,60.6,67.0,56.5,52.0,53.2,58.7,61.1,62.1,69.3
 "44000","Rhode Island",1,SAGDP9S,40,"42","       Trucking and warehousing","Millions of chained 1997 dollars",142.0,133.8,138.9,128.2,110.7,110.9,135.8,142.2,146.9,153.0,170.1,173.0,171.8,160.0,151.1,173.0,178.4,200.2,211.5,229.4,238.1
 "44000","Rhode Island",1,SAGDP9S,41,"44","       Water transportation","Millions of chained 1997 dollars",18.2,20.3,19.3,16.8,20.8,21.3,19.4,21.4,21.9,26.4,28.3,24.4,27.2,28.8,26.5,27.7,26.7,28.1,28.5,30.2,32.0
 "44000","Rhode Island",1,SAGDP9S,42,"45","       Transportation by air","Millions of chained 1997 dollars",15.3,16.6,16.4,16.3,16.4,18.1,23.0,28.5,29.9,34.0,43.8,52.0,57.0,69.7,58.4,60.7,70.9,79.0,84.1,96.1,133.9
 "44000","Rhode Island",1,SAGDP9S,43,"46","       Pipelines, except natural gas","Millions of chained 1997 dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.8,0.9,1.0,1.0,1.0,1.1,1.1,1.6,0.0,0.0,0.0,1.3
 "44000","Rhode Island",1,SAGDP9S,44,"47","       Transportation services","Millions of chained 1997 dollars",16.6,16.1,17.4,17.7,19.9,20.8,25.1,27.9,32.4,35.0,38.5,40.3,41.1,38.4,33.9,35.1,38.0,41.7,41.7,45.9,42.1
 "44000","Rhode Island",1,SAGDP9S,45,"48","     Communications","Millions of chained 1997 dollars",324.9,336.7,363.1,411.4,455.7,466.9,492.4,456.7,464.9,495.4,544.4,567.5,559.3,645.0,627.4,676.4,727.0,744.7,713.7,736.8,704.7
 "44000","Rhode Island",1,SAGDP9S,46,"49","     Electric, gas, and sanitary services","Millions of chained 1997 dollars",316.8,302.2,315.3,292.1,285.4,274.3,232.9,245.7,260.6,249.1,334.1,338.5,345.7,416.8,445.5,569.2,578.2,578.6,661.4,691.5,649.1
 "44000","Rhode Island",1,SAGDP9S,47,"F","   Wholesale trade","Millions of chained 1997 dollars",721.8,781.2,814.2,788.8,800.8,835.1,888.8,942.0,999.8,1160.1,1190.3,1236.3,1292.5,1178.8,1124.8,1211.6,1233.8,1299.9,1367.8,1439.7,1564.2
 "44000","Rhode Island",1,SAGDP9S,48,"G","   Retail trade","Millions of chained 1997 dollars",1380.9,1423.3,1429.6,1368.8,1383.1,1421.9,1552.7,1692.3,1807.3,2016.4,2042.9,2241.7,2264.3,2134.6,1966.2,2025.4,2097.7,2158.4,2219.4,2293.0,2536.5
 "44000","Rhode Island",1,SAGDP9S,49,"H","   Finance, insurance, and real estate","Millions of chained 1997 dollars",3242.8,3333.5,3505.2,3649.9,3839.1,4064.9,4130.9,4395.9,4692.2,4980.0,5481.7,5960.4,6161.4,6065.1,6111.7,6023.6,5967.0,6018.3,6063.0,5947.5,6707.4
 "44000","Rhode Island",1,SAGDP9S,50,"60","     Depository institutions 3/","Millions of chained 1997 dollars",654.3,624.3,675.6,737.3,774.2,800.5,790.7,771.0,844.3,896.5,1253.1,1318.9,1291.1,1100.6,1191.1,903.1,908.8,937.6,883.1,807.8,1516.0
 "44000","Rhode Island",1,SAGDP9S,51,"61","     Nondepository institutions 3/","Millions of chained 1997 dollars",39.3,41.2,43.6,50.5,99.6,116.4,53.1,77.0,85.3,119.8,47.0,60.6,70.1,74.8,60.8,64.3,79.1,82.8,75.9,94.1,139.7
 "44000","Rhode Island",1,SAGDP9S,52,"62","     Security and commodity brokers","Millions of chained 1997 dollars",9.5,11.2,11.2,18.7,20.3,27.6,38.5,37.2,38.9,38.4,57.6,49.8,58.6,52.4,55.0,54.1,80.0,84.4,100.0,113.9,154.8
 "44000","Rhode Island",1,SAGDP9S,53,"63","     Insurance carriers","Millions of chained 1997 dollars",602.4,729.4,687.3,699.5,666.5,714.9,636.6,694.3,678.2,656.8,628.3,766.6,761.6,791.8,855.8,956.2,1002.8,1041.7,1029.8,967.5,838.7
 "44000","Rhode Island",1,SAGDP9S,54,"64","     Insurance agents, brokers, and services","Millions of chained 1997 dollars",141.0,139.0,138.9,148.5,143.0,135.1,132.5,146.0,152.5,178.3,226.2,242.5,231.1,233.0,206.1,182.8,182.8,181.0,174.8,167.1,170.2
 "44000","Rhode Island",1,SAGDP9S,55,"65","     Real estate","Millions of chained 1997 dollars",1894.0,1906.2,2046.3,2085.9,2198.7,2350.6,2475.6,2657.3,2861.6,3032.8,3269.4,3580.0,3773.5,3800.3,3777.6,3861.1,3703.1,3665.3,3762.8,3744.5,3833.4
 "44000","Rhode Island",1,SAGDP9S,56,"67","     Holding and other investment offices","Millions of chained 1997 dollars",58.1,78.3,96.2,141.6,138.4,141.0,194.8,214.5,189.6,202.1,208.0,111.4,100.8,113.0,84.1,66.9,85.3,67.3,65.8,42.6,54.6
 "44000","Rhode Island",1,SAGDP9S,57,"I","   Services","Millions of chained 1997 dollars",3466.3,3555.7,3735.8,3792.7,3764.2,3798.8,3934.2,4215.8,4437.6,4652.3,5059.7,5439.6,5669.7,5745.4,5598.8,5707.8,5771.8,5909.4,6063.1,6208.6,6439.9
 "44000","Rhode Island",1,SAGDP9S,58,"70","     Hotels and other lodging places","Millions of chained 1997 dollars",90.4,90.1,98.5,85.9,82.2,82.8,93.5,101.3,113.7,111.9,122.2,129.0,130.8,127.5,117.0,133.8,125.7,127.0,143.8,154.6,176.4
 "44000","Rhode Island",1,SAGDP9S,59,"72","     Personal services","Millions of chained 1997 dollars",163.0,153.0,150.0,157.1,145.6,145.8,160.0,171.4,185.7,197.0,207.5,218.6,216.3,185.3,169.3,186.7,177.0,186.4,183.4,184.0,195.7
 "44000","Rhode Island",1,SAGDP9S,60,"73","     Business services 4/","Millions of chained 1997 dollars",335.0,359.4,397.5,410.6,426.8,432.5,454.7,539.2,570.4,662.6,709.6,800.5,865.8,971.5,987.0,956.3,977.5,1121.7,1143.5,1151.9,1193.4
