GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "46000","South Dakota",4,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",10789.1,11527.8,12051.8,11511.3,12200.5,11849.1,11777.7,12694.2,13173.7,13345.7,13623.4,13732.7,13960.6,14696.0,15410.6,16279.3,17208.4,18140.7,18520.0,19409.8,19764.6
 "46000","South Dakota",4,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",8577.8,9204.8,9693.4,9189.7,9882.9,9596.5,9526.3,10392.3,10862.2,11009.2,11229.5,11294.1,11501.9,12145.2,12758.8,13534.6,14392.1,15306.8,15748.2,16658.7,17019.2
 "46000","South Dakota",4,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",837.9,890.6,978.8,778.1,1153.6,1198.1,823.9,1195.3,1295.2,1189.7,1240.9,1026.9,1123.7,1448.4,1493.7,1757.3,1421.4,1921.4,1350.1,1960.6,1844.9
 "46000","South Dakota",4,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",785.7,835.3,919.2,721.1,1085.1,1119.1,751.6,1103.1,1204.6,1103.3,1139.5,918.0,1010.1,1318.1,1354.9,1622.2,1307.7,1788.6,1202.4,1814.4,1700.4
 "46000","South Dakota",4,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",47.2,49.8,52.4,59.8,61.5,75.9,80.7,95.0,88.2,85.6,105.2,121.7,125.2,138.0,148.2,140.1,118.1,137.8,153.8,145.5,144.5
 "46000","South Dakota",4,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",78.1,87.0,83.3,120.3,116.6,84.8,132.5,141.9,153.5,197.9,205.7,182.3,167.9,186.0,203.2,221.5,233.3,193.6,161.7,176.9,168.4
 "46000","South Dakota",4,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",23.4,28.7,34.7,67.8,67.0,45.2,77.8,76.5,77.3,135.7,119.9,99.2,91.1,104.0,118.8,119.3,125.7,125.3,106.2,104.8,99.2
 "46000","South Dakota",4,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",(L),(L),0.0,(L),(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),0.1,0.1,0.2
 "46000","South Dakota",4,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",37.7,35.5,17.7,17.0,17.9,12.9,12.7,15.6,19.3,19.3,28.4,17.8,10.2,6.5,3.8,2.2,2.6,3.8,6.1,8.1,11.1
 "46000","South Dakota",4,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",39.2,44.1,42.6,30.0,24.1,24.1,39.0,49.5,57.7,35.5,56.3,66.5,67.0,74.1,77.6,97.9,102.8,61.3,47.0,63.8,57.9
 "46000","South Dakota",4,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",857.3,875.9,791.4,651.7,543.0,412.5,424.5,485.2,490.9,500.2,496.6,505.4,517.9,574.6,588.1,648.4,681.9,748.5,710.1,751.0,776.0
 "46000","South Dakota",4,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",634.0,721.3,857.1,848.8,885.5,875.0,992.3,1053.4,1052.8,1043.7,1073.8,1244.4,1237.9,1393.2,1406.8,1607.5,2048.8,1867.7,2616.3,2423.8,2644.8
 "46000","South Dakota",4,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",330.8,428.9,508.1,472.1,484.3,444.9,508.3,585.0,558.9,551.0,663.0,744.3,757.5,865.4,875.1,1042.9,1503.9,1271.5,1866.8,1731.8,1932.3
 "46000","South Dakota",4,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",70.8,65.2,60.6,52.4,52.1,61.0,67.7,78.0,93.2,119.8,162.4,125.0,145.7,146.4,154.4,130.2,122.1,121.8,143.6,148.1,138.4
 "46000","South Dakota",4,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",1.7,1.7,1.9,2.1,3.1,3.0,3.8,5.5,6.1,6.9,6.8,7.6,8.4,8.9,8.5,11.1,14.7,15.0,30.2,25.7,32.9
 "46000","South Dakota",4,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",51.4,53.8,70.1,58.5,55.6,45.5,48.9,53.1,44.5,42.4,23.1,26.7,33.5,35.7,37.4,37.3,35.9,43.4,42.7,56.4,61.1
