GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
 "54000","West Virginia",5,SAGDP9S,1,"...","All industry total","Millions of chained 1997 dollars",28811.0,29420.0,29732.8,29232.9,28877.7,28069.3,27318.9,28766.2,29084.5,28673.3,28733.9,30865.1,30815.6,31349.2,31985.7,32880.3,33835.7,35963.4,36902.1,37749.6,38570.0
 "54000","West Virginia",5,SAGDP9S,2,"..."," Private industries","Millions of chained 1997 dollars",24192.7,24659.0,24852.6,24330.3,23976.2,23295.5,22587.2,24011.5,24193.1,23728.4,23852.6,25968.8,26018.4,26353.6,26803.5,27568.7,28386.5,30437.3,31248.3,31922.8,32627.0
 "54000","West Virginia",5,SAGDP9S,3,"A","   Agriculture, forestry, and fishing","Millions of chained 1997 dollars",85.8,104.4,118.6,131.4,123.5,146.3,129.0,172.5,182.4,208.7,192.8,162.6,192.0,225.0,227.8,260.4,247.4,268.1,225.4,202.7,218.4
 "54000","West Virginia",5,SAGDP9S,4,"[01-02]","     Farms","Millions of chained 1997 dollars",51.2,66.1,77.0,83.6,73.7,84.6,73.0,103.8,121.5,139.9,103.4,85.6,110.0,133.8,136.0,165.3,161.0,168.6,123.2,101.2,112.9
 "54000","West Virginia",5,SAGDP9S,5,"[07-09]","     Agricultural services, forestry, and fishing","Millions of chained 1997 dollars",37.6,38.1,39.4,46.8,52.4,66.3,61.0,70.6,56.2,63.0,94.8,82.1,84.1,91.4,91.8,93.0,84.0,97.1,101.1,101.8,105.5
 "54000","West Virginia",5,SAGDP9S,6,"B","   Mining","Millions of chained 1997 dollars",1460.0,1316.5,1278.0,1407.6,1408.1,1547.4,1394.8,1555.8,1538.7,1435.6,1357.9,2058.3,2095.8,2184.6,2457.1,2346.7,2123.6,2787.2,2921.7,2958.0,3173.2
 "54000","West Virginia",5,SAGDP9S,7,"10","     Metal mining","Millions of chained 1997 dollars",0.0,0.0,0.0,0.0,0.0,0.0,(L),0.3,0.6,1.1,1.1,0.7,1.8,2.3,4.0,4.8,4.2,4.1,3.3,3.6,4.2
 "54000","West Virginia",5,SAGDP9S,8,"12","     Coal mining","Millions of chained 1997 dollars",1167.1,1035.2,1011.8,1120.4,1127.2,1233.1,1124.9,1253.2,1205.8,1045.1,967.0,1599.1,1652.1,1791.7,2057.8,1966.4,1754.1,2315.4,2426.3,2541.9,2672.2
 "54000","West Virginia",5,SAGDP9S,9,"13","     Oil and gas extraction","Millions of chained 1997 dollars",289.2,326.6,278.8,308.0,304.0,348.9,285.6,320.3,380.4,516.5,537.4,530.3,485.8,374.1,353.7,332.4,320.1,407.4,443.3,337.2,418.0
 "54000","West Virginia",5,SAGDP9S,10,"14","     Nonmetallic minerals, except fuels","Millions of chained 1997 dollars",55.5,62.7,70.3,56.0,43.3,36.9,45.0,51.2,41.6,47.8,50.3,42.2,41.9,47.4,45.8,45.6,61.3,75.4,68.3,73.2,78.8
 "54000","West Virginia",5,SAGDP9S,11,"C","   Construction","Millions of chained 1997 dollars",2370.8,2503.3,2323.6,2054.9,1543.8,1233.2,1116.7,1171.4,1227.7,1193.0,1268.3,1315.9,1287.0,1478.0,1489.7,1561.6,1736.6,1923.4,1773.8,1850.3,1864.3
 "54000","West Virginia",5,SAGDP9S,12,"D","   Manufacturing","Millions of chained 1997 dollars",6040.0,6292.7,6205.0,5484.7,5281.5,4515.3,4477.3,5035.7,5256.2,5048.8,5489.4,6003.2,5837.1,5512.2,5151.0,5205.3,5374.7,6021.5,6428.9,6455.2,6367.6
 "54000","West Virginia",5,SAGDP9S,13,"...","     Durable goods manufacturing","Millions of chained 1997 dollars",2940.2,3200.3,3133.9,2895.0,2655.8,1997.9,1921.7,2263.5,2231.9,2310.7,2549.2,2666.4,2725.3,2528.3,2334.2,2293.4,2346.0,2632.1,2624.2,2778.5,2842.4
 "54000","West Virginia",5,SAGDP9S,14,"24","       Lumber and wood products","Millions of chained 1997 dollars",194.2,183.3,202.2,233.2,198.0,189.2,254.1,307.0,211.7,255.3,297.6,316.8,331.6,374.8,373.7,348.2,358.3,311.6,377.6,391.9,433.7
 "54000","West Virginia",5,SAGDP9S,15,"25","       Furniture and fixtures","Millions of chained 1997 dollars",28.0,25.2,21.7,26.9,27.3,23.1,25.7,27.7,29.8,32.9,34.5,34.8,23.2,17.4,19.5,21.7,20.3,19.1,18.6,21.7,23.7
 "54000","West Virginia",5,SAGDP9S,16,"32","       Stone, clay, and glass products","Millions of chained 1997 dollars",629.9,626.9,569.1,500.7,431.0,324.6,390.6,329.0,311.6,379.8,329.0,323.1,337.8,342.1,322.3,371.6,338.8,373.9,356.4,359.9,331.0
 "54000","West Virginia",5,SAGDP9S,17,"33","       Primary metal industries","Millions of chained 1997 dollars",1231.7,1492.7,1417.4,1259.2,1167.7,728.7,683.6,901.2,925.4,972.9,1049.0,1047.0,1027.3,928.6,840.1,800.8,863.0,981.7,905.5,855.5,911.0
 "54000","West Virginia",5,SAGDP9S,18,"34","       Fabricated metal products","Millions of chained 1997 dollars",340.6,334.9,362.7,360.9,349.3,280.7,217.5,277.1,303.7,271.0,357.7,373.6,373.9,318.1,265.8,300.5,336.5,530.5,451.5,520.2,470.7
 "54000","West Virginia",5,SAGDP9S,19,"35","       Industrial machinery and equipment","Millions of chained 1997 dollars",115.0,103.4,108.5,104.0,104.8,102.9,82.7,103.4,124.4,113.2,168.4,170.0,169.7,170.9,168.5,140.1,139.3,130.5,174.8,196.8,231.9
 "54000","West Virginia",5,SAGDP9S,20,"36","       Electronic and other electric equipment 2/","Millions of chained 1997 dollars",66.3,81.6,86.2,85.6,80.9,65.6,67.2,74.5,61.6,56.8,58.4,67.3,81.8,67.8,71.5,72.2,58.7,63.9,87.1,96.6,128.1
 "54000","West Virginia",5,SAGDP9S,21,"371","       Motor vehicles and equipment","Millions of chained 1997 dollars",68.2,66.4,58.6,36.4,19.6,14.0,12.5,21.7,53.9,41.6,44.7,59.6,64.9,37.7,21.8,16.9,29.0,24.1,24.1,20.9,20.5
 "54000","West Virginia",5,SAGDP9S,22,"372-379","       Other transportation equipment","Millions of chained 1997 dollars",122.5,140.5,160.8,169.0,117.9,122.2,78.8,101.3,70.3,85.3,92.6,126.1,148.5,131.4,90.6,63.3,87.5,77.8,87.5,120.3,125.1
 "54000","West Virginia",5,SAGDP9S,23,"38","       Instruments and related products 2/","Millions of chained 1997 dollars",90.3,95.7,93.8,90.1,103.8,95.7,85.8,94.2,81.5,61.4,58.2,105.0,127.1,117.6,128.9,134.4,114.6,104.4,99.9,158.6,122.5
 "54000","West Virginia",5,SAGDP9S,24,"39","       Miscellaneous manufacturing industries","Millions of chained 1997 dollars",40.6,43.4,37.0,16.2,15.9,16.7,16.3,18.8,19.9,21.5,19.3,22.5,23.9,21.9,25.7,24.6,10.7,31.1,37.3,40.0,44.1
 "54000","West Virginia",5,SAGDP9S,25,"...","     Nondurable goods manufacturing","Millions of chained 1997 dollars",3068.6,3020.3,3007.1,2500.4,2566.8,2525.4,2577.4,2771.7,3052.7,2733.6,2928.4,3343.5,3101.4,2978.7,2813.7,2910.6,3027.7,3388.3,3806.8,3677.3,3525.2
 "54000","West Virginia",5,SAGDP9S,26,"20","       Food and kindred products","Millions of chained 1997 dollars",178.7,188.0,208.4,226.3,182.3,200.6,231.5,158.7,168.7,160.7,160.8,215.0,198.1,192.3,177.9,163.8,187.1,186.9,159.7,149.1,149.3
 "54000","West Virginia",5,SAGDP9S,27,"21","       Tobacco products","Millions of chained 1997 dollars",62.7,63.7,58.1,47.9,50.8,38.7,20.8,22.6,21.9,17.6,16.6,15.4,13.2,14.1,12.1,10.6,12.0,18.5,22.8,22.1,22.2
 "54000","West Virginia",5,SAGDP9S,28,"22","       Textile mill products","Millions of chained 1997 dollars",11.7,14.7,15.3,16.7,18.2,15.3,17.1,21.2,19.5,22.4,20.0,22.9,19.9,21.6,22.7,28.0,38.1,38.4,54.5,53.9,54.2
 "54000","West Virginia",5,SAGDP9S,29,"23","       Apparel and other textile products","Millions of chained 1997 dollars",75.7,79.0,70.9,65.6,68.8,64.9,68.5,53.9,59.7,50.8,54.3,57.6,62.5,62.8,69.3,56.9,47.2,44.5,46.9,35.5,32.4
 "54000","West Virginia",5,SAGDP9S,30,"26","       Paper and allied products","Millions of chained 1997 dollars",52.5,57.3,58.4,49.5,51.7,50.4,51.9,48.5,47.2,38.6,44.6,52.3,44.2,41.0,42.8,56.0,62.2,61.0,52.4,65.3,59.5
 "54000","West Virginia",5,SAGDP9S,31,"27","       Printing and publishing","Millions of chained 1997 dollars",274.4,272.7,282.9,255.5,251.0,250.0,244.1,258.8,276.2,252.3,222.9,231.3,220.8,219.1,196.0,210.3,203.8,184.6,167.6,148.7,145.5
 "54000","West Virginia",5,SAGDP9S,32,"28","       Chemicals and allied products","Millions of chained 1997 dollars",2383.3,2317.4,2241.0,1786.5,1841.1,1820.5,1830.5,2068.2,2255.4,2108.7,2258.9,2587.2,2370.3,2218.2,2069.7,2098.0,2209.1,2570.0,3032.2,2940.2,2790.8
 "54000","West Virginia",5,SAGDP9S,33,"29","       Petroleum and coal products","Millions of chained 1997 dollars",46.2,41.9,62.7,38.5,64.3,57.3,71.1,108.7,180.2,44.9,85.9,83.5,79.8,108.9,102.5,142.8,128.3,115.8,130.3,146.3,136.6
 "54000","West Virginia",5,SAGDP9S,34,"30","       Rubber and miscellaneous plastics products","Millions of chained 1997 dollars",28.9,32.4,37.2,40.6,38.0,32.1,32.9,37.6,40.6,39.2,53.1,66.9,78.9,86.9,99.8,118.1,116.7,146.5,123.7,103.1,119.3
 "54000","West Virginia",5,SAGDP9S,35,"31","       Leather and leather products","Millions of chained 1997 dollars",62.4,52.2,41.1,43.9,47.0,41.3,35.9,31.5,36.2,38.0,41.4,36.5,34.4,32.4,31.9,33.4,32.4,28.5,17.5,13.3,15.5
 "54000","West Virginia",5,SAGDP9S,36,"E","   Transportation and public utilities","Millions of chained 1997 dollars",2562.4,2630.5,2765.0,2834.9,2815.8,2706.9,2716.1,2827.5,2776.6,2645.8,2854.3,3058.1,3045.0,3145.2,3309.3,3604.7,3898.8,3954.1,4019.6,4090.6,3943.5
 "54000","West Virginia",5,SAGDP9S,37,"...","     Transportation","Millions of chained 1997 dollars",694.7,710.4,752.8,733.7,697.2,660.1,724.4,767.7,757.5,763.9,802.5,850.7,786.8,874.3,997.6,1045.3,1093.0,1169.6,1198.5,1277.9,1247.7
 "54000","West Virginia",5,SAGDP9S,38,"40","       Railroad transportation","Millions of chained 1997 dollars",179.0,195.9,210.9,221.2,223.3,205.3,234.8,253.0,253.9,258.3,280.1,304.4,239.8,275.8,357.5,361.3,363.5,359.1,369.1,396.9,351.0
 "54000","West Virginia",5,SAGDP9S,39,"41","       Local and interurban passenger transit","Millions of chained 1997 dollars",73.5,71.2,77.0,71.2,61.3,51.0,43.9,40.5,37.9,28.8,26.1,27.0,28.2,27.9,25.3,25.8,28.1,32.9,37.3,37.2,42.3
 "54000","West Virginia",5,SAGDP9S,40,"42","       Trucking and warehousing","Millions of chained 1997 dollars",400.8,394.3,421.7,398.9,350.1,340.1,371.9,392.1,380.0,382.6,392.8,399.7,402.1,423.5,470.1,501.3,542.1,605.9,613.5,668.2,677.3
 "54000","West Virginia",5,SAGDP9S,41,"44","       Water transportation","Millions of chained 1997 dollars",51.0,49.7,51.6,46.3,45.4,41.1,34.2,39.4,40.8,43.7,42.2,38.5,41.5,53.4,45.9,48.9,51.6,55.5,52.9,55.0,58.7
 "54000","West Virginia",5,SAGDP9S,42,"45","       Transportation by air","Millions of chained 1997 dollars",19.6,21.8,21.0,18.7,19.3,20.4,24.3,24.8,21.6,20.5,24.9,46.8,52.3,66.7,65.2,69.7,71.2,83.6,92.4,86.4,82.0
 "54000","West Virginia",5,SAGDP9S,43,"46","       Pipelines, except natural gas","Millions of chained 1997 dollars",16.2,7.5,8.3,6.7,8.1,8.9,10.3,9.0,9.1,8.3,8.4,6.5,6.5,6.0,6.2,5.9,6.1,4.3,4.1,2.5,2.9
 "54000","West Virginia",5,SAGDP9S,44,"47","       Transportation services","Millions of chained 1997 dollars",31.7,33.1,26.0,14.5,15.3,19.4,18.8,17.7,18.8,22.1,24.2,20.0,19.0,20.8,21.8,27.6,27.1,27.5,28.5,31.3,33.5
 "54000","West Virginia",5,SAGDP9S,45,"48","     Communications","Millions of chained 1997 dollars",517.1,564.4,614.4,671.5,687.7,656.4,677.2,671.7,645.7,636.9,694.1,695.0,709.5,749.6,770.6,788.8,789.2,821.5,828.8,864.9,824.1
 "54000","West Virginia",5,SAGDP9S,46,"49","     Electric, gas, and sanitary services","Millions of chained 1997 dollars",1369.8,1358.9,1384.8,1435.3,1457.0,1423.0,1320.7,1393.2,1379.0,1238.4,1354.1,1515.6,1561.2,1522.7,1534.2,1768.9,2017.6,1963.0,1992.2,1947.7,1871.8
 "54000","West Virginia",5,SAGDP9S,47,"F","   Wholesale trade","Millions of chained 1997 dollars",1162.9,1257.4,1328.7,1279.3,1374.4,1375.6,1351.8,1452.9,1453.5,1527.1,1411.9,1447.7,1524.2,1548.0,1657.1,1740.7,1762.7,1823.8,1791.1,1971.1,2122.3
 "54000","West Virginia",5,SAGDP9S,48,"G","   Retail trade","Millions of chained 1997 dollars",2726.7,2873.9,2892.0,2659.8,2784.0,2807.2,2845.7,2993.2,3017.8,3132.2,2845.7,2855.4,2959.9,2983.8,2917.9,2950.8,3103.4,3196.4,3343.0,3495.0,3779.6
 "54000","West Virginia",5,SAGDP9S,49,"H","   Finance, insurance, and real estate","Millions of chained 1997 dollars",3940.2,4141.0,4448.0,4652.5,4659.5,4497.9,4335.2,4258.7,4237.8,4100.2,4056.5,4002.6,3827.5,3780.2,3889.0,4063.2,4215.6,4318.2,4421.2,4478.7,4496.1
 "54000","West Virginia",5,SAGDP9S,50,"60","     Depository institutions 3/","Millions of chained 1997 dollars",976.2,953.6,998.8,1019.3,1038.8,1034.7,1032.0,1029.2,1052.1,1045.6,1078.3,1060.1,1064.8,1128.0,1231.9,1107.9,1155.5,1125.9,1072.4,1042.7,886.4
 "54000","West Virginia",5,SAGDP9S,51,"61","     Nondepository institutions 3/","Millions of chained 1997 dollars",61.1,64.1,71.1,87.3,197.4,166.8,71.9,76.5,75.8,58.4,29.3,23.3,23.3,22.0,20.4,18.7,21.7,26.2,27.2,31.4,45.1
 "54000","West Virginia",5,SAGDP9S,52,"62","     Security and commodity brokers","Millions of chained 1997 dollars",5.5,7.2,8.7,14.5,17.1,19.6,23.1,21.3,22.9,25.8,36.4,31.5,33.5,28.5,30.6,30.2,39.8,42.6,47.1,65.4,87.5
 "54000","West Virginia",5,SAGDP9S,53,"63","     Insurance carriers","Millions of chained 1997 dollars",321.2,359.5,364.8,356.9,356.5,340.2,324.9,329.4,365.2,383.1,409.0,399.5,337.6,320.6,306.8,300.8,289.0,281.6,282.0,258.0,260.5
 "54000","West Virginia",5,SAGDP9S,54,"64","     Insurance agents, brokers, and services","Millions of chained 1997 dollars",204.7,206.7,200.0,217.6,214.3,198.8,173.2,187.6,181.0,204.4,237.5,257.3,242.0,246.2,220.1,190.8,209.1,209.4,209.3,201.0,206.7
 "54000","West Virginia",5,SAGDP9S,55,"65","     Real estate","Millions of chained 1997 dollars",2381.2,2542.0,2777.2,2908.1,2810.8,2712.9,2642.8,2560.6,2494.8,2361.1,2282.1,2277.9,2164.0,2095.1,2151.5,2448.8,2532.9,2646.6,2782.1,2869.1,2988.8
 "54000","West Virginia",5,SAGDP9S,56,"67","     Holding and other investment offices","Millions of chained 1997 dollars",68.5,70.9,56.2,83.2,107.7,111.3,123.4,133.4,140.8,144.1,153.1,54.5,53.0,39.1,24.8,14.5,24.8,10.0,13.4,9.0,21.1
 "54000","West Virginia",5,SAGDP9S,57,"I","   Services","Millions of chained 1997 dollars",4572.2,4812.7,4971.1,4979.4,5005.0,4986.4,4987.1,5037.6,5055.2,5100.3,5163.5,5227.7,5364.6,5588.3,5647.0,5874.1,6078.5,6182.1,6342.9,6430.8,6662.1
 "54000","West Virginia",5,SAGDP9S,58,"70","     Hotels and other lodging places","Millions of chained 1997 dollars",338.7,366.3,344.1,300.3,291.8,300.9,291.4,288.1,271.3,274.8,280.2,255.0,258.1,257.4,249.6,254.7,261.2,266.8,279.1,287.0,294.1
 "54000","West Virginia",5,SAGDP9S,59,"72","     Personal services","Millions of chained 1997 dollars",295.7,299.3,285.7,295.7,287.4,284.4,280.5,280.7,293.2,292.6,285.9,290.1,281.9,262.7,252.4,261.1,270.9,264.3,270.8,264.3,276.2
 "54000","West Virginia",5,SAGDP9S,60,"73","     Business services 4/","Millions of chained 1997 dollars",280.3,326.5,344.1,346.2,329.4,320.7,352.2,373.3,403.6,449.8,409.7,454.7,500.0,570.3,570.9,600.4,657.9,709.6,734.9,764.7,809.2
 "54000","West Virginia",5,SAGDP9S,61,"75","     Automotive repair, services, and parking","Millions of chained 1997 dollars",199.7,219.9,231.2,237.2,231.2,225.3,229.8,230.0,241.5,228.8,215.3,222.4,219.2,239.2,225.0,220.6,231.1,250.9,257.9,272.0,271.0
 "54000","West Virginia",5,SAGDP9S,62,"76","     Miscellaneous repair services","Millions of chained 1997 dollars",184.6,184.5,203.0,217.9,203.4,192.7,162.8,163.4,156.7,162.4,154.6,152.2,157.2,168.1,149.8,151.8,153.7,164.5,163.1,165.7,166.5
 "54000","West Virginia",5,SAGDP9S,63,"78","     Motion pictures","Millions of chained 1997 dollars",16.1,19.2,18.1,20.3,19.9,20.3,19.5,17.2,15.5,17.4,19.0,25.2,28.7,27.7,24.6,25.9,30.6,28.4,29.6,27.7,28.5
 "54000","West Virginia",5,SAGDP9S,64,"79","     Amusement and recreation services","Millions of chained 1997 dollars",156.2,160.7,168.9,166.9,166.2,166.9,161.1,154.9,163.7,149.7,143.7,153.7,158.4,165.7,147.6,150.9,138.1,138.2,157.8,160.1,181.6
 "54000","West Virginia",5,SAGDP9S,65,"80","     Health services","Millions of chained 1997 dollars",1919.8,1986.8,2131.0,2175.3,2343.9,2439.4,2467.4,2471.4,2443.3,2404.6,2502.7,2460.1,2470.9,2516.4,2600.3,2668.6,2691.4,2642.1,2685.3,2720.9,2815.9
 "54000","West Virginia",5,SAGDP9S,66,"81","     Legal services","Millions of chained 1997 dollars",375.5,384.9,393.4,368.3,341.8,323.3,322.6,343.7,345.1,367.4,347.4,379.0,373.5,394.5,424.2,475.7,463.3,474.8,492.1,453.4,472.3
 "54000","West Virginia",5,SAGDP9S,67,"82","     Educational services","Millions of chained 1997 dollars",135.2,141.9,139.6,139.6,135.5,134.9,130.7,140.6,140.6,138.5,132.0,120.4,124.5,129.0,139.4,149.4,160.1,172.0,182.0,186.0,189.8
 "54000","West Virginia",5,SAGDP9S,68,"83","     Social services","Millions of chained 1997 dollars",79.1,86.9,94.6,99.7,106.1,96.5,104.2,110.2,114.2,122.0,123.9,119.7,131.6,150.8,180.2,213.3,253.4,273.0,279.7,277.9,289.0
 "54000","West Virginia",5,SAGDP9S,69,"86","     Membership organizations","Millions of chained 1997 dollars",226.2,235.6,228.9,232.2,223.1,206.4,190.2,181.8,166.0,166.6,163.1,164.8,165.6,172.1,176.7,178.6,189.5,193.4,203.2,205.4,211.2
 "54000","West Virginia",5,SAGDP9S,70,"84, 87, 89","     Other services 4/","Millions of chained 1997 dollars",240.9,256.4,272.1,275.7,262.5,238.4,241.6,243.8,257.2,272.9,350.4,385.1,444.2,482.5,461.2,474.1,525.7,554.2,555.7,594.0,605.5
 "54000","West Virginia",5,SAGDP9S,71,"88","     Private households","Millions of chained 1997 dollars",86.2,88.7,78.7,69.5,61.0,55.6,52.0,55.9,52.1,51.3,48.0,47.9,48.0,46.9,43.5,47.0,48.7,50.0,52.2,51.7,51.3
 "54000","West Virginia",5,SAGDP9S,72,"..."," Government and government enterprises","Millions of chained 1997 dollars",4537.9,4704.2,4862.8,4945.6,4976.2,4851.6,4848.7,4782.8,4950.3,5040.8,4958.2,4898.7,4780.7,4999.8,5198.6,5326.8,5463.6,5526.0,5653.1,5826.9,5943.0
 "54000","West Virginia",5,SAGDP9S,73,"...","   Federal civilian","Millions of chained 1997 dollars",795.9,876.5,909.2,948.7,938.0,892.3,919.8,910.6,929.8,942.5,955.7,985.8,1038.3,1048.1,1075.1,1148.8,1166.2,1205.4,1228.2,1281.5,1389.2
 "54000","West Virginia",5,SAGDP9S,74,"...","   Military","Millions of chained 1997 dollars",116.0,113.8,116.1,112.2,112.4,120.3,149.8,157.8,173.8,167.6,173.4,176.5,177.7,186.1,186.9,203.8,205.0,208.4,208.7,205.7,208.9
 "54000","West Virginia",5,SAGDP9S,75,"...","   State and local","Millions of chained 1997 dollars",3620.1,3710.7,3834.5,3883.4,3923.6,3835.5,3774.4,3708.8,3838.5,3923.3,3823.3,3733.4,3566.1,3764.3,3934.4,3973.8,4091.4,4112.4,4216.1,4339.7,4344.9
 "54000","West Virginia",5,SAGDP9S,76,"36, 38"," Electronic equipment and instruments 5/","Millions of chained 1997 dollars",159.6,189.5,196.9,194.0,192.9,162.4,160.2,176.9,148.3,129.3,130.3,170.8,207.3,179.1,192.1,196.8,163.8,163.5,189.6,252.5,250.7
 "54000","West Virginia",5,SAGDP9S,77,"60, 61"," Depository and nondepository institutions 6/","Millions of chained 1997 dollars",1051.7,1033.6,1088.2,1126.9,1237.6,1214.5,1134.3,1137.2,1159.2,1124.7,1107.6,1079.5,1083.9,1143.8,1243.2,1118.5,1169.6,1146.7,1095.4,1071.6,931.5
 "54000","West Virginia",5,SAGDP9S,78,"73, 84, 87, 89"," Business services and other services 7/","Millions of chained 1997 dollars",519.9,583.2,616.3,621.9,591.9,560.3,596.6,621.1,665.6,728.9,760.2,840.1,944.0,1053.0,1032.5,1074.8,1184.0,1264.0,1290.4,1358.7,1414.7
"Note: See the included footnote file."
"SAGDP9S: Real GDP by state 1/"
"Last updated: November 18, 2010."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
