GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "09000","Connecticut",1,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",2036825,2070018,2118177,2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266029,2288113,2301306,2300011,2314371,2298480,2162427
 "09000","Connecticut",1,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1709380,1732908,1756884,1753339,1737593,1715891,1722818,1732049,1748700,1763183,1764648,1692091,1671424,1685883,1704885,1717324,1730465,1740231,1745027,1744617,1749761,1748644,1628139
 "09000","Connecticut",1,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",327445,337110,361293,371914,380141,396399,421513,439931,453408,482537,491395,504070,500509,520386,518336,529237,535564,547882,556279,555394,564610,549836,534288
 "09000","Connecticut",1,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",4024,3888,3810,4074,4020,3847,3758,3728,3646,4214,4397,4567,4778,5069,5191,5299,5126,5180,5094,5039,5021,5023,5018
 "09000","Connecticut",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",323421,333222,357483,367840,376121,392552,417755,436203,449762,478323,486998,499503,495731,515317,513145,523938,530438,542702,551185,550355,559589,544813,529270
 "09000","Connecticut",1,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",9650,9550,9801,10233,10230,10130,8898,8645,8079,8447,9009,9022,9174,9875,9966,10755,10604,10637,10187,9708,9581,9611,9400
 "09000","Connecticut",1,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",2027175,2060468,2108376,2115020,2107504,2102160,2135433,2163335,2194029,2237273,2247034,2187139,2162759,2196394,2213255,2235806,2255425,2277476,2291119,2290303,2304790,2288869,2153027
 "09000","Connecticut",1,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",1781320,1808925,1849911,1850276,1839946,1837774,1870167,1895723,1926050,1968913,1974509,1917977,1897279,1935385,1951542,1974122,1994327,2017228,2031903,2034601,2053576,2039229,1915112
 "09000","Connecticut",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",2926,2883,2608,2425,2660,2374,2526,2480,2538,2628,2651,2556,2408,2379,2418,2441,2545,2323,2437,2306,2343,2255,(D)
 "09000","Connecticut",1,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),531,452,433,431,384,419,462,465,461,493,432,363,396,506,(D),487,535,561,453,468,432,(D)
