GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "19000","Iowa",4,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1877486,1896080,1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038926,2059837,2066677,2062237,2076201,2071569,1987117
 "19000","Iowa",4,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1500525,1521119,1534288,1522116,1507604,1500007,1521678,1545547,1568789,1579953,1586287,1540936,1535646,1551027,1570535,1592602,1607489,1627084,1633478,1630641,1638528,1646569,1569147
 "19000","Iowa",4,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",376961,374961,380966,380082,372109,373323,380549,388372,396989,414078,411328,418206,414798,424933,422895,426878,431437,432753,433199,431596,437673,425000,417970
 "19000","Iowa",4,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",97315,95648,94983,91481,81029,76864,74640,73612,71617,74324,73353,72595,72352,72700,72109,72641,72021,71502,70831,70112,70045,69477,69189
 "19000","Iowa",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",279646,279313,285983,288601,291080,296459,305909,314760,325372,339754,337975,345611,342446,352233,350786,354237,359416,361251,362368,361484,367628,355523,348781
 "19000","Iowa",4,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",113359,109060,109851,106748,96375,91662,89651,91214,87603,90028,91461,88852,91009,90855,88093,91874,86854,90662,89517,86707,87003,88558,89050
 "19000","Iowa",4,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1764127,1787020,1805403,1795450,1783338,1781668,1812576,1842705,1878175,1904003,1906154,1870290,1859435,1885105,1905337,1927606,1952072,1969175,1977160,1975530,1989198,1983011,1898067
 "19000","Iowa",4,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",1515477,1536090,1549147,1538705,1525856,1523268,1552550,1582838,1616374,1640592,1639997,1600268,1590711,1616904,1637873,1660388,1683993,1700977,1708060,1704244,1718407,1709548,1633494
 "19000","Iowa",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",11763,11349,10472,10129,11135,10336,11012,11264,11489,12705,13536,14334,15224,15325,15985,16581,16552,15223,15638,16077,16555,15933,15580
 "19000","Iowa",4,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",641,658,591,531,526,433,466,534,543,524,541,451,401,439,(D),583,570,604,601,(D),556,501,500
 "19000","Iowa",4,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),362,442,358,426,454,460,459,460,465,459,438,(D),471,471,425,441,(D),414,436,470
